Id	Name	Description	Icon	Param
101011		敌人当前，战斗是唯一的解决方案。		[1]
101021		敌人当前，战斗是唯一的解决方案。		[1]
101022		随机事件		
101031		随机事件		
101032		敌人当前，战斗是唯一的解决方案。		[1]
101041		敌人当前，战斗是唯一的解决方案。		[1]
101042		敌人当前，战斗是唯一的解决方案。		[1]
101051		敌人当前，战斗是唯一的解决方案。		[1]
101052		随机事件		
101053		敌人当前，战斗是唯一的解决方案。		[1]
101061		随机事件		
101062		敌人当前，战斗是唯一的解决方案。		[1]
101063		敌人当前，战斗是唯一的解决方案。		[1]
101064		随机事件		
101071		你们找到了空中花园设置的补给点。		
101072		你们找到了空中花园设置的补给点。		
101073		你们找到了空中花园设置的补给点。		
101081		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
101082		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
101083		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
101091		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101092		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101093		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101101		敌人当前，战斗是唯一的解决方案。		[1]
101102		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
101103		敌人当前，战斗是唯一的解决方案。		[1]
101111		随机事件		
101112		随机事件		
101113		敌人当前，战斗是唯一的解决方案。		[1]
101121		你们找到了空中花园设置的补给点。		
101122		随机事件		
101131		敌人当前，战斗是唯一的解决方案。		[1]
101132		随机事件		
101133		你们找到了空中花园设置的补给点。		
101134		敌人当前，战斗是唯一的解决方案。		[1]
101141		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
101142		敌人当前，战斗是唯一的解决方案。		[1]
101143		你们找到了空中花园设置的补给点。		
101151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101153		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
101161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
102011		敌人当前，战斗是唯一的解决方案。		[1]
102012		敌人当前，战斗是唯一的解决方案。		[1]
102021		随机事件		
102022		敌人当前，战斗是唯一的解决方案。		[1]
102031		敌人当前，战斗是唯一的解决方案。		[1]
102032		随机事件		
102033		敌人当前，战斗是唯一的解决方案。		[1]
102041		你们找到了空中花园设置的补给点。		
102042		敌人当前，战斗是唯一的解决方案。		[1]
102043		随机事件		
102051		敌人当前，战斗是唯一的解决方案。		[1]
102052		敌人当前，战斗是唯一的解决方案。		[1]
102053		你们找到了空中花园设置的补给点。		
102061		随机事件		
102062		敌人当前，战斗是唯一的解决方案。		[1]
102063		敌人当前，战斗是唯一的解决方案。		[1]
102071		敌人当前，战斗是唯一的解决方案。		[1]
102072		敌人当前，战斗是唯一的解决方案。		[1]
102073		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102081		敌人当前，战斗是唯一的解决方案。		[1]
102082		随机事件		
102083		敌人当前，战斗是唯一的解决方案。		[1]
102084		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
102091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
102092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
102093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
102094		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
102101		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102102		敌人当前，战斗是唯一的解决方案。		[1]
102111		敌人当前，战斗是唯一的解决方案。		[1]
102112		随机事件		
102113		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102114		敌人当前，战斗是唯一的解决方案。		[1]
102121		敌人当前，战斗是唯一的解决方案。		[1]
102122		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
102123		敌人当前，战斗是唯一的解决方案。		[1]
102124		随机事件		
102131		你们找到了空中花园设置的补给点。		
102132		随机事件		
102133		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
102134		敌人当前，战斗是唯一的解决方案。		[1]
102141		随机事件		
102142		敌人当前，战斗是唯一的解决方案。		[1]
102143		你们找到了空中花园设置的补给点。		
102144		随机事件		
102151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102153		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
102161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
103011		敌人当前，战斗是唯一的解决方案。		[1]
103012		敌人当前，战斗是唯一的解决方案。		[1]
103013		敌人当前，战斗是唯一的解决方案。		[1]
103021		敌人当前，战斗是唯一的解决方案。		[1]
103022		敌人当前，战斗是唯一的解决方案。		[1]
103023		随机事件		
103024		敌人当前，战斗是唯一的解决方案。		[1]
103031		敌人当前，战斗是唯一的解决方案。		[1]
103032		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
103033		随机事件		
103041		敌人当前，战斗是唯一的解决方案。		[1]
103042		你们找到了空中花园设置的补给点。		
103043		敌人当前，战斗是唯一的解决方案。		[1]
103044		随机事件		
103045		敌人当前，战斗是唯一的解决方案。		[1]
103051		随机事件		
103052		随机事件		
103053		敌人当前，战斗是唯一的解决方案。		[1]
103054		你们找到了空中花园设置的补给点。		
103061		敌人当前，战斗是唯一的解决方案。		[1]
103062		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103063		敌人当前，战斗是唯一的解决方案。		[1]
103071		随机事件		
103072		敌人当前，战斗是唯一的解决方案。		[1]
103073		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103081		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103082		敌人当前，战斗是唯一的解决方案。		[1]
103083		敌人当前，战斗是唯一的解决方案。		[1]
103091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
103092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
103093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
103101		敌人当前，战斗是唯一的解决方案。		[1]
103102		随机事件		
103103		敌人当前，战斗是唯一的解决方案。		[1]
103111		随机事件		
103112		敌人当前，战斗是唯一的解决方案。		[1]
103113		敌人当前，战斗是唯一的解决方案。		[1]
103121		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
103122		敌人当前，战斗是唯一的解决方案。		[1]
103123		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
103124		你们找到了空中花园设置的补给点。		
103131		敌人当前，战斗是唯一的解决方案。		[1]
103132		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
103133		随机事件		
103141		你们找到了空中花园设置的补给点。		
103142		敌人当前，战斗是唯一的解决方案。		[1]
103143		随机事件		
103151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103153		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
103161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
104011		敌人当前，战斗是唯一的解决方案。		[1]
104012		敌人当前，战斗是唯一的解决方案。		[1]
104013		敌人当前，战斗是唯一的解决方案。		[1]
104014		敌人当前，战斗是唯一的解决方案。		[1]
104021		你们找到了空中花园设置的补给点。		
104022		敌人当前，战斗是唯一的解决方案。		[1]
104023		敌人当前，战斗是唯一的解决方案。		[1]
104024		你们找到了空中花园设置的补给点。		
104031		敌人当前，战斗是唯一的解决方案。		[1]
104032		随机事件		
104033		随机事件		
104041		随机事件		
104042		敌人当前，战斗是唯一的解决方案。		[1]
104043		敌人当前，战斗是唯一的解决方案。		[1]
104051		敌人当前，战斗是唯一的解决方案。		[1]
104052		敌人当前，战斗是唯一的解决方案。		[1]
104053		敌人当前，战斗是唯一的解决方案。		[1]
104061		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104062		敌人当前，战斗是唯一的解决方案。		[1]
104063		敌人当前，战斗是唯一的解决方案。		[1]
104064		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104071		敌人当前，战斗是唯一的解决方案。		[1]
104072		随机事件		
104073		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104074		敌人当前，战斗是唯一的解决方案。		[1]
104081		敌人当前，战斗是唯一的解决方案。		[1]
104082		随机事件		
104083		敌人当前，战斗是唯一的解决方案。		[1]
104091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
104092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
104093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
104101		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
104102		敌人当前，战斗是唯一的解决方案。		[1]
104103		随机事件		
104111		敌人当前，战斗是唯一的解决方案。		[1]
104112		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
104113		随机事件		
104114		敌人当前，战斗是唯一的解决方案。		[1]
104121		你们找到了空中花园设置的补给点。		
104122		随机事件		
