Id	Quality	Priority	Name	Description	WorldDescription	Icon	BigIcon	SkipIdParams	ModelTransId	ResonanceModelTransId1	ResonanceModelTransId2	ResonanceModelTransId3	ShopIcon
12010001	5	101	寻途黑羊	新生活系列——双枪	若用往日的偏航来解读自我，便会将自己定义为“害群者”。但没有人会被永远困在过去，出膛的子弹将获得全新的目标，即便是“武器”也会寻回本真的色彩。	Assets/Product/Texture/Image/IconToolsSp/E3GunMd120011Sp.png	Assets/Product/Texture/Image/IconTools/E3GunMd120011.png	[80051]	[20170111, 20170112]				Assets/Product/Texture/Image/IconCoating/IconCoating12010001.png
12010002	5	102	碧海狂鲨	阔海秘闻系列——双枪	原本是黄金时代映画晨星推出的超人气商品，被改装后变成了防水性能超强的武器，内含包括指甲剪和锉刀等12种便利生活的日常工具。外部涂装在某人的建议下保持原样，如果因为它可爱的外表而对它的火力产生错误的认识，那就太天真了。	Assets/Product/Texture/Image/IconToolsSp/E3GunMd130011Sp.png	Assets/Product/Texture/Image/IconTools/E3GunMd130011.png	[80107]	[20170211, 20170212]				Assets/Product/Texture/Image/IconCoating/IconCoating12010002.png
12020001	5	201	粉樱	霓裳系列——太刀	本为百戏班成员表演刀舞所用，舞动时似有花瓣落下。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd140111Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd140111.png	[80005, 80112]	[20270111]				Assets/Product/Texture/Image/IconCoating/IconCoating80001.png
12020002	5	202	卢佩卡里亚	游诗歌谣系列——太刀	用现代技术再现了据说是远古时代牧神之刃才能实现的威能。 巧克力盒中，是你命定之人的名字——古老的王权已经随风而逝，只有这奇妙的风俗依然在某处存续。 来吧，从这盒子里抽出你的归宿——时间，不限。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd160011Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd160011.png	[80003]	[20270211]				Assets/Product/Texture/Image/IconCoating/IconCoating12020002.png
12020003	5	203	影打—残光	时节系列——太刀	如同落日一般，眼前的刀刃正在散发着红色的辉光。仅仅只是残料，在特殊的加工下也会出现这样的变化。就算这么做了刀身的性能也不会有丝毫的变化，但是却能让人下意识的觉得这样的刀刃也许会更加锋利。所谓的‘颜色’便是有这奇妙的功效。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd080012Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd080012.png		[20270311]				Assets/Product/Texture/Image/IconCoating/IconCoating12020003.png
12020004	5	204	骨鳞锋刃	阔海秘闻系列——太刀	你以为人鱼没有守护自己的手段吗？它们以骨为芯，披作鳞甲，铸成锋刃，将自己牢牢保护起来——从身躯到心灵，再到身后那个重要的人。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd180011Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd180011.png	[80026]	[20270411]				Assets/Product/Texture/Image/IconCoating/IconCoating12020004.png
12020005	5	205	暮色仪典	放逐乐园系列——太刀	在薄暮的挽歌中交换永久的誓言，离群的恶魔用赤血铸成契约的锋刃。无需付出任何代价，她会永远陪在你的身边。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd190011Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd190011.png	[80096]	[20270511]				Assets/Product/Texture/Image/IconCoating/IconCoating12020005.png
12030001	5	301	科德韦尔-49	圣誓系列——浮游炮	此款浮游炮以遥远星海中的玫瑰为名。早在黄金时代，便有人称宇宙为终极的浪漫。当然，如果可以将这样的浪漫量化为输出能力，一定是相当令人愉快的课题。 无论从外形或是输出功率来看都无可挑剔，除了对使用者瞄准技术的硬性要求外，它无懈可击。	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd100011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd100011.png		[20370111, 20370112]				Assets/Product/Texture/Image/IconCoating/IconCoating12030001.png
12030002	5	302	白金天鹅	新生活系列——浮游炮	优雅而修长的身姿，时常让人忘记她其实是执行部队构造体所使用的武器。 正如大家总会被天鹅美丽的身姿所吸引，而在不经意间忽视了它其实是具有攻击性的事实。	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd120011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd120011.png	[80028]	[20370311, 20370312]				Assets/Product/Texture/Image/IconCoating/IconCoating12030002.png
12031001	5	303	轻丝俏	时节系列——浮游炮	春风拂叶梢，朴树林间散芳华，佳人静等君。	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd110011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd110011.png	[80015]	[30370111, 30370112]				Assets/Product/Texture/Image/IconCoating/IconCoating12031001.png
