Id	CharacterId	Career	ReferenceComboId	Name
1	1011002	1	[102, 203]	里·异火
2	1021001	1	[101, 201]	露西亚·红莲
3	1031001	3	[101, 202]	丽芙·蚀暗
4	1041002	1	[101, 208]	比安卡·零度
5	1051001	2	[101, 205]	七实·风暴
6	1061002	2	[101, 204]	神威·重能
7	1071002	1	[101, 210]	卡列尼娜·爆裂
8	1081002	1	[101, 207]	渡边·夜刃
9	1021002	1	[103, 201]	露西亚·黎明
10	1031002	3	[103, 202, 211]	丽芙·流光
11	1011003	1	[101, 203, 304]	里·乱数
12	1031003	3	[101, 202, 305]	丽芙·仰光
13	1061003	2	[104, 204, 304]	神威·暗能
14	1071003	1	[102, 210, 304]	卡列尼娜·烬燃
15	1051003	2	[102, 205, 301]	七实·脉冲
16	1021003	1	[101, 302]	露西亚·深红之渊
17	1081003	1	[104, 207]	渡边·夙星
18	1091002	2	[101, 209]	艾拉·溢彩
19	1041003	1	[103, 208, 307]	比安卡·真理
20	1111002	3	[102, 205]	苏菲亚·银牙
21	1121002	2	[103, 204]	库洛姆·弧光
22	1021004	1	[105, 201, 308]	露西亚·鸦羽
23	1131002	3	[104, 206]	薇拉·瑰丽
24	1511003	4	[104, 309]	卡穆·狂犬
25	1141003	2	[101, 207, 305]	罗塞塔·凛冽
26	1521003	4	[101, 214, 309]	曲·雀翎
27	1161002	2	[105, 205]	常羽·游麟
28	1171003	1	[104, 302]	露娜·银冕
29	1211002	3	[105, 204]	万事·明觉
30	1531003	4	[103, 309]	赛琳娜·岚音
31	1121003	2	[105, 204, 306]	库洛姆·荣光
32	1221002	2	[104, 206]	21号·XXI
33	1131003	2	[103, 206, 301]	薇拉·绯耀
34	1541003	4	[102, 309]	罗兰·戏炎
35	1031004	5	[102, 202, 303]	丽芙·极昼
36	1531004	5	[104, 209, 303]	赛琳娜·幻奏
37	1551003	4	[101, 214, 309]	蒲牢·华钟
38	1051004	2	[102, 205, 306]	七实·遥星之座
39	1561003	4	[105, 309]	哈卡玛·隐星
40	1071004	2	[104, 210, 307]	卡列尼娜·辉晓
41	1571003	4	[103, 309]	诺安·逆旅
42	1041004	1	[101, 208, 308]	比安卡·深痕
43	1231002	1	[105, 211]	邦比娜塔·琉璃
44	1011004	1	[102, 212, 304]	里·超刻
45	1091003	5	[105, 209, 303]	艾拉·万华
46	1021005	1	[103, 213, 302]	露西亚·深红囚影
47	1241002	3	[101, 214]	含英·清商
48	1221003	5	[103, 206, 306]	21号·森息
49	1251002	1	[103, 206]	诺克提·擎驱
50	1261003	5	[101, 207, 305]	亚里莎·回音
51	1271003	1	[104, 308]	拉弥亚·深谣
