Id	Name	Repeatable	Type	Quality	UnlockConditionId	EffectGroupId	Description	WorldDesc	Icon	VisionId
1	仿·力量之纹LV.1		1	3		40001	攻击力<color=#dbb536>+10%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅提升攻击力。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png	
2	仿·力量之纹LV.2		1	4		40002	攻击力<color=#dbb536>+20%</color>	仿造远古时代技艺所打造的小纹章，能中幅提升攻击力。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png	
3	仿·力量之纹LV.3		1	5	1006001	40003	攻击力<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅提升攻击力。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png	
4	仿·生命之纹LV.1		1	3		40004	最大生命值<color=#dbb536>+10%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅提升生命值。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip012.png	
5	仿·生命之纹LV.2		1	4		40005	最大生命值<color=#dbb536>+20%</color>	仿造远古时代技艺所打造的小纹章，能中幅提升生命值。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip012.png	
6	仿·复苏之纹LV.1		1	3		40006	每秒恢复<color=#dbb536>1%</color>最大生命值	仿造远古时代技艺所打造的残缺纹章，能小幅地逐渐恢复生命值。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip015.png	
7	仿·复苏之纹LV.2		1	4		40007	每秒恢复<color=#dbb536>2%</color>最大生命值	仿造远古时代技艺所打造的小纹章，能中幅地逐渐恢复生命值。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip015.png	
8	仿·捷力之纹LV.1		1	3		40008	闪避恢复速度<color=#dbb536>+20%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅提升闪避恢复速度。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip019.png	
9	仿·捷力之纹LV.2		1	4		40009	闪避恢复速度<color=#dbb536>+40%</color>	仿造远古时代技艺所打造的纹章，能中幅提升闪避恢复速度。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip019.png	
10	仿·能量之纹LV.1		1	3		40010	每秒回复<color=#dbb536>1</color>点必杀能量	仿造远古时代技艺所打造的残缺纹章，能小幅地逐渐恢复必杀能量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png	
11	仿·能量之纹LV.2		1	4		40011	每秒回复<color=#dbb536>2</color>点必杀能量	仿造远古时代技艺所打造的小纹章，能中幅地逐渐恢复必杀能量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png	
12	仿·能量之纹LV.3		1	5		40012	每秒回复<color=#dbb536>3</color>点必杀能量	仿造远古时代技艺所打造的大纹章，能大幅地逐渐恢复必杀能量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png	
13	仿·载能之纹LV.1		1	3		40013	必杀能量上限<color=#dbb536>+50</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加必杀能量上限。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png	
14	仿·载能之纹LV.2		1	4		40014	必杀能量上限<color=#dbb536>+100</color>	仿造远古时代技艺所打造的小纹章，能中幅增加必杀能量上限。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png	
15	仿·载能之纹LV.3		1	5		40015	必杀能量上限<color=#dbb536>+200</color>	仿造远古时代技艺所打造的大纹章，能大幅增加必杀能量上限。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png	
16	仿·呼吸之纹LV.1		1	3		40016	每<color=#dbb536>20</color>秒获取<color=#dbb536>1组</color>3消球	仿造远古时代技艺所打造的残缺纹章，能缓慢地逐渐获取三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	
17	仿·呼吸之纹LV.2		1	4		40017	每<color=#dbb536>15</color>秒获取<color=#dbb536>1组</color>3消球	仿造远古时代技艺所打造的小纹章，能快速地逐渐获取三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	
18	仿·御力之纹LV.1		1	3		40018	额外伤害减免<color=#dbb536>+10%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加减伤率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip021.png	
19	仿·御力之纹LV.2		1	4		40019	额外伤害减免<color=#dbb536>+20%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加减伤率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip021.png	
20	仿·威压之纹LV.1		1	3		40020	敌人生命值<color=#dbb536>-10%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅减少敌人的生命。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip042.png	
21	仿·威压之纹LV.2		1	4	1004002	40021	敌人生命值<color=#dbb536>-15%</color>	仿造远古时代技艺所打造的小纹章，能中幅减少敌人的生命。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip042.png	
22	仿·威压之纹LV.3		1	5	1004003	40022	敌人生命值<color=#dbb536>-20%</color>	仿造远古时代技艺所打造的大纹章，能大幅减少敌人的生命。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip042.png	
23	仿·侵蚀之纹LV.1		1	3		40023	敌人额外伤害减免<color=#dbb536>-10%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅减少敌人的减伤率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png	
24	仿·侵蚀之纹LV.2		1	4	1004004	40024	敌人额外伤害减免<color=#dbb536>-20%</color>	仿造远古时代技艺所打造的小纹章，能中幅减少敌人的减伤率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png	
25	仿·侵蚀之纹LV.3		1	5	1004005	40025	敌人额外伤害减免<color=#dbb536>-30%</color>	仿造远古时代技艺所打造的大纹章，能大幅减少敌人的减伤率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png	
26	仿·汲取之纹LV.1		1	3	1006006	40026	普攻回球效率<color=#dbb536>+25%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加信号球产出的效率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	
27	仿·汲取之纹LV.2		1	4	1006006	40027	普攻回球效率<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加信号球产出的效率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	
28	仿·汲取之纹LV.3		1	5	1004024	40028	普攻回球效率<color=#dbb536>+100%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加信号球产出的效率。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	
29	仿·速移之纹LV.1		1	3		40029	移动速度<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅提高移动速度。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip053.png	
30	仿·速移之纹LV.2		1	4		40030	移动速度<color=#dbb536>+100%</color>	仿造远古时代技艺所打造的小纹章，能中幅提高移动速度。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip053.png	
31	仿·暇接之纹LV.2		1	4	1006007	40031	切人冷却<color=#dbb536>-15%</color>	仿造远古时代技艺所打造的小纹章，能中幅减少切换成员的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip046.png	
32	仿·暇接之纹LV.3		1	5		40032	切人冷却<color=#dbb536>-25%</color>	仿造远古时代技艺所打造的大纹章，能大幅减少切换成员的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip046.png	
33	仿·合力之纹LV.2		1	4	1006007	40033	QTE冷却<color=#dbb536>-15%</color>	仿造远古时代技艺所打造的小纹章，能中幅减少QTE的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip033.png	
34	仿·合力之纹LV.3		1	5		40034	QTE冷却<color=#dbb536>-25%</color>	仿造远古时代技艺所打造的大纹章，能大幅减少QTE的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip033.png	
35	仿·超算之纹LV.2		1	4	1006007	40035	超算冷却<color=#dbb536>-15%</color>	仿造远古时代技艺所打造的小纹章，能中幅减少超算空间的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip043.png	
36	仿·超算之纹LV.3		1	5		40036	超算冷却<color=#dbb536>-25%</color>	仿造远古时代技艺所打造的大纹章，能大幅减少超算空间的冷却时间。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip043.png	
37	仿·始动之纹LV.1		1	3	1004008	40037	战斗开始时额外获得<color=#dbb536>1组</color>3消球	仿造远古时代技艺所打造的残缺纹章，能在战斗开始时获得一组三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	
38	仿·始动之纹LV.2		1	4	1004008	40038	战斗开始时额外获得<color=#dbb536>2组</color>3消球	仿造远古时代技艺所打造的小纹章，能在战斗开始时获得两组三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	
