Id	NpcId	Level	BuffLevel	BuffIds	Note
1101	90030	265	[1]	[763621]	千位：章节id
1102	90090	365	[1]	[763621]	百位：模式id；1=刷怪、3=割草、4=打桩伤害；
1103	90100	310	[1]	[763621]	6=困难刷怪、7=困难生存、9=困难打桩伤害
1104	90110	380	[1]	[763621]	前5个怪：修理机工、地面监视器、空中监视器、巡境者、保护者（极限型）
1105	90120	265	[1]	[763621]	前5个怪：修理机工、地面监视器、空中监视器、巡境者、保护者（极限型）
1106	90130	225	[1]	[763621]	驯兽师（极限型）
1107	90150	345	[1]	[763621]	液压（极限型）
1108	90160	310	[1]	[763621]	哨戒机炮（极限型）
1109	90180	285	[1]	[763621]	执行者（极限型）
1110	90190	370	[1]	[763621]	守护者（极限型）
1111	90210	250	[1]	[763621]	园丁（极限型）
1112	90730	280	[1]	[763621]	白先生（极限型）
1113	93103	280	[1]	[763621]	树怪（极限型）
1114	93110	410	[1]	[763621]	精灵（极限型）
1115	93160	540	[1]	[763621]	“嘿”帮小弟（极限型）
1301	90030	265	[1]	[763622]	修理机工（极限型）
1302	90090	365	[1]	[763622]	地面监视器（极限型）
1303	90100	310	[1]	[763622]	空中监视器（极限型）
1304	90150	345	[1]	[763622]	液压（极限型）
1305	90180	285	[1]	[763622]	执行者（极限型）
1306	90730	280	[1]	[763622]	白先生（极限型）
1307	93160	540	[1]	[763622]	“嘿”帮小弟（极限型）
1401	90390	355	[1]	[763623]	重型收割机
1402	81100	220	[1]	[763623]	突击壁垒
1601	90110	635	[1]	[763624]	巡境者（极限型）
1602	90120	445	[1]	[763624]	保护者（极限型）
1603	90130	375	[1]	[763624]	驯兽师（极限型）
1604	90150	570	[1]	[763624]	液压（极限型）
1605	90160	515	[1]	[763624]	哨戒机炮（极限型）
1606	90210	415	[1]	[763624]	园丁（极限型）
1607	93103	470	[1]	[763624]	树怪（极限型）
1608	93110	685	[1]	[763624]	精灵（极限型）
1609	90390	410	[1]	[763624]	重型收割机
1701	93160	900	[1]	[763625]	“嘿”帮小弟（极限型）
1702	90390	410	[1]	[763652]	重型收割机
1901	90210	500	[1]	[763626]	园丁（极限型）
1902	81100	305	[1]	[763626]	突击壁垒
2101	90170	255	[1]	[763627]	布道者（极限型）
2102	90180	310	[1]	[763627]	执行者（极限型）
2103	90190	405	[1]	[763627]	守护者（极限型）
2104	90250	225	[1]	[763627]	浪人肆型（极限型）
2105	90260	375	[1]	[763627]	仿生蝾螈（极限型）
2106	90330	350	[1]	[763627]	信使（极限型）
2107	90360	345	[1]	[763627]	分解者（极限型）
2108	90400	250	[1]	[763627]	仿生斗牛（极限型）
2109	90410	245	[1]	[763627]	酸液工蚁（极限型）
2110	90600	865	[1]	[763627]	异合分解单元（极限型）
2111	90610	380	[1]	[763627]	异合修复单元（极限型）
2112	90620	1135	[1]	[763627]	异合火力单元（极限型）
2113	90640	405	[1]	[763627]	力士 陆型（极限型）
2301	90180	310	[1]	[763628]	执行者（极限型）
2302	90190	405	[1]	[763628]	守护者（极限型）
2303	90250	225	[1]	[763628]	浪人肆型（极限型）
2304	90330	350	[1]	[763628]	信使（极限型）
2305	90360	345	[1]	[763628]	分解者（极限型）
2306	90600	865	[1]	[763628]	异合分解单元（极限型）
2307	90620	1135	[1]	[763628]	异合火力单元（极限型）
2308	90640	405	[1]	[763628]	力士 陆型（极限型）
2401	90220	290	[1]	[763629]	遗迹挖掘者
2402	81500	2025	[1]	[763629]	喷涂机械
2403	90400	360	[1]	[763629]	仿生斗牛（极限型）
2404	90410	345	[1]	[763629]	酸液工蚁（极限型）
2601	90170	420	[1]	[763630]	布道者（极限型）
2602	90220	335	[1]	[763630]	遗迹挖掘者
2603	90250	375	[1]	[763630]	浪人肆型（极限型）
2604	90260	630	[1]	[763630]	仿生蝾螈（极限型）
2605	90340	405	[1]	[763630]	重型收割机
2606	90350	1910	[1]	[763630]	消防卫士（极限型）
2607	90380	745	[1]	[763630]	构造体（极限型）
2608	90420	480	[1]	[763630]	武藏陆型（极限型）
2609	90600	1445	[1]	[763630]	异合分解单元（极限型）
2610	90610	630	[1]	[763630]	异合修复单元（极限型）
2611	90620	1890	[1]	[763630]	异合火力单元（极限型）
2612	90630	710	[1]	[763630]	异合勘探单元（极限型）
2613	81200	850	[1]	[763653]	武藏玖型
2614	81500	2360	[1]	[763653]	喷涂机械
2615	81600	595	[1]	[763653]	罗兰
2701	90220	335	[1]	[763631]	遗迹挖掘者
2702	90370	755	[1]	[763631]	遗迹勘探者
2703	90260	630	[1]	[763631]	仿生蝾螈（极限型）
2704	90340	405	[1]	[763631]	重型收割机
2705	90380	745	[1]	[763631]	构造体（极限型）
2706	81600	595	[1]	[763654]	罗兰
2901	90400	505	[1]	[763632]	仿生斗牛（极限型）
2902	90630	850	[1]	[763632]	异合勘探单元（极限型）
2903	81200	1020	[1]	[763632]	武藏玖型
2904	81500	2835	[1]	[763632]	喷涂机械
3101	90450	340	[1, 1]	[763633, 780241]	极地机兵
3102	90460	370	[1, 1]	[763633, 780241]	深海潜伏者
3103	90650	925	[1, 1]	[763633, 780241]	舞轮 肆型（极限型）
3104	90660	465	[1, 1]	[763633, 780241]	吊人 叁型（极限型）
3105	90670	740	[1, 1]	[763633, 780241]	烟粉 壹型（极限型）
3106	90680	530	[1, 1]	[763633, 780241]	九龙众 睚眦（极限型）
3107	90690	285	[1, 1]	[763633, 780241]	禄存
3108	90700	305	[1, 1]	[763633, 780241]	至尊
3109	90710	335	[1, 1]	[763633, 780241]	凯西（极限型）
3110	90720	260	[1, 1]	[763633, 780241]	马天尼（极限型）
3111	90730	335	[1, 1]	[763633, 780241]	白先生（极限型）
3112	90810	325	[1, 1]	[763633, 780241]	太阿壹型（极限型）
3113	90860	650	[1, 1]	[763633, 780241]	波普尔（极限型）
3114	90870	435	[1, 1]	[763633, 780241]	雅斯贝尔斯（极限型）
3115	90990	370	[1, 1]	[763633, 780241]	先锋冲浪者（极限型）
3116	93010	1060	[1, 1]	[763633, 780241]	DB02-洁霸（极限型）
3117	93020	370	[1, 1]	[763633, 780241]	SSG-游曳者（极限型）
3118	93050	395	[1, 1]	[763633, 780241]	构造体士兵（女）（极限型）
3119	93063	270	[1, 1]	[763633, 780241]	构造体队长（女）（极限型）
3301	90640	440	[1]	[763634]	力士 陆型（极限型）
3302	90710	335	[1]	[763634]	凯西（极限型）
3303	90720	260	[1]	[763634]	马天尼（极限型）
3304	90730	335	[1]	[763634]	白先生（极限型）
3305	90810	325	[1]	[763634]	太阿壹型（极限型）
3306	90860	650	[1]	[763634]	波普尔（极限型）
3307	93010	1060	[1]	[763634]	DB02-洁霸（极限型）
3308	93050	395	[1]	[763634]	构造体士兵（女）（极限型）
3309	93063	270	[1]	[763634]	构造体队长（女）（极限型）
3401	90450	485	[1]	[763635]	极地机兵
3402	90690	410	[1]	[763635]	禄存
3403	90700	440	[1]	[763635]	至尊
3404	90870	625	[1]	[763635]	雅斯贝尔斯（极限型）
3601	90440	825	[1, 1]	[763636, 780243]	自律警卫(极限型）
3602	90450	565	[1, 1]	[763636, 780243]	极地机兵
3603	90460	620	[1, 1]	[763636, 780243]	深海潜伏者
3604	90650	1545	[1, 1]	[763636, 780243]	舞轮 肆型（极限型）
3605	90660	775	[1, 1]	[763636, 780243]	吊人 叁型（极限型）
3606	90690	475	[1, 1]	[763636, 780243]	禄存
3607	90700	510	[1, 1]	[763636, 780243]	至尊
3608	90710	560	[1, 1]	[763636, 780243]	凯西（极限型）
3609	90740	620	[1, 1]	[763636, 780243]	阿茂
3610	90990	620	[1, 1]	[763636, 780243]	先锋冲浪者（极限型）
3611	93050	655	[1, 1]	[763636, 780243]	构造体士兵（女）（极限型）
3612	93063	455	[1, 1]	[763636, 780243]	构造体队长（女）（极限型）
3613	93070	775	[1, 1]	[763636, 780243]	圣堂守卫（极限型）
3614	81300	1845	[1, 1]	[763655, 780243]	蔷薇之剑
