Id	Count	Name	Desc	Icon
1	20	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
2	19	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
3	18	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
4	17	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
5	16	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
6	15	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
7	14	神秘姜饼袋	领取后可随机获得14-20枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
8	30	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
9	29	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
10	28	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
11	27	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
12	26	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
13	25	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
14	24	神秘姜饼大袋	领取后可随机获得24-30枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
15	3	小堆姜饼	领取后可随机获得3-4枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
16	4	小堆姜饼	领取后可随机获得3-4枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
17	5	一堆姜饼	领取后可随机获得5-6枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
18	6	一堆姜饼	领取后可随机获得5-6枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
19	8	大堆姜饼	领取后可获得8枚锡制姜饼	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png
