Id	UnlockPrice	EffectGroupId	PreStrengthenIds	Name	Desc	Icon	GroupId	ActiveLinesIndex
1	200	51001		攻击力提升	攻击力提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	1	[1]
2	200	51002	[1]	生命提升	最大生命值提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	1	[4, 6]
3	200	51003	[2]	伤害提升	额外伤害加成提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	1	
4	250	51004	[2, 5, 6]	鲨鲨特快强化	鲨鲨特快中售卖格+1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	1	
5	200	51005		全面提升	所有基础属性（攻击、生命、会心、防御）提升2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	1	[2]
6	200	50006	[7]	初始秘血提升	游戏开始时额外携带1瓶仿生秘血	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	1	[7, 5]
7	200	50007		初始姜饼提升	游戏开始时额外携带3颗锡制姜饼	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	1	[3]
8	200	50005	[6]	鲨鲨特快强化	鲨鲨特快中商品的打折格数+1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	1	
9	250	51011	[4]	攻击力提升	攻击力提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	2	[1]
10	250	51012	[9]	生命提升	最大生命值提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	2	[4, 6]
11	250	51013	[10]	伤害提升	额外伤害加成提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	2	
12	300	50012	[10, 13, 14]	结算积分加成	在结算时【注厄结晶】与【解咒残章】获取增加10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	2	
13	250	51014	[4]	全面提升	所有基础属性（攻击、生命、会心、防御）提升2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	2	[2]
14	250	50014	[15]	初始秘血提升	游戏开始时额外携带1瓶仿生秘血	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	2	[7, 5]
15	250	50015	[4]	初始姜饼提升	游戏开始时额外携带3颗锡制姜饼	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	2	[3]
16	250	50021	[14]	鲨鲨特快强化	鲨鲨特快中商品打折力度提升	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	2	
17	300	51021	[12]	攻击力提升	攻击力提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	3	[1]
18	300	51022	[17]	生命提升	最大生命值提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	3	[4, 6]
19	300	51023	[18]	伤害提升	额外伤害加成提升5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	3	
20	300	51024	[18, 21, 22]	强效伤害提升	物理/火/雷/暗/冰属性伤害额外提升10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	3	
21	300	51025	[12]	全面提升	所有基础属性（攻击、生命、会心、防御）提升2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	3	[2]
22	300	50022	[23]	初始秘血提升	游戏开始时额外携带1瓶仿生秘血	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	3	[7, 5]
23	300	50023	[12]	初始姜饼提升	游戏开始时额外携带3颗锡制姜饼	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	3	[3]
24	300	50020	[22]	招募刷新强化	招募角色时刷新次数+1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill04.png	3	
