Id	Name	ComboTypeId	IconPath	ConditionDescription	ActivationType
101	战刃	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo11.png	战刃	2
102	矩阵-火	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo12.png	矩阵-火	2
103	矩阵-雷	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo14.png	矩阵-雷	2
104	矩阵-暗	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo15.png	矩阵-暗	2
105	矩阵-冰	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo13.png	矩阵-冰	2
201	凝视境界	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo01.png	凝视境界	2
202	纯净恩礼	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo02.png	纯净恩礼	2
203	极限演算	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo03.png	极限演算	2
204	抗争之翼	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo04.png	抗争之翼	2
205	小孩子同盟	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo08.png	小孩子同盟	2
206	地狱守卫	2	Assets/Product/Texture/Image/UiFight/FightExpeditionskill11.png	地狱守卫	2
207	遗罪残响	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo06.png	遗罪残响	2
208	最终审判	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo07.png	最终审判	2
209	幻绘崩奏	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo20.png	幻绘崩奏	2
210	创毁者	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo05.png	创毁者	2
301	超频	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	超频	2
302	升变	3	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo19.png	升变	2
303	终焉	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill02.png	终焉	2
304	清算	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill01.png	清算	2
305	圣裁	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill05.png	圣裁	2
306	坚壁	3	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreJianbi.png	坚壁	2
307	骤雨	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill10.png	骤雨	2
308	狂岚	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill03.png	狂岚	2
309	离群	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill04.png	离群	2
211	往时鹭影	2	Assets/Product/Texture/Image/UiBiancaTheatre/BailujibanIcon.png	往时鹭影	2
212	叠时共振	2	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatrechaolijiban.png	叠时共振	2
213	剑御雷鸣	2	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatrechaoaerfajiban.png	剑御雷鸣	2
214	九龙商会	2	Assets/Product/Texture/Image/UiBiancaTheatre/Jiulongjibanicon.png	九龙商会	2
