Id	Note	TemplateId	StageId	Weight	Mode	ModeParams	TimeLimit	MonsterGroupId	FightEventIds	SuggestAbility
11111	templateID：	1111	30062615	100	1	[0]	90	[111111]	[2250508]	1800
11112	千位=章节	1111	30062615	100	1	[0]	90	[111121]	[2250508]	1800
11113	百位=模式，+5=困难模式	1111	30062615	100	1	[0]	90	[111131]	[2250508, 2250501]	1800
11121	十位=怪物波次	1112	30062615	100	1	[0]	90	[111211]	[2250508]	1800
11122	个位=流水ID	1112	30062615	100	1	[0]	90	[111221]	[2250508]	1800
11123	第一章-节点1简单保底	1112	30062615	100	1	[0]	90	[111231]	[2250508, 2250501]	1800
11211	第一章-普通刷怪	1121	30062612	100	1	[0, 30]	90	[112111, 112112]	[2250508]	3300
11212	第一章-普通刷怪	1121	30062612	100	1	[0, 30]	90	[112121, 112122]	[2250508]	3300
11213	第一章-普通刷怪	1121	30062612	100	1	[0, 30]	90	[112131, 112132]	[2250508, 2250501]	3300
11221	第一章-普通刷怪	1122	30062612	100	1	[0, 30]	90	[112211, 112212]	[2250508]	3300
11222	第一章-普通刷怪	1122	30062612	100	1	[0, 30]	90	[112221, 112222]	[2250508]	3300
11223	第一章-普通刷怪	1122	30062612	100	1	[0, 30]	90	[112231, 112232]	[2250508, 2250501]	3300
13111	第一章-普通割草	1311	30062612	100	3	[20]	90	[131111]	[2250508]	3300
13112	第一章-普通割草	1311	30062612	100	3	[20]	90	[131121]	[2250508]	3300
13113	第一章-普通割草	1311	30062612	100	3	[20]	90	[131131]	[2250508]	3300
16211	第一章-困难刷怪	1621	30062602	100	1	[0, 30]	90	[162111, 162112]	[2250508]	3300
16212	第一章-困难刷怪	1621	30062602	100	1	[0, 30]	90	[162121, 162122]	[2250508, 2250501]	3300
16213	第一章-困难刷怪	1621	30062602	100	1	[0, 30]	90	[162131, 162132]	[2250508, 2250501]	3300
16221	第一章-困难刷怪-灵视保底	1622	30062602	100	1	[0, 30]	90	[162211, 162212]	[2250509, 2250501, 2250508]	3300
16222	第一章-困难刷怪-灵视保底	1622	30062602	100	1	[0, 30]	90	[162221, 162222]	[2250509, 2250501, 2250508]	3300
16223	第一章-困难刷怪-灵视保底	1622	30062602	100	1	[0, 30]	90	[162231, 162232]	[2250509, 2250501, 2250508]	3300
21211	第二章-普通刷怪	2121	30062609	100	1	[0, 30]	90	[212111, 212112]	[2250508]	3300
21212	第二章-普通刷怪	2121	30062609	100	1	[0, 30]	90	[212121, 212122]	[2250508]	3300
21213	第二章-普通刷怪	2121	30062609	100	1	[0, 30]	90	[212131, 212132]	[2250508, 2250501]	3300
21214	第二章-普通刷怪	2121	30062609	100	1	[0, 30]	90	[212141, 212142]	[2250508]	3300
21221	第二章-普通刷怪	2122	30062609	100	1	[0, 30]	90	[212211, 212212]	[2250508]	3300
21222	第二章-普通刷怪	2122	30062609	100	1	[0, 30]	90	[212221, 212222]	[2250508, 2250501]	3300
21223	第二章-普通刷怪	2122	30062603	100	1	[0, 30]	90	[212231, 212232]	[2250508]	3300
21224	第二章-普通刷怪	2122	30062603	100	1	[0, 30]	90	[212241, 212242]	[2250508]	3300
21225	第二章-普通刷怪	2122	30062603	100	1	[0, 30]	90	[212251, 212252]	[2250508, 2250501]	3300
23111	第二章-普通割草	2311	30062603	100	3	[20]	90	[231111]	[2250508]	3300
23112	第二章-普通割草	2311	30062603	100	3	[20]	90	[231121]	[2250508]	3300
23113	第二章-普通割草	2311	30062603	100	3	[20]	90	[231131]	[2250508]	3300
23114	第二章-普通割草	2311	30062603	100	3	[20]	90	[231141]	[2250508]	3300
23115	第二章-普通割草	2311	30062603	100	3	[20]	90	[231151]	[2250508]	3300
24111	第二章-普通打伤害	2411	30062616	100	4	[1400000]	90	[241111]	[2250508, 2250405]	3300
24112	第二章-普通打伤害	2412	30062616	100	4	[1900000]	90	[241121]	[2250508, 2250405]	3300
24113	第二章-普通打伤害	2413	30062616	100	4	[2500000]	90	[241111]	[2250508, 2250405]	3300
24114	第二章-普通打伤害	2414	30062616	100	4	[3100000]	90	[241121]	[2250508, 2250405]	3300
24115	第二章-普通打伤害	2415	30062616	100	4	[3700000]	90	[241111]	[2250508, 2250405]	3300
26211	第二章-困难刷怪	2621	30062601	100	1	[0, 30]	90	[262111, 262112]	[2250508, 2250501]	3300
26212	第二章-困难刷怪	2621	30062601	100	1	[0, 30]	90	[262121, 262122]	[2250508, 2250501]	3300
26221	第二章-困难刷怪-灵视保底	2622	30062601	100	1	[0, 30]	90	[262211, 262212]	[2250509, 2250501, 2250508]	3300
26222	第二章-困难刷怪-灵视保底	2622	30062601	100	1	[0, 30]	90	[262221, 262222]	[2250509, 2250501, 2250508]	3300
26223	第二章-困难刷怪-灵视保底	2622	30062601	100	1	[0, 30]	90	[262231, 262232]	[2250509, 2250501, 2250508]	3300
