Id	GroupId	SafeGroupId	Name	Desc	Icon
1	[1, 1, 1]	4	普通秘藏盒	普通的秘藏箱，有较低的概率出现五星秘藏品	Assets/Product/Texture/Image/IconTools/IconRougeItem04.png
2	[2, 2, 2]	4	珍稀秘藏盒	比较少见的秘藏箱，有一定的概率出现五星秘藏品	Assets/Product/Texture/Image/IconTools/IconRougeItem05.png
3	[3, 3, 3]	4	传说秘藏盒	传说中的秘藏箱，极大概率出现五星秘藏品	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
101	[1]	4	开局立即获取	开局立即获取	Assets/Product/Texture/Image/IconTools/IconRougeItem04.png
102	[1]	4	第三章额外获取	第三章额外获取	Assets/Product/Texture/Image/IconTools/IconRougeItem04.png
103	[2]	4	第五章额外获取	第五章额外获取	Assets/Product/Texture/Image/IconTools/IconRougeItem05.png
201	[201]	4	迷途者的秘宝	属于迷途者·格雷的个人密藏箱	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
202	[202]	4	愚钝者的秘宝	属于愚钝者·别西卜的个人密藏箱	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
203	[203]	4	处刑者的秘宝	属于处刑者·阿尔格雷翁的个人密藏箱	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
204	[204]	4	猩红之箱	承载着未知的灵智精华。一旦承受，便将无法回头	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
205	[205]	4	恶魔的秘宝	为表达歉意，鲨之恶魔给予冒险者的特别秘藏箱	Assets/Product/Texture/Image/IconTools/IconRougeItem029.png
206	[206]	4	烙印正在闪耀..	意志的光辉从中迸发	Assets/Product/Texture/Image/IconTools/IconRougeItem039.png
