Id	Quality	RefreshCount	RecruitCount	LeastRecruitCount	GroupId	Name	Desc	Icon	IsSpecial
1001	4	1	1	1	[1001, 1002, 1003]	火之邀约LV1	首个招募位必定出现火属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem026.png	
2001	4	1	1	1	[2001, 2002, 2003]	冰之邀约LV1	首个招募位必定出现冰属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem025.png	
3001	4	1	1	1	[3001, 3002, 3003]	暗之邀约LV1	首个招募位必定出现暗属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem023.png	
4001	4	1	1	1	[4001, 4002, 4003]	雷之邀约LV1	首个招募位必定出现雷属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem024.png	
5001	4	1	1	1	[5001, 5002, 5003]	刃之邀约LV1	首个招募位必定出现物理属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem027.png	
1002	5	1	1	1	[1004, 1005, 1006]	火之邀约LV2	首个招募位必定出现S级火属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem026.png	1
2002	5	1	1	1	[2004, 2005, 2006]	冰之邀约LV2	首个招募位必定出现S级冰属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem025.png	1
3002	5	1	1	1	[3004, 3005, 3006]	暗之邀约LV2	首个招募位必定出现S级暗属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem023.png	1
4002	5	1	1	1	[4004, 4005, 4006]	雷之邀约LV2	首个招募位必定出现S级雷属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem024.png	1
5002	5	1	1	1	[5004, 5005, 5006]	刃之邀约LV2	首个招募位必定出现S级物理属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem027.png	1
1003	4	1	1	1	[1001, 1002, 1003]	火之邀约LV1	首个招募位必定出现火属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem026.png	
2003	4	1	1	1	[2001, 2002, 2003]	冰之邀约LV1	首个招募位必定出现冰属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem025.png	
3003	4	1	1	1	[3001, 3002, 3003]	暗之邀约LV1	首个招募位必定出现暗属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem023.png	
4003	4	1	1	1	[4001, 4002, 4003]	雷之邀约LV1	首个招募位必定出现雷属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem024.png	
5003	4	1	1	1	[5001, 5002, 5003]	刃之邀约LV1	首个招募位必定出现物理属性机体	Assets/Product/Texture/Image/IconTools/IconRougeItem027.png	
9001	4	1	1	1	[9001, 9001, 9001]	神秘邀约LV1	所有招募位随机出现各类机体	Assets/Product/Texture/Image/IconTools/IconRougeItem028.png	
1004	5	1	1	1	[1004, 1005, 1006]	火之邀约LV2	首个招募位必定出现S级火属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem026.png	
2004	5	1	1	1	[2004, 2005, 2006]	冰之邀约LV2	首个招募位必定出现S级冰属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem025.png	
3004	5	1	1	1	[3004, 3005, 3006]	暗之邀约LV2	首个招募位必定出现S级暗属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem023.png	
4004	5	1	1	1	[4004, 4005, 4006]	雷之邀约LV2	首个招募位必定出现S级雷属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem024.png	
5004	5	1	1	1	[5004, 5005, 5006]	刃之邀约LV2	首个招募位必定出现S级物理属性泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem027.png	
9002	5	1	1	1	[9002, 9003, 9003]	神秘邀约LV2	所有招募位随机出现各类机体 首个招募位必定为S级泛用机体	Assets/Product/Texture/Image/IconTools/IconRougeItem028.png	
