Id	Name	ChildComboId	EffectDescription	ConditionDesc	ConditionLevel	ConditionNum	IsDecay	EffectId	EffectValid	EffectTarget	Quality
1011	矩阵-战刃-1阶	101	造成物理伤害时，削减敌人<color=#dbb536>100%</color>防御力，持续<color=#dbb536>15</color>秒，重复触发刷新持续时间；不与其他羁绊叠加	战刃成员总星级达 <color=#dbb536>2星</color>	2	1		[10011]	[1011]	[1]	3
1012	矩阵-战刃-2阶	101	造成伤害时，使敌人的额外伤害减免降低<color=#dbb536>50%</color>，持续<color=#dbb536>15</color>秒，重复触发刷新持续时间；不与其他羁绊叠加\n并继承所有<color=#dbb536>1级</color>羁绊效果	战刃成员总星级达 <color=#dbb536>4星</color>	4	1		[10011, 10012]	[1011, 1011]	[1, 1]	4
1013	矩阵-战刃-3阶	101	进入战斗后，永久提升<color=#dbb536>40%</color>暴击率与<color=#dbb536>100%</color>暴击伤害\n并继承所有<color=#dbb536>2级</color>羁绊效果	战刃成员总星级达 <color=#dbb536>6星</color>	6	1		[10011, 10012, 10013]	[1011, 1011, 1011]	[1, 1, 1]	5
1014	矩阵-战刃-4阶	101	进入战斗后，为所有敌人施加<color=#dbb536>脆弱</color>效果， 基于此特性受到物理攻击时伤害提升<color=#dbb536>30%</color>\n并继承所有<color=#dbb536>3级</color>羁绊效果	战刃成员总星级达 <color=#dbb536>8星</color>	8	1		[10011, 10012, 10013, 10014]	[1011, 1011, 1011, 1011]	[1, 1, 1, 1]	6
1015	猩红-战刃-5阶	101	造成伤害时召唤多把浮游刃攻击敌人，合计造成<color=#dbb536>1500%</color>的物理伤害，该伤害有<color=#dbb536>30%</color>吸血效果；触发冷却时间<color=#dbb536>10</color>秒\n造成<color=#dbb536>物理伤害</color>时，最终伤害值提升<color=#dbb536>50%</color>\n并继承所有<color=#dbb536>4级</color>羁绊效果	战刃成员总星级达 <color=#dbb536>10星</color>	10	1	1	[10011, 10012, 10013, 10014, 10015]	[1011, 1011, 1011, 1011, 1011]	[1, 1, 1, 1, 1]	6
1021	矩阵-火-1阶	102	火属性额外伤害加成提升<color=#dbb536>50%</color>，不与其他羁绊叠加	矩阵-火成员总星级达 <color=#dbb536>2星</color>	2	1		[10021]	[1021]	[1]	3
1022	矩阵-火-2阶	102	造成伤害时，使敌人的额外伤害减免降低<color=#dbb536>50%</color>，持续<color=#dbb536>15</color>秒，重复触发刷新持续时间；不与其他羁绊叠加\n并继承所有<color=#dbb536>1级</color>羁绊效果	矩阵-火成员总星级达 <color=#dbb536>4星</color>	4	1		[10021, 10022]	[1021, 1021]	[1, 1]	4
1023	矩阵-火-3阶	102	造成伤害时，使敌人的火属性抗性降低<color=#dbb536>70%</color>，持续<color=#dbb536>15</color>秒，重复触发刷新持续时间；不与其他羁绊叠加\n并继承所有<color=#dbb536>2级</color>羁绊效果	矩阵-火成员总星级达 <color=#dbb536>6星</color>	6	1		[10021, 10022, 10023]	[1021, 1021, 1021]	[1, 1, 1]	5
1024	矩阵-火-4阶	102	进入战斗后，为所有敌人施加<color=#dbb536>易燃</color>效果， 基于此特性受到火属性攻击时伤害提升<color=#dbb536>30%</color>\n并继承所有<color=#dbb536>3级</color>羁绊效果	矩阵-火成员总星级达 <color=#dbb536>8星</color>	8	1		[10021, 10022, 10023, 10024]	[1021, 1021, 1021, 1021]	[1, 1, 1, 1]	6
1025	猩红-火-5阶	102	造成伤害时生成一颗陨石，对大范围内所有敌人造成<color=#dbb536>3000%</color>的火属性伤害，受到伤害的敌人额外伤害加成<color=#dbb536>降低50%</color>，持续<color=#dbb536>5秒</color>；触发冷却时间<color=#dbb536>10</color>秒\n造成<color=#dbb536>火属性伤害</color>时，最终伤害值提升<color=#dbb536>50%</color>\n并继承所有<color=#dbb536>4级</color>羁绊效果	矩阵-火成员总星级达 <color=#dbb536>10星</color>	10	1	1	[10021, 10022, 10023, 10024, 10025]	[1021, 1021, 1021, 1021, 1021]	[1, 1, 1, 1, 1]	6
