Id	Desc	ResetType	Type	Params
101	锡纸姜饼直接获取+10	1	1	[96119.0, 10.0]
102	锡纸姜饼直接获取+20	1	1	[96119.0, 20.0]
103	锡纸姜饼直接获取+30	1	1	[96119.0, 30.0]
104	战斗保底锡制姜饼掉落+2	1	3	[2.0]
105	战斗保底锡制姜饼掉落+4	1	3	[4.0]
106	战斗保底锡制姜饼掉落+6	1	3	[6.0]
107	节点额外锡制姜饼+2	1	4	[96119.0, 2.0]
108	节点额外锡制姜饼+3	1	4	[96119.0, 3.0]
109	仿生秘血直接获取+3	1	1	[96120.0, 3.0]
110	仿生秘血直接获取+6	1	1	[96120.0, 6.0]
111	仿生秘血直接获取+9	1	1	[96120.0, 9.0]
112	仿生秘血直接获取+12	1	1	[96120.0, 12.0]
113	节点额外仿生秘血+1	1	4	[96120.0, 1.0]
114	招募券额外刷新次数+1	1	5	[1.0]
115	商店折扣位+2	1	7	[2.0]
116	所有招募券额外招募次数+1	1	6	[1.0]
117	所有道具箱中稀有道具出现概率增加100%	1	8	[4.0, 2.0]
118	所有道具箱中传说道具出现概率增加100%	1	8	[5.0, 2.0]
119	开局金币永久+3	2	10	[96119.0, 3.0]
120	开局血清永久+1	2	10	[96120.0, 1.0]
121	商店折扣格永久+1	2	7	[1.0]
122	招募券刷新次数永久+1	2	5	[1.0]
123	开局金币永久+3	2	10	[96119.0, 3.0]
124	开局血清永久+1	2	1	[96120.0, 1.0]
125	招募券刷新次数永久+1	2	5	[1.0]
126	结算分数永久+10%	2	12	[1.1]
127	开局金币永久+3	2	10	[96119.0, 3.0]
128	开局血清永久+1	2	10	[96120.0, 1.0]
129	商店折扣商品力度提升+25%	2	11	[0.75]
130	招募券刷新次数永久+1	2	5	[1.0]
131	游戏开始时额外获取仿生秘血*2	1	1	[96120.0, 2.0]
132	游戏开始时额外获取锡制姜饼*8	1	1	[96119.0, 8.0]
133	招募刷新次数+1	1	5	[1.0]
134	小幅提升招募出现S级角色的概率	1	13	[1.5]
135	立即获取随机秘藏品	1	14	[101.0]
136	玩家在第一轮第三章额外收藏品	1	15	[3.0, 102.0]
137	玩家在第一轮第五章额外收藏品	1	15	[5.0, 103.0]
138	玩家在第二轮第三章额外收藏品	1	15	[9.0, 102.0]
139	玩家在第二轮第五章额外收藏品	1	15	[11.0, 103.0]
140	困难战斗额外掉落一个随机秘藏品	1	16	
141	开局初始姜饼*5	1	1	[96119.0, 5.0]
142	开局初始秘血*3	1	1	[96120.0, 3.0]
143	每个秘藏品提供10%额外伤害加成（传值）	1	9	
144	本局对战中出战人数-1	1	20	[2.0]
145	所有战斗额外产出一个随机藏品	1	21	[1.0]
146	清空姜饼	1	22	[96119.0, 0.0]
147	清空秘血	1	22	[96120.0, 0.0]
148	无法再获得姜饼	1	23	
149	无法再获得秘血	1	24	
150	无法进行招募刷新	1	25	
151	额外奖励产出概率提升30%	1	18	[30.0]
152	额外奖励产出概率提升50%	1	18	[50.0]
153	额外奖励产出概率提升70%	1	18	[70.0]
154	额外奖励产出概率提升100%	1	18	[100.0]
155	灵智阶段up，权重*150%	1	17	[149.0, 1.5]
156	灵智阶段up，权重*150%	1	17	[157.0, 1.5]
157	灵智阶段up，权重*150%	1	17	[158.0, 1.5]
158	灵智阶段up，权重*150%	1	17	[159.0, 1.5]
159	特殊：受灵视权重*200%	1	17	[128.0, 2.0]
160	灵智阶段up，权重*150%	1	17	[160.0, 1.5]
161	灵智阶段up，权重*150%	1	17	[161.0, 1.5]
162	灵智阶段up，权重*150%	1	17	[164.0, 1.5]
163	特殊：受灵视权重*200%	1	17	[138.0, 2.0]
164	灵智阶段up，权重*150%	1	17	[165.0, 1.5]
165	让事件120权重*400%	1	17	[120.0, 4.0]
166	让事件121权重*400%	1	17	[121.0, 4.0]
167	让事件122权重*400%	1	17	[122.0, 4.0]
168	让129权重*400%	1	17	[129.0, 4.0]
169	让130权重*400%	1	17	[130.0, 4.0]
170	让167权重提升400%	1	17	[167.0, 4.0]
171	让168权重提升400%	1	17	[168.0, 4.0]
172	让139权重提升400%	1	17	[139.0, 4.0]
173	让所有战斗格额外产出招募券的几率提升至50%	1	19	[1000.0]
174	商店折扣位+6	1	7	[6.0]
175	商店折扣商品力度提升+100%	2	11	[0.0]
176	显著提升招募出现S级角色的概率	1	13	[1.5]
