Id	EventId	StepId	NextStepId	Type	FightNodeId	EffectGroupId	StepRewardItemType	StoryId	StepRewardItemId	StepRewardItemCount	OptionDesc	OptionDownDesc	OptionIcon	OptionType	OptionItemType	OptionItemId	OptionItemCount	OptionNextStepGroupId	OptionCondition	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
1	101	1011		2							{1: '探索卧室', 2: '探索储藏室'}	{1: '深入探索', 2: '深入探索'}		{1: 3, 2: 3}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 10111, 2: 10112}		废弃庭院	你走进了废弃庭院		废弃庭院	已被废弃许久，但或许还有值得翻找的资源	你回到了自己醒来时所处的那座庄园。来到屋内，破败的主厅里满是灰尘与霉斑的气息，你不想在这里久留，但脑海内总有一个声音，促使你继续探索这间诡异的建筑。	下定决心	Assets/Product/Texture/Image/BgStory/Bgstory388.png
2	101	1012		3			3		{1: 1}	{1: 1}										废弃庭院	你走进了庄园卧室		废弃庭院	庄园卧室	你走进庄园的卧室，发现在自己刚苏醒时还空无一物的床头柜上，不知是谁留了一箱待打开的秘藏箱，正静静地等待着你去开启。	开启箱子	Assets/Product/Texture/Image/BgStory/Bgstory372.png
3	101	1013		3			1		{1: 96119}	{1: 8}										废弃庭院	你走进了庄园贮藏室		废弃庭院	庄园储藏室	你来到庄园的储藏室，掸开迎面而来的积灰，幸运地在某个储物箱里发现了一些锡制姜饼	收入囊中	Assets/Product/Texture/Image/BgStory/Bgstory387.png
4	102	1021		2							{1: '收下赠礼'}	{1: '收下赠礼'}		{1: 3}	{1: 0}	{1: 0}	{1: 0}	{1: 10211}		柯蕾多尔的馈赠	你遇到了她	Assets/Product/Texture/Image/RoleStory/V130mlnNormal05.png	柯蕾多尔	这是我的小小赠礼。。请收下它吧。。。。	为遵从潮声的呼唤，踏上渡厄者之路的你，身为引导者的少女准备了一份小小的赠礼，希望它能对你的旅途起到一定帮助。	下定决心	Assets/Product/Texture/Image/BgStory/Bgstory373.png
5	102	1022		3			3		{1: 1}	{1: 1}										柯蕾多尔的馈赠	你接受了她	Assets/Product/Texture/Image/RoleStory/V130mlnNormal04.png	柯蕾多尔	希望它能为你的旅途提供助力	小小的礼物虽不足以助你踏平一切障碍，但那其中寄宿着少女温暖的心意。	收下礼物	Assets/Product/Texture/Image/BgStory/Bgstory373.png
6	103	1031		2							{1: '不妨听听', 2: '闭目歇息'}	{1: '不妨听听', 2: '闭目歇息'}		{1: 3, 2: 3}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 10311, 2: 10312}		悠久之歌	歌谣在此回荡	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal02.png	吟游诗人	尊敬的同伴啊，你是否愿意听我为你演奏一曲	你在一处偏僻的地域扎营休憩，一名衣着破烂的吟游诗人在你升起的营火旁坐下，如果你愿意，他很乐意为您演奏一曲有关无名英雄的诗歌。	下定决心	Assets/Product/Texture/Image/BgStory/Bgstory359.png
7	103	1032		3			4		{1: 9001}	{1: 1}										悠久之歌	你认真欣赏	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal01.png	吟游诗人	那是来自远古的神话。。。	在月亮被血色笼罩的时代，英雄们的家园被猩红腐蚀，他们不得不离开故乡，暂居天空，为夺回大地而展开了旷日已久的战争——那是来自远古的神话，而诗人的歌谣中似乎也另藏玄机，你能在歌词所指的地方找到志同道合的同伴。	招募同伴	Assets/Product/Texture/Image/BgStory/Bgstory359.png
8	103	1033		3			1		{1: 96119}	{1: 9}										悠久之歌	你闭目歇息	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal02.png	空无一人	但似乎有东西在闪闪发光	你太累了，无视诗人的呓语，自顾自地进入梦乡。醒来时，诗人已不见踪影，但他留下了一些钱财，作为提供歇息之所的感谢。	收下钱财	Assets/Product/Texture/Image/BgStory/Bgstory359.png
9	104	1041		2							{1: '尽情豪饮', 2: '小酌即止'}	{1: '尽情豪饮', 2: '小酌即止'}		{1: 3, 2: 3}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 0, 2: 0}	{1: 10411, 2: 10412}		欢乐时光	你走进了小镇酒馆		小镇酒馆	。。。。。人声鼎沸。。。。	小镇的酒馆正在举办一场全民参加的饮酒会，世代以酿酒为业的诺曼家族为全镇人提供了这场丰盛的筵席。你似乎可以在这场欢乐的聚会里寻找这次旅行中为数不多的慰藉	下定决心	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg
10	104	1042		3			4		{1: 9001}	{1: 1}										欢乐时光	你一下就喝掉了好几桶		小镇酒馆	。。。。人群爆发出剧烈的欢呼声。。。。	你豪饮的姿态引得众人瞩目，几位客人为你的气概折服，向你发出了一同旅行的邀请。	招募同伴	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg
11	104	1043		3			1		{1: 96120}	{1: 3}										欢乐时光	轻抿几口		小镇酒馆	。。。。。人声依旧鼎沸。。。。	你只将酒酿作为调节心情的饮品，接下来的旅途还很漫长，需要你时刻保持一颗专注冷静的心。	获得补给	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg
12	105	1051		2							{1: '选择秘血', 2: '领取姜饼', 3: '谢绝修女的布施（需激活灵智）'}	{1: '选择秘血', 2: '领取姜饼', 3: '谢绝修女的布施'}		{1: 3, 2: 3, 3: 3}	{1: 0, 2: 0, 3: 0}	{1: 0, 2: 0, 3: 0}	{1: 0, 2: 0, 3: 0}	{1: 10511, 2: 10512, 3: 10513}	{3: 1005046}	布道者	一位修女向你走来	Assets/Product/Texture/Image/RoleStory/CibeizheNormal03.png	修女	是渡厄者么，请务必收下我们。。。。	在荣光的国度因浩劫而覆灭之后，远古的知识也成了无法解读的智慧。求道者们聚集在一起，试图触及那被淹没在大地之下的真相。此时，修女们正在派发免费的物资，你虽并非信徒，但在耐心听完教会的历史后，似乎也可以从中分一杯羹。	下定决心	Assets/Product/Texture/Image/BgStory/Bgstory364.png
