Id	DiscountNum	DiscountRate	GroupId	ConditionId	TitleContent	RoleIcon	RoleName	RoleContent	Desc	EndDesc	EndComfirmText	BgAsset
11	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory388.png
12	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory388.png
13	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory388.png
14	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory388.png
21	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory361.png
22	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory361.png
23	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory361.png
24	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory361.png
31	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
32	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
