Id	IconName	IconImage	IconTiltImage	Score	IsPrix
1	牛奶冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	120	
2	咖啡冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	120	
3	西瓜冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	120	
4	蜜瓜冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	120	
5	薄荷冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	120	
6	鲨鲨冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	250	True
7	牛奶冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon02.png	250	
8	咖啡冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon01.png	250	
9	西瓜冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon03.png	250	
10	蜜瓜冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon05.png	250	
11	薄荷冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon06.png	250	
12	鲨鲨冰	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	Assets/Product/Texture/Atlas/UiFubenSlotmachine/UiFubenSlotmachineIcon04.png	400	True
