Name	Id	Type	Des	Power	IsPercent	DescEn
Life	1001	1	生命	0.2		HEALTH
Attack	1002	1	攻击	1.0		DAMAGE
AttackIntensity	1003	1	攻击强度			
Defense	1004	1	防御	0.5		DEFENCE
DefensePierceP	1005	1	防御穿透		True	
CritP	2001	2	暴击率		True	
CritResistanceP	2002	2	暴击抵抗		True	
CritDmgRateP	2003	2	暴击伤害率		True	
CritDmgRateReductionP	2004	2	暴击伤害率减免		True	
ShieldEfficiencyP	3001	3	护盾效率		True	
ShieldAmpP	3002	3	护盾加成		True	
ShieldReductionP	3003	3	护盾削减		True	
ShieldGainBonusP	3004	3	承受护盾加成		True	
ShieldGainReductionP	3005	3	承受护盾减免		True	
PhysicalAmpP	4001	4	物理属性伤害提升		True	
Element1AmpP	4002	4	火属性伤害提升		True	
Element2AmpP	4003	4	雷属性伤害提升		True	
Element3AmpP	4004	4	冰属性伤害提升		True	
Element4AmpP	4005	4	暗属性伤害提升		True	
PhysicalReductionP	4006	4	物理属性伤害减免		True	
Element1ReductionP	4007	4	火属性伤害减免		True	
Element2ReductionP	4008	4	雷属性伤害减免		True	
Element3ReductionP	4009	4	冰属性伤害减免		True	
Element4ReductionP	4010	4	暗属性伤害减免		True	
PhysicalPierceP	4011	4	物理属性伤害穿透		True	
Element1PierceP	4012	4	火属性伤害穿透		True	
Element2PierceP	4013	4	雷属性伤害穿透		True	
Element3PierceP	4014	4	冰属性伤害穿透		True	
Element4PierceP	4015	4	暗属性伤害穿透		True	
SignalSkillDmgAmpP	5001	5	信号球技能伤害加成		True	
CoreSkillDmgAmpP	5002	5	核心技能伤害加成		True	
NormalAtkDmgAmpP	5003	5	普攻技能伤害加成		True	
ExSkillDmgAmpP	5004	5	必杀技能伤害加成		True	
HuntSkillDmgAmpP	5005	5	猎矛技能伤害加成		True	
SignalSkillDmgReductionP	5006	5	信号球技能伤害减免		True	
SpecialSkillDmgReductionP	5007	5	特殊技能伤害减免		True	
NormalAtkDmgReductionP	5008	5	普攻技能伤害减免		True	
ExSkillDmgReductionP	5009	5	必杀技能伤害减免		True	
HuntSkillDmgReductionP	5010	5	猎矛技能伤害减免		True	
ThreatRate	6001	6	伤害转仇恨率		True	
CharacterValue	6002	6	角色值			
ExSkillPoint	6003	6	大招点数			
IdleSpinningSpeed	6004	6	待机转身速度			
RunSpinningSpeed	6005	6	跑步转身速度			
DodgeEnergy	6006	6	闪避能量			
JumpEnergy	6007	6	跳跃能量			
DodgeEnergyRegen	6008	6	闪避能量再生			
JumpEnergyRegen	6009	6	跳跃能量再生			
CustomEnergyGroup1	6010	6	自定义能量组1			
CustomEnergyGroup2	6011	6	自定义能量组2			
CustomEnergyGroup3	6012	6	自定义能量组3			
CustomEnergyGroup4	6013	6	自定义能量组4			
