Id	Name	Icon	SimpleDes	Des	StarLevel	AddScore	Condition	BuffIds	MutexId	TeamLimit	FightEventIds
1001	秩序	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	友好单位	不会攻击的友好单位		50		[777205]			
1002	中立	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	中立单位	不会主动攻击的单位，但是被攻击后会反击。		50		[777207]			
1003	邪恶	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	敌对单位	会主动攻击玩家的单位。		150		[777209]			
1004	混沌恶	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	额外增强的敌对单位	额外增加血量和伤害的敌对单位		200	97390	[777299]			
2001	秩序	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	友好单位	不会攻击的友好单位		50		[777205]			
2002	中立	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	中立单位	不会主动攻击的单位，但是被攻击后会反击。		50		[777207]			
2003	邪恶	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	敌对单位	会主动攻击玩家的单位。		150		[777209]			
2004	混沌恶	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	额外增强的敌对单位	额外增加血量和伤害的敌对单位		200	97391	[777299]			
3001	红	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	获得火焰力量	攻击附带20%的物理伤害，有20%几率造成燃烧状态，每秒造成20%的物理伤害，持续3秒。如果有同色队友会获得新的能力		50		[777288]			
3002	黄	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	获得电磁操作能力	造成伤害时，每秒对目标造成2%的物理伤害，并引发其它伤害型词缀的效果，持续4秒。如果有同色队友会获得新的能力		50		[777289]			
3003	蓝	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	获得寒冰力量	攻击附带20%的物理伤害，减少目标25%移动速度，有20%几率造成冻结状态，持续0.7秒。如果有同色队友会获得新的能力		50		[777290]			
3004	绿	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	变成绿色，并且强化属性	变成绿色，获得暴走效果，且增强基础属性，如果有同色队友会获得新的能力		50	97392	[777291]			
4001	红	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	获得火焰力量	攻击附带20%的物理伤害，有20%几率造成燃烧状态，每秒造成20%的物理伤害，持续3秒。如果有同色队友会获得新的能力		100		[777288]			
4002	黄	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	获得电磁操作能力	造成伤害时，每秒对目标造成2%的物理伤害，并引发其它伤害型词缀的效果，持续4秒。如果有同色队友会获得新的能力		100		[777289]			
4003	蓝	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	获得寒冰力量	攻击附带20%的物理伤害，减少目标25%移动速度，有20%几率造成冻结状态，持续0.7秒。如果有同色队友会获得新的能力		100		[777290]			
4004	绿	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	变成绿色，并且强化属性	变成绿色，获得暴走效果，且增强基础属性，如果有同色队友会获得新的能力		100	97393	[777291]			
5001	金刚	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	获得霸体效果，但是受到额外伤害	怪物获得霸体效果，但是受到伤害时会额外受到300点伤害。		100		[774511]			
5002	防近身	Assets/Product/Texture/Image/IconAffix/AffixIconhaiqiao.png	针对近战角色，但被远程角色克制	受到近战角色的伤害降低，但是受到远程角色伤害提高。		50		[774526]			
5003	防远程	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	针对远程角色，但被近战角色克制	受到远程角色的伤害降低，但是受到近战角色伤害提高。		50		[774521]			
5004	快氪诺科提	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	提升血量，但是增强诺克提角色	怪物增加50%血量，但是受到诺科提伤害提升800%。		50		[774531]			
5005	强化	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	怪物的属性会获得大幅强化	怪物的属性会获得大幅强化		100	97394	[777027]			
5006	不坏	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	获得护盾，在失去护盾后大幅弱化	获得血量90%的护盾，但在失去护盾后受到的任何伤害都会翻5倍		75		[777048]			
6001	金刚	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	获得霸体效果，但是受到额外伤害	怪物获得霸体效果，但是受到伤害时会额外受到300点伤害。		100		[774511]			
6002	防近身	Assets/Product/Texture/Image/IconAffix/AffixIconhaiqiao.png	针对近战角色，但被远程角色克制	受到近战角色的伤害降低，但是受到远程角色伤害提高。		50		[774526]			
6003	防远程	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	针对远程角色，但被近战角色克制	受到远程角色的伤害降低，但是受到近战角色伤害提高。		50		[774521]			
6004	快氪诺科提	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	提升血量，但是增强诺克提角色	怪物增加50%血量，但是受到诺科提伤害提升800%。		50		[774531]			
6005	强化	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	怪物的属性会获得大幅强化	怪物的属性会获得大幅强化		100	97395	[777027]			
6006	不坏	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	获得护盾，在失去护盾后大幅弱化	获得血量90%的护盾，但在失去护盾后受到的任何伤害都会翻5倍		75		[777048]			
7001	立场	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	抵抗较低的伤害，超出限度的伤害会提高	怪物受到到低于7000的伤害时，伤害降低，受到高于7000的伤害时，伤害大幅提高。		100		[774561]			
7002	分裂	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	怪物半血后分裂出两个半血怪物	怪物血量低于一半时会分裂出两个只有原怪物一半血量上限的单位。		50		[777044]			
7003	支援	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	不定期召唤同类	每隔一段时间会召唤一个和自己一模一样的单位，召唤间隔会越来越长。		100		[749347]			
7004	守护	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得护盾	怪物获得30%最大血量的护盾。		50		[777045]			
7005	强化	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	怪物的属性会获得大幅强化	怪物的属性会获得大幅强化。		100	97396	[777027]			
8001	立场	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	抵抗较低的伤害，超出限度的伤害会提高	怪物受到到低于7000的伤害时，伤害降低，受到高于7000的伤害时，伤害大幅提高。		100		[774561]			
8002	分裂	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	怪物半血后分裂出两个半血怪物	怪物血量低于一半时会分裂出两个只有原怪物一半血量上限的单位。		50		[777044]			
8003	支援	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	不定期召唤同类	每隔一段时间会召唤一个和自己一模一样的单位，召唤间隔会越来越长。		100		[749347]			
8004	守护	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得护盾	怪物获得30%最大血量的护盾。		50		[777045]			
8005	强化	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	怪物的属性会获得大幅强化	怪物的属性会获得大幅强化。		100	97397	[777027]			
9001	复仇	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	队友死后，获得暴走效果，但失去抗性	队友死后，获得攻击加成且攻击频率增加，但是抗变为0。		150		[777054]			
9002	诅咒	Assets/Product/Texture/Image/IconAffix/AffixIconZuzhou.png	死亡后诅咒玩家，支付代价提升伤害	死亡后诅咒玩家角色，伤害提升1000%但是在10秒后就必定死亡。		150		[777055]			
9003	成长	Assets/Product/Texture/Image/IconAffix/AffixIconQianghua.png	随着时间增加伤害和降低抗性	存在队友场合，怪物每10秒钟获得5%的伤害加成，并降低10%的抗性。		100		[777057]			
9004	贯通	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	获得护盾，并且攻击将降低玩家的额外伤害减免	存在队友场合，怪物获得20%最大生命值的护盾，并且怪物的攻击会降低玩家角色3%的额外伤害减免，可叠加10层，效果持续10秒。		100		[777060]			
9005	电盾	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击有概率召唤雷电	存在队友的场合，受击时，有15%-25%的几率在攻击者的位置释放雷电，造成25%的雷属性伤害，冷却时间2.5秒，与目标距离越远，概率越高		100		[777061]			
