Id	StageTimeLimit	AddScore	Desc	Icon	TextIcon	PreviewIcon
1501	180	300	挑战限时180秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1502	240	250	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1503	270	150	挑战限时270秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1601	180	300	挑战限时180秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1602	240	250	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1603	270	150	挑战限时270秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1701	210	300	挑战限时210秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1702	240	250	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1703	270	150	挑战限时270秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1801	180	250	挑战限时180秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1802	240	200	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1803	270	150	挑战限时270秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1901	180	300	挑战限时180秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1902	240	250	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1903	270	150	挑战限时270秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
2001	240	500	挑战限时240秒	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
2002	260	400	挑战限时260秒	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
2003	280	250	挑战限时280秒	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
