Id	NpcId	Level	AffixGroupId	AffixMaxCount	Name	ShowLevel	HeadIcon	AddScore	BuffIds	Condition	Label
201001	81500	560	201011	4	喷涂机械	3	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	300	[781901, 781908, 781912, 781909, 0, 0, 0, 0, 779450]		
201002	90210	116	201012	4	园丁	1	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	200	[781901, 781908, 781912, 781909, 0, 0, 0, 0, 779451]		
201003	90700	173	201013	4	至尊	3	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	300	[781901, 781908, 781912, 781909, 0, 0, 0, 0, 779452]		
201004	90980	140	201014	4	PK-43型“警长”	4	Assets/Product/Texture/Image/RoleCharacter/PoliceNormal01.png	350	[781901, 781908, 781912, 781909, 0, 0, 0, 0, 779453]		
202001	90220	186	202011	4	遗迹挖掘者	3	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	300	[732092, 0, 0, 0, 0, 0, 0, 0, 779454]		
202002	90370	247	202012	4	遗迹勘探者	3	Assets/Product/Texture/Image/RoleCharacter/Me1YijikantanzheMd000001.png	300	[732092, 0, 0, 0, 0, 0, 0, 0, 779455]		
202003	90260	206	202013	4	仿生蝾螈	2	Assets/Product/Texture/Image/RoleCharacter/Mo1FangshengrongyuanMd000001.png	250	[732092, 0, 0, 0, 0, 0, 0, 0, 779456]		
203001	93474	287	203011	3	暗杀者	3	Assets/Product/Texture/Image/RoleCharacter/NvDuiZhangNormal02.png	300	[0, 0, 0, 0, 0, 0, 0, 0, 779457]		
203002	93401	335	203012	3	守门人	3	Assets/Product/Texture/Image/RoleCharacter/Me1JixiewusengMd000001.png	300	[0, 0, 0, 0, 0, 0, 0, 0, 779458]		
203003	90700	175	203013	3	至尊	2	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	250	[0, 0, 0, 0, 0, 0, 0, 0, 779459]		
203004	90790	159	203014	3	骁卫壹型	2	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	250	[0, 0, 0, 0, 0, 0, 0, 0, 779460]		
204001	93474	479	204011	3	暗杀者	3	Assets/Product/Texture/Image/RoleCharacter/NvDuiZhangNormal02.png	400	[781918, 760221, 0, 0, 0, 0, 0, 0, 779461]		
204002	93401	559	204012	3	守门人	3	Assets/Product/Texture/Image/RoleCharacter/Me1JixiewusengMd000001.png	400	[781918, 760221, 0, 0, 0, 0, 0, 0, 779462]		
204003	90700	292	204013	3	至尊	2	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	300	[781918, 760221, 0, 0, 0, 0, 0, 0, 779463]		
204004	90790	266	204014	3	骁卫壹型	2	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	300	[781918, 760221, 0, 0, 0, 0, 0, 0, 779464]		
205001	2006	129	205011	5	不明数据聚集体	4	Assets/Product/Texture/Image/RoleCharacter/HongChaoNormal01.png	350	[0, 0, 0, 0, 0, 0, 0, 0, 779465]		
206001	2006	129	206011	5	不明数据聚集体	4	Assets/Product/Texture/Image/RoleCharacter/HongChaoNormal01.png	500	[0, 0, 0, 0, 0, 0, 0, 0, 779466]		
207001	2006	129	207011	5	马德拉	4	Assets/Product/Texture/Image/RoleCharacter/V131bossNormal01.png	350	[0, 0, 0, 0, 0, 0, 0, 0, 779467]		
208001	2006	129	208011	5	马德拉	4	Assets/Product/Texture/Image/RoleCharacter/V131bossNormal01.png	500	[0, 0, 0, 0, 0, 0, 0, 0, 779468]		
209001	2006	491	209011	5	露娜	5	Assets/Product/Texture/Image/RoleCharacter/LunaNormal03.png	400	[0, 0, 0, 0, 0, 0, 0, 0, 779469]		
210001	2006	491	210011	5	露娜	5	Assets/Product/Texture/Image/RoleCharacter/LunaNormal03.png	600	[0, 0, 0, 0, 0, 0, 0, 0, 779470]		
102003	90190	125	102003	1	守护者	1	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	100	[0, 0, 0, 0, 0, 0, 0, 777050, 779452]		
102004	90330	169	102004	1	信使	3	Assets/Product/Texture/Image/RoleCharacter/Me1XinshiMd000001.png	200	[0, 0, 0, 0, 0, 0, 0, 777051, 779453]	97391	
103001	93130	225	103001	1	杀神	2	Assets/Product/Texture/Image/RoleCharacter/KeyboardistNormal01.png	300	[777287, 0, 0, 0, 0, 0, 777063, 777050, 779455]		
103002	93140	225	103002	1	斩仙	2	Assets/Product/Texture/Image/RoleCharacter/GuitaristNormal01.png	300	[777287, 0, 0, 0, 0, 0, 777063, 777050, 779455]		
103003	93120	225	103003	1	诛魔	2	Assets/Product/Texture/Image/RoleCharacter/DrummerNormal01.png	300	[777287, 0, 0, 0, 0, 0, 777063, 777050, 779455]		
103004	82200	271	103004	1	如日天	4	Assets/Product/Texture/Image/RoleCharacter/RuRiTianNormal01.png	800	[777287, 0, 0, 0, 0, 0, 777063, 777051, 779492]	97392	
104001	90600	435	104001	1	异合分解单元	2	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	150	[777071, 0, 0, 0, 0, 0, 0, 777050, 779456]		
104002	90610	145	104002	1	异合修复单元	2	Assets/Product/Texture/Image/RoleCharacter/Me1YihexiufudanyuanMd000001.png	150	[777071, 0, 0, 0, 0, 0, 0, 777050, 779457]		
104003	90620	434	104003	1	异合火力单元	2	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	150	[777071, 0, 0, 0, 0, 0, 0, 777050, 779456]		
104004	81300	324	104004	1	蔷薇之剑	4	Assets/Product/Texture/Image/RoleCharacter/BalaswordNomal.png	750	[777071, 0, 0, 0, 0, 0, 0, 777051, 779458]	97393	
