Id	SubId	Des
201011	[20101, 20102, 20103, 20104]	
201012	[20101, 20102, 20103, 20104]	
201013	[20101, 20102, 20103, 20104]	
201014	[20101, 20102, 20103, 20104]	
202011	[20201, 20202, 20203, 20204, 20205, 20206]	
202012	[20201, 20202, 20203, 20204, 20205, 20206]	
202013	[20201, 20202, 20203, 20204, 20205, 20206]	
202014	[20201, 20202, 20203, 20204, 20205, 20206]	
203011	[20301, 20302, 20303, 20305, 20306]	
203012	[20301, 20302, 20303, 20305, 20306]	
203013	[20301, 20302, 20303, 20305, 20306]	
203014	[20301, 20302, 20303, 20305, 20306]	
204011	[20401, 20402, 20403, 20405, 20406]	
204012	[20401, 20402, 20403, 20405, 20406]	
204013	[20401, 20402, 20403, 20405, 20406]	
204014	[20401, 20402, 20403, 20405, 20406]	
205011	[20501, 20502, 20503, 20504, 20505, 20506, 20507]	
206011	[20601, 20602, 20603, 20604, 20605, 20606, 20607]	
207011	[20701, 20702, 20703, 20704, 20705, 20706, 20707]	
208011	[20801, 20802, 20803, 20804, 20805, 20806, 20807]	
209011	[20901, 20902, 20903, 20904, 20905, 20906, 20907, 20908, 20909]	
210011	[21001, 21002, 21003, 21004, 21005, 21006, 21007, 21008, 21009]	
101001	[1004, 1001, 1002, 1003]	
101002	[1004, 1001, 1002, 1003]	
101003	[1004, 1001, 1002, 1003]	
101004	[1004, 1001, 1002, 1003]	
102001	[2004, 2001, 2002, 2003]	
102002	[2004, 2001, 2002, 2003]	
102003	[2004, 2001, 2002, 2003]	
102004	[2004, 2001, 2002, 2003]	
103001	[3004, 3001, 3002, 3003]	
103002	[3004, 3001, 3002, 3003]	
103003	[3004, 3001, 3002, 3003]	
103004	[3004, 3001, 3002, 3003]	
104001	[4004, 4001, 4002, 4003]	
104002	[4004, 4001, 4002, 4003]	
104003	[4004, 4001, 4002, 4003]	
104004	[4004, 4001, 4002, 4003]	
105001	[5005, 5001, 5002, 5003]	
105002	[5005, 5001, 5002, 5003]	
105003	[5005, 5001, 5002, 5003]	
105004	[5005, 5001, 5002, 5003]	
