Id	Name	Des	Icon	TextIcon	AddScore	PreviewIcon	PreviewText	FightEventIds
10101	死亡竞速	敌我单位死亡时，场上所有剩余单位获得20%的全伤害提升，并降低20%全伤害减免	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene25.png	600	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	死亡竞速	[97127]
10102	刀刀致命	敌我每次收到伤害将额外附加500点额外伤害（受抗性削弱）	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene11.png	500	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall3.png	刀刀致命	[97105]
10201	小心越界I	离开光圈外的单位会持续受到大量伤害	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene34.png	600	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall1.png	小心越界I	[2230105]
10202	刀刀致命	敌我每次收到伤害将额外附加500点额外伤害（受抗性削弱）	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene11.png	400	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall3.png	刀刀致命	[97105]
10203	持久战斗	敌我的血量增加1倍，且伤害降低50%	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene1.png	400	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall1.png	持久战斗	[97101]
10301	信号干扰	闪避需要消耗1个信号球，三消随机获得1个信号球	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene22.png	800	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	信号干扰	[2230103]
10302	机械降神	当敌我受到致命伤害时不会立刻死亡，而是恢复总血量的护盾，此护盾将持续衰减	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene14.png	700	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall3.png	机械降神	[97113]
10303	刀刀致命	敌我每次收到伤害将额外附加500点额外伤害（受抗性削弱）	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene11.png	600	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall3.png	刀刀致命	[97105]
10401	稳固战线	敌人受到伤害时，会将所受伤害平均分摊到所有敌人身上	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene23.png	700	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	稳固战线	[97119]
10402	生命汲取	敌人造成伤害时，回复10%最大生命值	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene26.png	600	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	生命汲取	[97125]
10403	火焰风暴	场地中将定时随机召唤火焰风暴，对敌我造成10%最大生命值的伤害	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene2.png	500	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall1.png	火焰风暴	[97102]
10501	归于一	"""每次三消后普通攻击伤害提高120%,三消伤害降低20%(可叠加5次)"""	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene30.png	650	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	归于一	[2230100]
10502	生命汲取	敌人造成伤害时，回复10%最大生命值	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene26.png	550	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	生命汲取	[97125]
10503	信号干扰	闪避需要消耗1个信号球，三消随机获得1个信号球	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene22.png	550	Assets/Product/Texture/Atlas/UiReform/UiReformSceneSmall2.png	信号干扰	[2230103]
