Id	Name	Icon	Des	StarLevel	SubScore	FightEventIds
100121	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100122	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100123	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100124	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
100125	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
100126	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
100127	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
100221	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100222	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100223	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100224	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100225	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
100226	能量强化Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	普通攻击能量额外获得3点	3	300	[51026]
100321	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100322	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100323	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100324	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
100325	治疗暴动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	治疗溢出转化为200%的伤害	1	100	[93390]
100326	信号增幅Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔15秒将恢复2个随机信号球	2	200	[93347]
100327	天下无双	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	队伍成员的单消和二消将视为三消	1	800	[93344]
100421	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100422	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100423	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100424	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100425	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
100426	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
