Id	Name	SkipId	TimeId	BtnInitMethodName	IsRemindWhenOpen	RemindPriority	RedConditions	RedParam	TagCondition	TagOffset	TagParam	ActivityRewardIds	RewardShowTimeIds	ConstShowRewardId	ConstShowRewardClaimCondition
1	主线活动	534	47205	RefreshActivityMainLine2	1	12									
2	支线活动	8000		RefreshActivityBranch											
3	超难关	11724	47901	RefreshActivityBossSingle	1	6	['CONDITION_ACTIVITY_BOSS_SINGLE_REWARD']								
4	8/6-8/20	20019		RefreshActivityBossOnline											
5	间章1	20117		RefreshAllActivityPrequel											
6	巴别塔	20015		RefreshNormal			['CONDITION_ACTIVITYBRIE_BABELTOWER_REWARD']								
7	肉鸽爬塔	20018		RefreshActivityRogueLike											
8	复刷关	20017	47703	RefreshActivityRepeateChallenge	1	1	['CONDITION_REPEAT_CHALLENGE_ENTRANCE']					[69060]	[47703]		
9	区域联机	11723		RefreshActivityArenaOnline											
10	狙击战	11722		RefreshActivityUnionKill											
11	短篇故事	11729		RefreshActivityShortStories											
12	间章2	11731		RefreshAllActivityPrequel											
13	异聚迷宫	11726		RefreshActivityLabyrinth											
14	公会系统	15001		RefreshActivitySociety											
15	资源AE5	11728		RefreshActivityResource											
16	特训关	89025		RefreshActivitySpecialTrain					Default						
17	九龙战役	99998		RefreshActivityExtra											
18	世界Boss	11735		RefreshWorldBoss											
19	自走棋	20104		RefreshExpedition											
20	新增终极区	10009		RefreshFubenBossSingle					CONDITION_ACTIVITYBRIE_BOSSSINGLE						
21	活动商店	20055		RefreshActivityShop											
22	番外-隐藏	99995		RefreshActivityExtra											
23	大富翁玩法	11737		RefreshMaintainerAction											
24	RPG玩法	11736		RefreshRpgTower											
25	活动抽卡	20053		RefreshDrawActivity											
26	终焉福音-主线跑团活动	11738		RefreshTRPG											
27	新角色试玩	20235	47101	RefreshNewCharActivity	1	3	['CONDITION_KOROMCHARACTIVITYMAINRED']		CONDITION_NEWCHARACT_ISCHALLENGEABLE						
28	涂装试玩关	10035	47406	RefreshFubenActivityTrial	1	5			CONDITION_NEWCHARACT_SKIP_TRIAL						
29	师徒系统	15003		RefreshShiTu											
30	尼尔玩法	11749		RefreshNier											
31	口袋战双	11750		RefreshPokemon											
32	追及玩法	11751		RefreshPursuit											
33	超级据点	70001		RefreshStrongHold											
