Id	TaskGroupId	TaskId	Priority	StageDescId	StageDescIndex	Difficulty
1	1001	150029	7			1
2	1002	150030	6			1
3	1002	150031	5	1	1	1
4	1003	150032	4			1
5	1003	150033	3	1	2	1
6	1004	150034	2			4
7	1004	150035	1			4
8	1005	150036	7			1
9	1006	150037	6			1
10	1006	150038	5	2	2	1
11	1007	150039	4			1
12	1007	150040	3	2	1	1
13	1008	150041	2			4
14	1008	150042	1			4
15	1009	150043	7			1
16	1010	150044	6			1
17	1010	150045	5	3	2	1
18	1011	150046	4			1
19	1011	150047	3	3	1	1
20	1012	150048	2			4
21	1012	150049	1			4
22	1013	150050	7			1
23	1014	150051	6			1
24	1014	150052	5			1
25	1015	150053	4			1
26	1015	150054	3	4	1	1
27	1016	150055	2			4
28	1016	150056	1	4	3	4
