Id	Name	DifficultyGroupId	Difficulty	NPCId	MonsterAtk	MonsterHp	MonsterEndure	SelectableCharacterGroupId	TaskGroupId	TrialCharacterGroupId	CharacterMaximumNum	FightEventIdList	StageDescId	IsCloseGeneral
1	简单	1001	1	84400	1380	8980000			1001	1	3	[2330001]	1	
2	困难	1001	2	84400	4927	13570000		1	1002	1	3	[2330002]	1	
3	噩梦	1001	3	84400	7584	1600000		2	1003	2	1	[2330003, 2330006]	1	True
4	炼狱	1001	4	84400	19356	3750000		3	1004	3	1	[2330005, 2330007]	1	True
5	简单	1002	1	85350	1380	3472000			1005	4	3	[2330001]	2	
6	困难	1002	2	85350	4223	5323500		4	1006	4	3	[2330002]	2	
7	噩梦	1002	3	85350	4884	906500		5	1007	5	1	[2330003, 2330006]	2	True
8	炼狱	1002	4	85350	10262	1141000		6	1008	6	1	[2330005, 2330007]	2	True
9	简单	1003	1	85300	1380	3916500	1960000		1009	7	3	[2330001]	3	
10	困难	1003	2	85300	4991	5743500	2870000	7	1010	7	3	[2330002]	3	
11	噩梦	1003	3	85300	6661	829500	410000	8	1011	8	1	[2330003, 2330006]	3	True
12	炼狱	1003	4	85300	15759	1088500	540000	9	1012	9	1	[2330005, 2330007]	3	True
13	简单	1004	1	80680	1380	4602500			1013	10	3	[2330001]	4	
14	困难	1004	2	80680	5096	6751500		10	1014	10	3	[2330002]	4	
15	噩梦	1004	3	80680	6163	6422500		11	1015	11	1	[2330003, 2330006]	4	True
16	炼狱	1004	4	80680	18225	7119000		12	1016	12	1	[2330005, 2330007]	4	True
