Tag	Des	Style	Effect	Type
1	Special	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
2	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
3	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
4	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
5	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
6	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
7	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
8	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
9	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
10	Free	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb1.png		
11	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
12	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
13	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
14	Limited	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb4.png		
15	% Off	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png		1
16	Special Offer	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg1.png		
17	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
18	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
19	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
20	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
21	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
22	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
23	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
24	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
25	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
26	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
27	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
28	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
29	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
30	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
31	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
32	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
33	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
34	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
35	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
36	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
37	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
38	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
39	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
40	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
41	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
42	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
43	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
44	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
45	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
46	Discount	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
1018	61%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
