Id	TemplateId	Count	Params
500000	200	24	
500010	200	21	
500020	200	18	
500030	200	15	
500040	200	12	
510000	200	36	
510010	200	31	
510020	200	27	
510030	200	22	
510040	200	18	
520000	200	48	
520010	200	42	
520020	200	36	
520030	200	30	
520040	200	24	
560000	200	56	
560010	200	50	
560020	200	44	
560030	200	38	
560040	200	32	
500001	1	20000	
500011	1	16000	
500021	1	12000	
500031	1	8000	
500041	1	4000	
510001	1	20000	
510011	1	16000	
510021	1	12000	
510031	1	8000	
510041	1	4000	
520001	1	20000	
520011	1	16000	
520021	1	12000	
520031	1	8000	
520041	1	4000	
560001	70001	96	
560011	70001	84	
560021	70001	72	
560031	70001	60	
560041	70001	48	
560002	17050113	1	
560012	17050114	1	
560022	17050115	1	
560050	200	66	
560060	200	60	
560070	200	54	
560080	200	48	
560090	200	44	
560100	200	38	
560110	200	32	
560120	200	48	
560130	200	42	
560140	200	36	
560150	200	30	
560160	200	28	
560170	200	26	
560180	200	24	
560190	17050116	1	
560200	200	12	
560210	70002	27	
560220	70001	64	
560230	17050117	1	
560240	200	10	
560250	70002	22	
560260	70001	52	
560270	17050118	1	
560280	200	8	
560290	70002	18	
560300	70001	42	
560310	200	7	
560320	70002	15	
560330	70001	35	
560340	200	6	
560350	70002	12	
560360	70001	28	
560370	200	6	
560380	70002	10	
560390	70001	24	
560400	200	6	
560410	70002	8	
560420	70001	20	
560051	70001	96	
560061	70001	84	
560071	70001	72	
560081	70001	66	
560091	70001	60	
560101	70001	54	
560111	70001	48	
560121	1	20000	
560131	1	16000	
560141	1	12000	
560151	1	10000	
560161	1	8000	
560171	1	6000	
560181	1	4000	
560052	17050113	1	
560062	17050114	1	
560072	17050115	1	
530000	3	50	
530010	3	50	
530020	3	50	
530030	3	50	
530040	3	50	
540000	3	50	
540010	3	50	
540020	3	50	
540030	3	50	
540040	3	50	
550000	3	50	
550010	3	50	
550020	3	50	
550030	3	50	
550040	3	50	
530001	12	1	
530011	1	10000	
530021	12	2	
530031	1	20000	
530041	12	3	
540001	12	1	
540011	1	10000	
540021	12	2	
540031	1	20000	
540041	12	3	
550001	12	1	
550011	1	10000	
550021	12	2	
550031	1	20000	
550041	12	3	
600000	17050101	1	
600010	17050104	2	
600020	17050104	2	
600030	17050104	1	
600040	17050101	1	
600050	17050107	2	
600060	17050107	2	
600070	17050107	1	
600080	17050101	1	
600090	17050110	2	
600100	17050110	2	
600110	17050110	1	
600120	30013	1	
600121	31204	1	
600130	50005	50	
600131	31104	5	
600140	50005	100	
600141	31204	5	
600150	50005	50	
600151	1	5000	
600160	60001	30	
600170	50005	50	
600180	60002	10	
600190	50005	100	
600200	29	50	
600210	50005	20	
600211	90030	1	
600212	1	10000	
600220	50005	20	
600221	90030	1	
600222	1	10000	
600230	50005	20	
600231	90030	1	
600232	1	10000	
600240	50005	50	
600241	90030	1	
600242	1	10000	
600250	50005	20	
600251	90030	1	
600252	1	10000	
600260	50005	20	
600261	90030	1	
600262	1	10000	
600270	60001	30	
600280	50005	50	
600290	60002	10	
600300	50005	100	
600310	50005	5000	
600320	50005	1000	
600330	3	500	
600340	29	50	
200000	100	20	
200010	100	40	
200020	100	60	
200030	100	90	
200040	100	120	
200050	100	160	
200060	100	200	
200070	100	20	
200080	100	40	
200090	100	60	
200100	100	90	
200110	100	120	
200120	100	160	
200130	100	200	
200001	90108	1	
200011	90108	1	
200021	90108	1	
200031	90108	2	
200041	90108	2	
200051	90108	2	
200061	90108	3	
200071	90108	1	
200081	90108	1	
200091	90108	1	
200101	90108	2	
200111	90108	2	
200121	90108	2	
200131	90108	3	
200002	1	30000	
200012	1	45000	
200022	1	60000	
200032	1	75000	
200042	1	90000	
200052	1	105000	
200062	1	120000	
200072	1	30000	
200082	1	45000	
200092	1	60000	
200102	1	75000	
200112	1	90000	
200122	1	105000	
200132	1	120000	
999	7	99999	
998	12	999	
30000	1	10000	
30001	1	20000	
30002	1	30000	
30003	1	40000	
30004	11000015	1	
30005	11000014	1	
30006	11000013	1	
30007	11000012	1	
30008	11000011	1	
900000	1	500000	
900001	30013	5	
900002	2994001	10	[1, 0]
900003	3924001	10	[1, 0]
900010	2	60	
900020	32	6	
900030	4	30	
900031	1	20000	
900032	2994001	10	[1, 0]
900040	4	30	
900041	1	20000	
900042	3924001	10	[1, 0]
900050	50000	250	
900051	90031	1	
900052	90032	1	
900053	1	100000	
900520	90031	1	
900521	1	30000	
900530	50007	250	
900540	50009	250	
900550	50009	250	
900551	30113	3	
900552	40301	5	
900560	3	100	
900561	90030	2	
900562	40301	20	
900570	50005	50	
900571	90030	1	
900572	1	50000	
900580	50005	125	
900581	90030	2	
900582	1	100000	
