Id	Group	Type	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	SizeX	SizeY	SizeZ	Direction	Mesh	Convex	CameraBlockHandleTag
1	Xingzoumian	BoxCollider	70.0599	56.81	90.7699		0.9986		0.0512	7.0662	14.0729	0.9895	1.0	1.0	1.0				
2	Xingzoumian	BoxCollider	72.5039	55.8519	97.3592		0.7079		0.7063	9.5904	14.0729	1.1031	1.0	1.0	1.0				
3	Xingzoumian	BoxCollider	80.3898	55.8519	97.0205		0.7079		0.7063	10.067	14.0729	1.1031	1.0	1.0	1.0				
4	Xingzoumian	BoxCollider	57.5055	55.8519	90.8255		0.4076		0.9131	10.0856	14.0729	1.052	1.0	1.0	1.0				
5	Xingzoumian	BoxCollider	57.5055	55.8519	90.8255		0.4076		0.9131	10.0856	14.0729	1.052	1.0	1.0	1.0				
6	Xingzoumian	BoxCollider	51.4683	55.8519	85.4153		0.4076		0.9131	10.0856	14.0729	1.052	1.0	1.0	1.0				
7	Xingzoumian	BoxCollider	46.4025	55.8519	61.8394		0.0272		0.9996	10.7006	14.0729	0.9887	1.0	1.0	1.0				
8	Xingzoumian	BoxCollider	45.566	55.8519	69.8912		0.0054		0.9999	10.7039	14.0729	0.9883	1.0	1.0	1.0				
9	Xingzoumian	BoxCollider	58.9536	52.0699	59.7177		-0.811		0.5849	2.3237	1.5003	0.4269	1.0	1.0	1.0				
10	Xingzoumian	BoxCollider	74.41	-1.2999	64.7899				1.0	43.6748	4.5689	43.6748	1.0	1.0	1.0				
11	Xingzoumian	BoxCollider	75.04	1.4769	90.23				1.0	8.9395	0.489	15.9346	1.0	1.0	1.0				
12	Xingzoumian	BoxCollider	59.25	50.7	51.36	-0.236	-0.8678	0.1183	0.4208	2.3702	1.1614	8.3682	1.0	1.0	1.0				
13	Xingzoumian	BoxCollider	95.0299	50.2659	65.1499	-0.0006		0.2529	0.9674	2.3921	1.1614	8.3682	1.0	1.0	1.0				
14	Xingzoumian	BoxCollider	76.6389	50.2369	84.272	-0.1866	-0.6848	0.1848	0.6796	2.3921	1.1614	8.3682	1.0	1.0	1.0				
15	Xingzoumian	BoxCollider	76.0599	51.09	92.93				1.0	8.9395	0.489	15.9346	1.0	1.0	1.0				
16	Xingzoumian	BoxCollider	76.7099	50.6199	32.2999		0.0093		0.9999	10.4409	0.7806	28.4285	1.0	1.0	1.0				
17	Xingzoumian	BoxCollider	58.5289	50.393	66.3659	-0.1884	-0.982	0.002	-0.0033	2.3921	1.1614	8.3682	1.0	1.0	1.0				
18	Xingzoumian	BoxCollider	98.0439	50.951	65.1699				1.0	4.574	0.7806	9.9961	1.0	1.0	1.0				
19	Xingzoumian	BoxCollider	54.9	50.95	65.1699				1.0	5.5917	0.7806	9.9961	1.0	1.0	1.0				
20	Xingzoumian	BoxCollider	76.62	51.6699	96.01				1.0	8.9395	0.489	12.7509	1.0	1.0	1.0				
21	Xingzoumian	BoxCollider	108.29	51.5419	65.85				1.0	15.2874	0.7806	9.6193	1.0	1.0	1.0				
22	Xingzoumian	BoxCollider	46.652	51.5299	65.91				1.0	11.6541	0.7806	9.9961	1.0	1.0	1.0				
23	Xingzoumian	BoxCollider	53.0789	51.0919	65.8099	-0.163	-0.9866	0.0009	0.0023	1.6868	1.1614	4.0937	1.0	1.0	1.0				
24	Xingzoumian	BoxCollider	54.5439	51.5299	87.0559		0.3826		0.9238	11.6541	0.7806	9.9961	1.0	1.0	1.0				
25	Xingzoumian	BoxCollider	59.8006	2.0659	56.8362		-0.8625		0.5059	2.343	1.5003	0.4073	1.0	1.0	1.0				
26	Xingzoumian	BoxCollider	58.462	1.5279	54.6339		-0.2678		0.9634	4.5904	2.0635	0.931	1.0	1.0	1.0				
27	Xingzoumian	BoxCollider	74.97	0.8399	81.6399	-0.2609	-0.0025	0.0005	0.9653	3.2473	0.9627	1.6515	1.0	1.0	1.0				
28	Xingzoumian	BoxCollider	77.8703	0.8399	81.3906	-0.2598	0.0818	0.0234	0.9618	3.2473	0.9627	1.6515	1.0	1.0	1.0				
29	Xingzoumian	BoxCollider	72.0796	0.8399	81.3817	-0.2599	-0.0867	-0.0221	0.9614	3.2473	0.9627	1.6515	1.0	1.0	1.0				
30	Xingzoumian	BoxCollider	80.834	0.8399	80.5837	-0.2565	0.1703	0.0473	0.9502	3.2473	0.9627	1.6515	1.0	1.0	1.0				
31	Xingzoumian	BoxCollider	83.6289	0.8399	79.2278	-0.251	0.2582	0.071	0.9301	3.2473	0.9627	1.6515	1.0	1.0	1.0				
32	Xingzoumian	BoxCollider	86.0525	0.8399	77.4391	-0.2435	0.3413	0.0934	0.9029	3.2473	0.9627	1.6515	1.0	1.0	1.0				
33	Xingzoumian	BoxCollider	88.1638	0.8399	75.1785	-0.2338	0.4238	0.1157	0.8673	3.2473	0.9627	1.6515	1.0	1.0	1.0				
34	Xingzoumian	BoxCollider	89.7193	0.8399	72.7608	-0.2229	0.4971	0.1354	0.8274	3.2473	0.9627	1.6515	1.0	1.0	1.0				
35	Xingzoumian	BoxCollider	90.9091	0.8399	69.8774	-0.2092	0.5725	0.1557	0.7772	3.2473	0.9627	1.6515	1.0	1.0	1.0				
36	Xingzoumian	BoxCollider	91.5405	0.8399	66.8168	-0.1937	0.6429	0.1747	0.72	3.2473	0.9627	1.6515	1.0	1.0	1.0				
37	Xingzoumian	BoxCollider	91.5882	0.8399	63.6888	-0.1764	0.7078	0.1921	0.6564	3.2473	0.9627	1.6515	1.0	1.0	1.0				
38	Xingzoumian	BoxCollider	69.1137	0.8399	80.5641	-0.2568	-0.1752	-0.046	0.9493	3.2473	0.9627	1.6515	1.0	1.0	1.0				
39	Xingzoumian	BoxCollider	66.3967	0.8399	79.2434	-0.2515	-0.2607	-0.0692	0.9294	3.2473	0.9627	1.6515	1.0	1.0	1.0				
40	Xingzoumian	BoxCollider	63.892	0.8399	77.3896	-0.2439	-0.3465	-0.0924	0.901	3.2473	0.9627	1.6515	1.0	1.0	1.0				
41	Xingzoumian	BoxCollider	61.7439	0.8399	75.0582	-0.234	-0.4308	-0.1152	0.8638	3.2473	0.9627	1.6515	1.0	1.0	1.0				
42	Xingzoumian	BoxCollider	60.1551	0.8399	72.5181	-0.2227	-0.5068	-0.1358	0.8215	3.2473	0.9627	1.6515	1.0	1.0	1.0				
43	Xingzoumian	BoxCollider	58.9654	0.8399	69.4479	-0.2081	-0.5856	-0.1572	0.7674	3.2473	0.9627	1.6515	1.0	1.0	1.0				
44	Xingzoumian	BoxCollider	58.4158	0.8399	66.3627	-0.1924	-0.6553	-0.1761	0.7088	3.2473	0.9627	1.6515	1.0	1.0	1.0				
45	Xingzoumian	BoxCollider	58.4522	0.8399	63.2497	-0.1751	-0.7187	-0.1933	0.6444	3.2473	0.9627	1.6515	1.0	1.0	1.0				
46	Xingzoumian	BoxCollider	59.0292	0.8399	60.3282	-0.1571	-0.7735	-0.2082	0.5775	3.2473	0.9627	1.6515	1.0	1.0	1.0				
47	Xingzoumian	BoxCollider	60.3307	0.8399	57.1448	-0.1347	-0.829	-0.2234	0.4945	3.2473	0.9627	1.6515	1.0	1.0	1.0				
48	Xingzoumian	BoxCollider	91.0426	0.8399	60.5814	0.1574	-0.7668	-0.208	-0.5863	3.2473	0.9627	1.6515	1.0	1.0	1.0				
49	Xingzoumian	BoxCollider	89.7975	0.8399	57.3893	0.1351	-0.8231	-0.2231	-0.5042	3.2473	0.9627	1.6515	1.0	1.0	1.0				
50	Xingzoumian	BoxCollider	79.3714	1.3609	84.2825		0.1044		0.9945	4.9162	0.489	5.5419	1.0	1.0	1.0				
51	Xingzoumian	BoxCollider	83.2522	1.3609	82.9673		0.2069		0.9783	4.9191	0.489	5.5451	1.0	1.0	1.0				
52	Xingzoumian	BoxCollider	86.8064	1.3609	80.8598		0.308		0.9513	4.9162	0.489	5.5419	1.0	1.0	1.0				
53	Xingzoumian	BoxCollider	90.089	1.3609	77.7768		0.4143		0.9101	4.9162	0.489	5.5419	1.0	1.0	1.0				
54	Xingzoumian	BoxCollider	92.5069	1.3609	74.1887		0.5114		0.8592	4.9162	0.489	5.5419	1.0	1.0	1.0				
55	Xingzoumian	BoxCollider	94.0944	1.3609	70.1309		0.603		0.7977	4.9162	0.489	5.5419	1.0	1.0	1.0				
56	Xingzoumian	BoxCollider	94.4404	1.3609	61.3954		0.7644		0.6446	4.9197	0.489	5.5458	1.0	1.0	1.0				
57	Xingzoumian	BoxCollider	94.7503	1.3609	65.9222		0.6854		0.7281	4.9162	0.489	5.5419	1.0	1.0	1.0				
58	Xingzoumian	BoxCollider	93.1156	1.3609	57.0984		0.8662		0.4996	5.7933	0.489	5.5419	1.0	1.0	1.0				
59	Xingzoumian	BoxCollider	70.8246	1.3609	84.3259		-0.1129		0.9935	4.9162	0.489	5.5419	1.0	1.0	1.0				
60	Xingzoumian	BoxCollider	66.6721	1.3609	82.9324		-0.2223		0.9749	4.9162	0.489	5.5419	1.0	1.0	1.0				
61	Xingzoumian	BoxCollider	62.9499	1.3609	80.6755		-0.3283		0.9445	4.9162	0.489	5.5419	1.0	1.0	1.0				
62	Xingzoumian	BoxCollider	59.9034	1.3609	77.7678		-0.427		0.9042	4.9162	0.489	5.5419	1.0	1.0	1.0				
63	Xingzoumian	BoxCollider	57.4314	1.3609	74.0704		-0.526		0.8504	4.9162	0.489	5.5419	1.0	1.0	1.0				
64	Xingzoumian	BoxCollider	55.9126	1.3609	70.1575		-0.6133		0.7898	4.9162	0.489	5.5419	1.0	1.0	1.0				
65	Xingzoumian	BoxCollider	55.2384	1.3609	65.6369		-0.7005		0.7136	4.9162	0.489	5.5419	1.0	1.0	1.0				
66	Xingzoumian	BoxCollider	55.5493	1.3609	61.4505		-0.7723		0.6352	4.9162	0.489	5.5419	1.0	1.0	1.0				
67	Xingzoumian	BoxCollider	56.9877	1.3609	56.8955		-0.8671		0.498	6.0878	0.489	5.5419	1.0	1.0	1.0				
68	Xingzoumian	BoxCollider	75.01	1.1499	39.3899				1.0	9.641	0.8442	15.6807	1.0	1.0	1.0				
69	Xingzoumian	BoxCollider	92.8685	1.4769	82.812		0.3826		0.9238	8.9395	0.489	15.9346	1.0	1.0	1.0				
70	Xingzoumian	BoxCollider	100.23	1.4769	64.96		0.7071		0.7071	8.9395	0.489	15.9346	1.0	1.0	1.0				
71	Xingzoumian	BoxCollider	57.1879	1.4769	82.8685		-0.3826		0.9238	8.9395	0.489	15.9346	1.0	1.0	1.0				
72	Xingzoumian	BoxCollider	49.77	1.4769	65.0399		-0.7071		0.7071	8.9395	0.489	15.9346	1.0	1.0	1.0				
73	Xingzoumian	BoxCollider	58.6071	2.0659	59.6202		-0.8148		0.5796	2.343	1.5003	0.4073	1.0	1.0	1.0				
74	Xingzoumian	BoxCollider	58.0311	2.0659	61.8815		-0.7737		0.6334	2.343	1.5003	0.4073	1.0	1.0	1.0				
75	Xingzoumian	BoxCollider	58.044	2.0659	68.1881		-0.6449		0.7642	2.343	1.5003	0.4073	1.0	1.0	1.0				
76	Xingzoumian	BoxCollider	58.564	2.0659	70.2465		-0.5967		0.8024	2.343	1.5003	0.4073	1.0	1.0	1.0				
77	Xingzoumian	BoxCollider	59.7228	2.0659	73.0172		-0.5246		0.8513	2.343	1.5003	0.4073	1.0	1.0	1.0				
78	Xingzoumian	BoxCollider	60.811	2.0659	74.8152		-0.4718		0.8817	2.343	1.5003	0.4073	1.0	1.0	1.0				
79	Xingzoumian	BoxCollider	65.15	2.0659	79.1649		-0.3072		0.9516	2.343	1.5003	0.4073	1.0	1.0	1.0				
80	Xingzoumian	BoxCollider	67.1324	2.0659	80.3547		-0.2428		0.97	2.343	1.5003	0.4073	1.0	1.0	1.0				
81	Xingzoumian	BoxCollider	70.0239	2.0659	81.5198		-0.1541		0.988	2.343	1.5003	0.4073	1.0	1.0	1.0				
