Id	Content	ShowChat	Group
1001	{0}创建了指挥局	1	1
1002	指挥局升至了{0}级	1	1
1003	指挥局降至了{0}级	1	1
1004	本周贡献礼包已达{0}级	1	1
1005	{0}花费了{1}贡献采购了{2}	1	1
1006	"""由于维护资金不足，进入紧急维护状态，缴纳{0}贡献接触紧急状态,{1}未解除降级。"""	1	1
1007	{0}于{1}点开启玩法	1	1
1008	总指挥【{0}】7日未上线，可在成员列表界面弹劾总指挥。	1	1
1009	{0}选择弹劾总指挥。	1	1
1010	{0}成为了新的总指挥	1	1
1011	{0}将指挥局最高管理权限转让给了{1}	1	1
1012	{0}的职位变更为副指挥	1	1
1013	{0}加入了指挥局	1	1
1014	{0}离开了指挥局	1	1
1015	{0}的职位变更为{1}	1	1
2001	{0}获得了{1}	1	2
2002	{0}获得了{1}	1	2
3001	伏兵已逼近基地，速速参与其中进行防守		1
3002	众志行征作战期临近结束，请各位指挥官继续奋战，争取击破最终BOSS		1
3003	领主预谋炮击我方{0}，请指挥官们进驻资源保障区防守	1	1
3004	紧急！我方{0}即将遭到炮击，请指挥官们抓紧进驻资源保障区防守	1	1
3005	经过各位指挥官的共同努力，成功防御了领主对资源保障区的进攻，请准备防御下次进攻	1	1
3006	由于各位指挥官的错误判断，资源保障区受到了领主重创	1	1
3007	由于行征进展缓慢，空中花园已为各位指挥官发放大量物资	1	1
