Id	Name	GuildLevel	CostPoint	Parent	BuffId
1101	信标·强力	1	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[0, 0]	762500
1102	信标·驻防	1	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[0, 0]	762509
1103	信标·物理增伤	1	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[0, 0]	762505
1201	信标·火系增伤	2	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1101, 0]	762501
1202	信标·冰系增伤	2	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1101, 1102]	762502
1203	信标·雷系增伤	2	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1102, 1103]	762503
1204	信标·暗系增伤	2	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1103, 0]	762504
1301	信标·额外增伤	3	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1201, 1202]	762508
1302	信标·生命增加	3	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1202, 1203]	762514
1303	信标·暴乱	3	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1203, 1204]	762506
1401	信标·攻守兼备	4	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1301, 1302]	762515
1402	信标·暴伤	4	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1302, 1303]	762507
1501	信标·疗愈强化	5	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1401, 0]	762510
1502	信标·储能	5	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1401, 0]	762511
1503	信标·疾走	5	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1402, 0]	762512
1504	信标·闪避界限	5	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1402, 0]	762513
1601	信标·进攻型刚体	6	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1501, 1502]	762522
1602	信标·装甲型刚体	6	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1502, 1503]	762523
1603	信标·辅助型刚体	6	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1503, 1504]	762524
1701	信标·先锋型刚体	7	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1601, 0]	762525
1702	信标·进攻型强力	7	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1601, 1602]	762527
1703	信标·装甲型强力	7	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1602, 1603]	762528
1704	信标·辅助型强力	7	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1603, 0]	762529
1801	信标·先锋型强力	8	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1701, 1702]	762530
1802	信标·无畏	8	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1702, 1703]	762532
1803	信标·振奋	8	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1703, 1704]	762534
1901	信标·技艺领悟	9	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1801, 0]	762536
1902	信标·终技领悟	9	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1802, 0]	762537
1903	信标·超算增伤	9	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1803, 0]	762539
2001	信标·元素增伤	10	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1901, 0]	762541
2002	信标·能量恢复	10	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1902, 0]	762542
2003	信标·快速支援	10	[1, 2, 2, 3, 3, 5, 5, 7, 7, 10]	[1903, 0]	762544
