Id	Name	Describe	Icon	ConditionId	Cost	IsSpecial	SearchGuildBgIcon	GuildMessageBgIcon	GuildRankBgIcon	NewGuildRoomBg	OldGuildRoomBg	GuildHeadPortraitBg	CreateGuildBg
1	法奥斯学校	使用【法奥斯军事指挥学校】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace1.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
2	支援部队	使用【支援部队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace2.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
3	清理部队	使用【清理部队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace3.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
4	执行者部队	使用【执行者部队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace4.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
5	工程部队	使用【工程部队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace5.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
6	艺术协会	使用【艺术协会】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace6.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
7	灰鸦小队	使用【灰鸦小队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace17.png			True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
8	突击鹰小队	使用【突击鹰小队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace13.png	890017		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
9	三头犬小队	使用【三头犬小队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace14.png	890017		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
10	寒羊小队	使用【寒羊小队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace11.png	890018		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
11	清庭白鹭	使用【清庭白鹭】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace16.png	890018		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
12	阿迪莱商业联盟	使用【阿迪莱商业联盟】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace7.png	890019		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
13	北极航线联合	使用【北极航线联合】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace15.png	890019		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
14	升格者	使用【升格者】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace8.png	890020		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
