Id	Type	TargetId	Name
22000001	1	1	经典舱室
22000002	1	2	蔚蓝之夏
22100001	2	31	她的梦
22100002	2	32	月
22100003	2	33	夏日之上
22100004	2	34	Hikari
22100005	2	35	ECHOING
22100006	2	36	环流
22100007	2	37	Akdilek
22100008	2	38	Over the Glen
22100009	2	39	憩梦穹森
22100010	2	40	Shattered Doll
22100011	2	41	年禧
22100012	2	42	Under Dimension
22100013	2	43	DIM LIGHT 幽光
22100014	2	44	Overburning
22100015	2	45	Infinite Gallery
22100016	2	47	To Our Destiny
22100017	2	48	Journey Along
22100018	2	49	鸣响
22100019	2	50	Into My Soul
22100020	2	51	碧落幽山寺
22100021	2	52	清商曼舞
22100022	2	53	Unknown Territory
22100023	2	54	行星环游记
22100024	2	55	狂骤暴音
22100025	2	56	Crank!
22100026	2	57	沉沙往事
22100027	2	58	日落与酒
22100028	2	60	Fallen Concerto
22100029	2	61	Simmer Down
22000003	1	3	岁雪新宵
22000004	1	4	云海空岛
22100030	2	62	长路归航
22100031	2	63	长路归航-伴奏
22100032	2	64	Passion Call
22100033	2	65	Passion Call-伴奏
22100034	2	66	Inheritor
22100035	2	67	Fortitude
22100036	2	68	诗酒云烟
22100037	2	69	万冢纴歌
22100038	2	70	旗鼓风前
22100039	2	71	暮日战歌
22100040	2	72	庭梨栖雪
22100041	2	73	In My Memory
22100042	2	74	Verschworung
22000005	1	5	庭梨栖雪
22100043	2	75	Lightmoon
22100044	2	76	Blue Moon
22100045	2	77	To The Limit
22100046	2	78	The Sweet Jive
22100047	2	79	Elfe de la mer
22100048	2	80	The Fall of Juggernaut
22100049	2	81	Define Me
22100050	2	82	Hide and seek
22100051	2	83	Stellarira
22100052	2	84	Go Camping
22000006	1	6	漫花清夏
22100053	2	85	Adversity
22100054	2	86	Rhythmic
22100055	2	87	Interstice Oath
22100056	2	88	寻找四叶草的阿呆蛙
22100057	2	89	仰げば尊し
22100058	2	90	Dream
22100059	2	91	Daily Life
22100060	2	92	Crossing Eternities
22100061	2	93	Pursue the Glimmer
22100062	2	94	The Last Witness
22100063	2	95	遗光颂-伴奏
22100064	2	96	遗光颂
22100065	2	97	52Hz
22000007	1	7	鲸律星屿
22100066	2	98	One More Hand
22100067	2	99	Eclipsed Requiem
22100068	2	100	Chromatic Amnesia
22100069	2	101	MAV-01
22100070	2	102	Je t'aime, VI
22100071	2	103	I was born for you
22100072	2	104	卡农
22100073	2	105	Ashes
22100074	2	106	Story of Hope
22100075	2	107	Serene Embers
22100076	2	108	<size=28>Into the Shrouded Depths</size>
22100090	2	120	落樱之下
22100091	2	121	<size=28>Cliff, Colt And Campfire</size>
22100092	2	122	Calling Softly
22100093	2	123	A Time with You
22100094	2	124	<size=32>Ascension to Freedom</size>
22100095	2	125	Fading Signal
22100096	2	126	Nocturnal Lullaby
22100097	2	127	Lost Stars, Soft Hearts
22100098	2	128	Ticking Compassion
22100099	2	129	Truth in Ashes
22100100	2	130	No Time to Bleed
