Id	GroupId	Word	ClueId	LineUiIndex
1	1	成功连线后显示的文本1	[1, 2]	5
2	1	成功连线后显示的文本2	[3, 4]	3
3	2	成功连线后显示的文本3	[5, 6]	5
4	2	成功连线后显示的文本4	[6, 7]	2
5	3	成功连线后显示的文本5	[9, 10]	2
103701021	10370102	死者曾遭到机械感染体的袭击，付出受伤的代价后杀死一个打跑一个，此时受到偷袭致死	[103701021, 103701022]	5
103701022	10370102	自我危机存在症可能和案件有关系	[103701022, 103701023]	2
103701023	10370102	两位死者都怀疑世界的真实性，可能有人在猎杀怀疑世界真实的人	[103701023, 103701024]	3
103701024	10370102	可能是诺曼联系了警局报案，她的朋友被杀死她需要引起警局注意但不暴露自己	[103701024, 103701025]	4
103701025	10370102	少女诺曼怀疑世界真实性，并时常与约翰医生交流，后遭到感染体与莫瓦诺追杀死亡	[103701026, 103701027]	6
103701026	10370102	怀疑世界真实性是两人受到攻击的原因之一	[103701023, 103701027]	1
