ChapterId	Note	SkipCondition	StoryImgs	StorySkipId	StorySkipName	StoryChpterType	StoryChapterId	StoryChapterName
2000	序章	1007025	['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump01.png']	[5201]	['间章']	[77]	[1001002]	['蜕变']
2001	第一章	84900108	['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump10.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump12.png', 'Assets/Product/Texture/Image/StoryJump/StoryExChapterJump02.png']	[5210, 5212, 5304]	['间章', '间章', '下一章节']	[77, 77, 74]	[1012001, 1013001, 2002]	['瓦尔基里', '如影随形', '重返极夜']
2101	第一章	84900108	['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump10.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump12.png', 'Assets/Product/Texture/Image/StoryJump/StoryExChapterJump02.png']	[5210, 5212, 5304]	['间章', '间章', '下一章节']	[77, 77, 74]	[1012001, 1013001, 2002]	['瓦尔基里', '如影随形', '重返极夜']
2002	第二章	84800218	['Assets/Product/Texture/Image/StoryJump/StoryExChapterJump02.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump13.png']	[5305, 5213]	['隐藏章节', '间章']	[74, 77]	[2102, 1014001]	['重返极夜', '无垢的祈祷']
2102	第二章	84900208	['Assets/Product/Texture/Image/StoryJump/StoryExChapterJump03.png']	[5306]	['下一章节']	[74]	[2003]	['古铭遗章']
2003	第三章	84900303	['Assets/Product/Texture/Image/StoryJump/StoryShortJump01.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump15.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump14.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump13.png']	[5401, 5215, 5214, 5013]	['浮点纪实·序章', '间章', '间章', '下一章节']	[76, 77, 77, 0]	[2000, 1016001, 1015001, 1013]	['游云鲸梦', '梦回初', '帝江', '终焉福音']
2103	第三章	84900303	['Assets/Product/Texture/Image/StoryJump/StoryShortJump01.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump15.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump14.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump13.png']	[5401, 5215, 5214, 5013]	['浮点纪实·序章', '间章', '间章', '下一章节']	[76, 77, 77, 0]	[2000, 1016001, 1015001, 1013]	['游云鲸梦', '梦回初', '帝江', '终焉福音']
2004	第四章	84800420	['Assets/Product/Texture/Image/StoryJump/StoryExChapterJump04.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump19.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump17.png']	[5309, 5219, 5217]	['隐藏章节', '间章', '间章']	[74, 77, 77]	[2104, 1019001, 1018001]	['咏叹回声', '静滞长夜', '繁星谣']
2104	第四章	84900408	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump14.png']	[5014]	['主线·第十四章']	[0]	[1014]	['视线囚笼']
2005	第五章	84800512	['Assets/Product/Texture/Image/StoryJump/StoryExChapterJump05.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump20.png']	[5311, 5220]	['隐藏章节', '间章']	[74, 77]	[2105, 1020001]	['迷境刻痕', '白色光谱']
2105	第五章	84900512	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump15.png']	[5015]	['主线·第十五章']	[0]	[1015]	['绝海星火']
