Id	StoryLineId	ContentType	ContentId	AvgContent	NextScript	ChooseConditions	ChooseContents	ChooseLabels	CharacterStoryDesc	DisabledCharacters	DisabledCharactersTips	IsContinue	IsTickOutToTitle
101	1	4	101										
102	1	3		RG01000EA									
201	2	2	201										
202	2	5	201		2100				先前的负伤导致记忆仍有些模糊不清，和渡边出去转转吧，或许能够想起来些什么。				
203	2	1	2100										
204	2	2	202										
205	2	5	202		2200				为了确定钢铁军团的位置，自己与渡边决定外出展开调查。				
206	2	1	2200						相关线索已经齐备，开始整理情报，分析出钢铁军团的位置吧。				
207	2	2	203										
208	2	4	203						已经推理出了钢铁军团的位置，是时候继续踏上旅程了。				
209	2	2	204										
210	2	3		RG01003BA					种种迹象表明，钢铁军团很有可能会经过锈轭镇，朝着那里继续前进吧。				
211	2	2	205										
212	2	5	204		2300				锈轭镇中缺衣少粮，钢铁军团龟缩在宛若铜墙铁壁的要塞之中，需要尽快寻找出破局之法。				
213	2	1	2300						相关线索已经齐备，开始整理情报，制定攻打圣环要塞的计划吧。				
214	2	2	206										
215	2	4	205						在解决了镇上的危机后，众人决定利用军团四处散布的通缉令，里应外合攻取要塞。				
216	2	4	206						渡边率领众人在监狱发起暴动，义军夺取圣环要塞的总攻即将开始。				
217	2	6	2										
301	3	2	301										
302	3	5	301		3100				先前的负伤导致记忆仍有些模糊不清，和死亡骑士出去转转吧，或许能够想起来些什么。				
303	3	1	3100						在死亡骑士的引导下，自己开始回忆与她结识的过去。				
305	3	2	302										
306	3	4	302						是时候履行承诺，与死亡骑士一同冲入地狱之中，与海妲魔女清算旧账了。				
307	3	2	303										
308	3	3		RG01008BA									
309	3	2	304										
310	3	4	303						二人进入地狱后遭遇了孤军奋战的刻耳柏洛斯，死亡骑士随即加入战场，率领恶魔军队发起反攻。				
312	3	2	305										
313	3	5	304		3200				海妲魔女唤起阿格龙河水淹没了灰鸦与死亡骑士，在冰冷的河水中，光怪陆离的景象闪烁在二人眼前。				
314	3	1	3200						不可胜数的记忆碎片充斥着脑海，梳理一下有关如今地狱的信息吧。				
316	3	2	306										
317	3	4	305						从阿格龙河中苏醒后，二人来到了亚特兰蒂斯的地下，准备从这里深入敌穴。				
318	3	2	307										
319	3	3		RG01010BA									
320	3	5	306		3300				发现二人后，海妲魔女开始在魔堡中仓皇逃窜，展开了一场风驰电掣的追逐战。				
321	3	1	3300						亚特兰蒂斯宛若一个瞬息万变的迷宫，在继续深入追击之前，简单梳理一下信息吧。				
323	3	4	307						海妲魔女很有可能正在等待欧米伽卵完成孵化，虽然不知道卵会孵出什么东西，但想要阻止天使入侵地狱，就必须在这里阻止她。				
324	3	6	3										
401	4	2	401										
402	4	5	401		4100				先前的负伤导致记忆仍有些模糊不清，和万事一边在村镇中调查，一边整理一下手上的现有情报吧。				
403	4	1	4100						在万事的引导下，回忆起了和他签订契约的起因。				
404	4	2	402										
405	4	5	402		4200				在火车大劫案告一段落后，为了协助万事一起调查天灾的起源，二人一起来到了他建立的孤儿院。				
406	4	1	4200						在前往孤儿院的路上，万事诉说了几年来他在调查中搜集到的情报。				
407	4	2	403										
408	4	5	403		4300				刚发现黑袍祭司的尸体后不久，二人便被林中成群结队的活死人包围了。为了逃出腐尸的陷阱，也为了赐予他们解脱，万事再次举起了武器。				
409	4	1	4300						万事从活死人的尸体上发现了不少蛛丝马迹，一切都在指向在这背后隐藏着一个更大的秘密。				
410	4	2	404										
411	4	4	404						万事开始着手调查林间干尸的身份，却意外在死者的灵魂里见到了一位“老熟人”。				
412	4	3		RG01104BA									
413	4	2	405										
414	4	4	405						万事和灰鸦一起进入乌列尔编织出来的“茧房”，从不停搏动的琥珀中看到了曾经属于“枢机主神”的记忆。				
415	4	2	406										
416	4	4	406						乌列尔希望万事和枢机主神的记忆融合，成为圣堂新的神明，但万事因为曾被人类的善意抚育，拒绝了这个只会让三界陷入狂日持久战争的建议。乌列尔恼羞成怒，想要抢夺“茧”中的力量加冕为神，大战一触即发。				
417	4	6	4										
501	5	2	501										
502	5	5	501		5100				暂时回想不起来和这位名为莉莉丝的女性结识的经过，但她宣称自己会对血契者献上忠诚。在前往镇子的路上，逐步从莉莉丝身上获取信息吧。				
503	5	1	5100						在旅途上交谈的过程中，逐渐回忆起了和莉莉丝签订契约的根由。				
