Id	Type	NextEvent	NextEventGroup	OptionGroupId	EventLevelGroup	Clue	Exp	BgAsset	Name	Desc	RoleIcons	RoleNames	RoleContents	ConfirmContent	LocationName	LocationDesc	LocationDescUnselect	Icon	NextFightGroup
80101	1	80102						Assets/Product/Texture/Image/BgStory/BgStory566.jpg	圣堂诗人	你们被这道旁之人吟唱的旋律绊住了许久。\n明明追兵在后，这摄人心魄的唱诗却始终让你不愿再前进一步。\n只是烈日之下，诗人也难免口干舌燥。旋律暂歇，你们取回了一丝清明。				拔出武器	圣堂诗人	入耳的旋律迷幻又醉人。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory566.jpg	
80102	2			801020				Assets/Product/Texture/Image/BgStory/BgStory566.jpg	圣堂诗人	你抓准时机，拔出武器，将枪口指向了悬挂着繁复符纹的圣堂诗人。	['Assets/Product/Texture/Image/RoleStory/HaiwupoNormal01.png']	['圣堂诗人']	['至高天……万岁……']	确定	圣堂诗人	入耳的旋律迷幻又醉人。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory566.jpg	
80103	1				1			Assets/Product/Texture/Image/BgStory/BgStory566.jpg	圣堂诗人	你扣下了扳机，符纹与琴应声碎裂。\n子弹穿过乐器没入了诗人的身体，重伤的祂发出了天使的尖啸。				清理敌人	圣堂诗人	入耳的旋律迷幻又醉人。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory566.jpg	
80104	1	80105			2			Assets/Product/Texture/Image/BgStory/BgStory566.jpg	圣堂诗人	你们留下了失去符纹和琴的诗人，径直离开。				收下奖励	圣堂诗人	入耳的旋律迷幻又醉人。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory566.jpg	
80105	1							Assets/Product/Texture/Image/BgStory/BgStory566.jpg	圣堂诗人	可惜诗人并没有体谅你们的仁慈，祂张开天使的双翼，尖啸着向你们扑来。				迎战强敌	圣堂诗人	入耳的旋律迷幻又醉人。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory566.jpg	
80201	2			802010				Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	迎面走来一位穿着西装的魔鬼推销员，祂露出一个狡黠的笑容，向你展示着玛门事务所的畅销商品——符纹。	['Assets/Product/Texture/Image/RoleStory/V2100gwNormal02.png']	['魔鬼浪人']	['哎呀真巧啊，您先别急着走，除了金融储蓄服务以外，符纹零售也是玛门事务所承接业务之一，您不来看一眼吗？']	确定	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
80202	1	80203			3			Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	你买下了魔鬼浪人的所有库存。				消费升级	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
80203	1							Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	然而，与魔鬼交易，总是要付出代价。\n你忽然感到头晕目眩，炼狱的阴影铺天盖地而来。				清除敌人	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
80204	1	80205			4			Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	量入为出，理性消费，你现在根本用不着那么多符纹，一个就够了。				消费降级	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
80205	1							Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	然而，与魔鬼交易，总是要付出代价。\n你忽然感到头晕目眩，炼狱的阴影铺天盖地而来。				清除敌人	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
80206	1							Assets/Product/Texture/Image/BgStory/BgStory539.jpg	魔鬼符纹商	与其相信魔鬼的话，不如相信我是至高天。\n你的言语激怒了眼前的魔鬼，一场大战一触即发。请明白：在炼狱，吝啬是最恶劣的陋习！				迎战强敌	魔鬼符纹商	魔鬼的小车从扭曲着各种奇异色彩的虚空中飞了出来。	此处沉睡着你尚未揭晓的秘辛……	Assets/Product/Texture/Image/BgStory/BgStory539.jpg	
