Id	Group	RoleName	ChatText
10201001	10201	渡边	灰鸦，准备好继续出发了吗？
10201002	10201	渡边	昏迷了这么久，不论是精神还是身体，都需要点复健的时间，跟我去附近练练手吧。
10202001	10202	渡边	都想起来了？看来恢复得不错。
10202002	10202	渡边	要想解决铁殇，首先得先找到钢铁军团的位置，以此为目标展开调查吧。
10203001	10203	渡边	谢尔曼堡、滚石谷……的确，我赞同你的推断。
10203002	10203	渡边	事不宜迟，我去联络那位旅行商人，做好准备了就来找我吧，我们尽快出发。
10204001	10204	渡边	刚刚经历了大战，先稍稍休息一下吧。
10204002	10204	渡边	等准备好继续出发了，可以随时回来找我。
10205001	10205	渡边	锈轭镇现在被圣堂的军力层层包围，物资日益短缺，局势不容乐观。
10205002	10205	渡边	一边解决眼下的威胁，一边思考该如何进攻圣环要塞吧。
10206001	10206	渡边	里应外合夺取要塞，这是一个很大胆的计划，但眼下我们恐怕也别无选择。
10206002	10206	渡边	接下来势必是场艰苦的决战，等准备好了，就来喊我出发吧。
10301001	10301	死亡骑士	醒了，猜猜这是哪里？圣堂和地狱二选一。
10301002	10301	死亡骑士	准备好了就出发吧，出去逛逛，有利于搅开你拧成浆糊的神志。
10302001	10302	死亡骑士	都想起来了？是时候启动列车，重返地狱了。
10302002	10302	死亡骑士	准备好了就来找我，别让我等得太久。
10303001	10303	死亡骑士	看起来受圣堂的影响，地狱里会倒映出人间的光景，真是恶心。
10303002	10303	死亡骑士	不知道继续拖下去还会发生什么，等休息好了就来找我，我们继续出发。
10304001	10304	死亡骑士	事不宜迟，朝那群废物们发起进攻吧。
10305001	10305	死亡骑士	阿格龙河深处似乎隐藏着什么秘密，注意戒备，继续前进。
10306001	10306	死亡骑士	黑暗越深，腌臜的蝇狗越多……站在我的身边，一步也不许远离。
10306002	10306	死亡骑士	跟着我的火焰，朝着亚特兰蒂斯进发吧。
10307001	10307	死亡骑士	终于摆脱了那群杂碎……怎么样，还走得动路吗？
10307002	10307	死亡骑士	这里是魔堡的最深处，海妲魔女可能就在前面，准备好了就来找我吧。
10401001	10401	万事	唔……已经要出发了吗？算了，无论是白天还是黑夜，天色都没有区别。
10401002	10401	万事	如果你已经休息好了，我们就起身出发吧。
10402001	10402	万事	看来你都想起来了。现在的情况，跟我们第一次见面的时候刚好相反。
10402002	10402	万事	还有些记忆想不起来也没关系，在前往孤儿院的路上，我会给你解释清楚前因后果的。
10403001	10403	万事	小心一些，我们暂时还不知道这么大批的活死人是从哪里窜出来的。
10403002	10403	万事	可能被摩利甘说中了，我们刚好不偏不倚地闯进了部落民的仪式场地。
10404001	10404	万事	又是曾经在古堡中闻到过的那股药草气味……
10404002	10404	万事	灰鸦，和我站到一起，林中可能还有埋伏。
10405001	10405	万事	走吧，一切的答案就在前方。
10406001	10406	万事	既然已经走到这里，无论这份答案会带来什么后果，我们也唯有面对了。
10406002	10406	万事	灰鸦，谢谢你一直都站在我身边。
10501001	10501	莉莉丝	暂时还想不起来发生了什么吗？
10501002	10501	莉莉丝	没关系，我已经为阁下规划好下一站的路线了……目标是白马镇。
10502001	10502	莉莉丝	嗯……天使们的动向有点不同寻常。
10502002	10502	莉莉丝	他们不止是在搜刮从列车里掉下的金币，应该还在探寻着更多。
10503001	10503	莉莉丝	多年不见，白马镇上发生了不少改变。
10503002	10503	莉莉丝	嗯？你是担心我会产生近乡情怯这种情绪？放心好了，我对这里的回忆才没那么美好。
10504001	10504	莉莉丝	血契者，唯独在处理战利品这件事上，希望你不要插手。
10504002	10504	莉莉丝	我跟天使之间有一笔旧账要算，而且……我想好好独自品尝胜利的滋味。
10505001	10505	莉莉丝	哈哈哈哈，拉斐尔……
10505002	10505	莉莉丝	不，没什么，很快我就会让她后悔当时为什么要来招惹我。
10506001	10506	莉莉丝	就这样，不要停下，让一切力量都臣服于我！
10507001	10507	莉莉丝	血契者……我就明白，你一定会回到我的身边。
10601001	10601	渡边	灰鸦，只待你一声令下，我们就按照原定计划出击。
10601002	10601	莉莉丝	话说，“摆渡人”你把恶魔也带上来了？
10601003	10601	薇拉	能用的都要用上，论对付天使的本领他们可比人类强多了。
10601004	10601	万事	无论天使，恶魔，还是……至少现在大家的敌人都是天使。
10601005	10601	万事	我们都已经做好准备了，血契者。
10602001	10602	渡边	地面上支持我们的人越来越多，灰鸦，该做最后的准备了。
10603001	10603	万事	血契者，剩下的就只有攻上圣堂了。
10603002	10603	薇拉	我没意见，思考，计谋，这些都交给你们，我只要和列车一起给天使们带去死亡就行。
10603003	10603	莉莉丝	话说，不先来干一杯吗，各位？
10604001	10604	莉莉丝	这是把能打开的星门都用在这里了吗，真是壮观。
10604002	10604	万事	得想办法，我们不能让更多天使登上这辆列车了。
10604003	10604	薇拉	不管上来没上来，统统杀了就是，灰鸦，准备好了吧！
10605001	10605	莉莉丝	你们察觉到了吗，这列车已经不行了。
10605002	10605	万事	血契者，我们得在坠落之前找到安全的位置。
10701001	10701	涅缇娅	嘘……不必焦急。
10701002	10701	涅缇娅	从现在开始，我会将这个世界的真相全部向你娓娓道来。
10702001	10702	涅缇娅	没错，你应该早就意识到了，其实你就是那位“灰鸦”。
10702002	10702	涅缇娅	烬土边疆人民口中的那位，可以替他们终结一切灾厄的，无所不能的大英雄。
10703001	10703	涅缇娅	你看，在这片大陆上，苦厄和灾难从未改变过，是吧？
10703002	10703	涅缇娅	我也不明白从未经历过那些日子的人类，如今在缅怀过去些什么。
10704001	10704	涅缇娅	灰鸦，我相信，陪伴我一路走到至今的你，一定会作出正确的选择……
10705001	10705	涅缇娅	跟我预想中的一模一样，“新世界”是如此的美丽……
10705002	10705	涅缇娅	很高兴你能跟我一起见证到这幅美景，我的血契者。
10706001	10706	涅缇娅	前进吧，这片大陆上已经不存在任何可以阻拦我们的人了。
