Id	GroupId	OptionDesc	OptionType	OptionCostType	OptionCostId	OptionCostCount	NextEvent	NextEventGroup	OptionCondition	OptionShowCondition
1010101	101010	在前方伏击敌人。	3				10102			
1010102	101010	一路尾随他们，找到更大的目标。	3				10103			
1020101	102010	搜索这片战场。	3				10202			
1020102	102010	这里怎么会变成这样？	3				10204			
1030101	103010	探索工厂。	3				10302			
1030102	103010	询问有关「圣环巨炮」。	3				10303			
1040101	104010	亲自试试。	3				10402			
1040102	104010	渡边，你用下“那个”……	3				10404			
1050101	105010	接受援助，但婉拒他们加入。	3				10502			
1050102	105010	允许他们加入队伍。	3				10503			
2010101	201010	发动攻击。	3				20105			
2010102	201010	买。	3				20103			
2020101	202010	调转马头离开浅滩。	3				20202			
2020102	202010	那是什么生物？	3				20204			
2030101	203010	接过羽毛。	3				20302			
2030102	203010	不信任她。	3				20303			
2040101	204010	不影响我们坐收渔利。	3				20403			
2040102	204010	袭击者可能还没走远。	3				20405			
2050101	205010	正面发起攻击。	3				20502			
2050102	205010	迂回观察情况。	3				20503			
3010101	301010	谨慎接近婴儿	3				30102			
3010102	301010	冲进草丛中发起进攻	3				30103			
3020101	302010	清理当地的活死人	3				30202			
3020102	302010	加固墓园的栅栏	3				30204			
3030101	303010	上前怒斥这个庸医	3				30303			
3030102	303010	不动声色地拉走那个母亲	3				30304			
3040201	304020	直言以对	3				30403			
3040202	304020	善意隐瞒	3				30405			
3050201	305020	提出要等价交换	3				30503			
3050202	305020	威胁他们，让边疆人放了他	3				30505			
4010101	401010	收下这些金币	3				40103			
4010102	401010	将金币还给附近的镇民	3				40104			
4020101	402010	引导她前往另一个城镇	3				40203			
4020102	402010	留下一笔资金	3				40205			
4030101	403010	收起这个水晶球	3				40302			
4030102	403010	追问莉莉丝更多	3				40303			
4040101	404010	忍耐着把饭吃完	3				40403			
4040102	404010	站起身，直接告辞	3				40404			
4050101	405010	指出乐园并不存在	3				40503			
4050102	405010	为她指出另一座乐园	3				40505			
8010201	801020	先摧毁符文削弱祂。	3				80104			
8010202	801020	拿走符纹，留祂一命。	3				80103			
8020101	802010	我全都要！	1	4	1	12	80202			
8020102	802010	买一个试试。	1	4	1	6	80204			
8020103	802010	信你个鬼？我信你个鬼！	3				80206			
8030101	803010	抢了符纹就跑。	3				80302			
8030102	803010	抢救仪式的“祭品”们。	3				80304			
8040201	804020	拿取这个赐福符纹。	3				80403			
8040202	804020	带着老者离开这里。	3				80405			
8050301	805030	我行我愿，皆笃信至高天的教义。	3				80504			
8050302	805030	至高天屠戮人类，罄竹难书。	3				80505			
8060201	806020	你决定加入帮助他们。	3				80603			
8060202	806020	协助搜索附近的物资。	3				80605			
8070101	807010	迅速离开这里。	3				80702			
8070102	807010	准备战斗。	3				80704			
8080101	808010	就在这里狩猎它们。	3				80802			
8080102	808010	立刻疏散镇民。	3				80803			
8090101	809010	你们登上了行进中的列车。	3				80902			
8090102	809010	你们拦下了纤夫们。	3				80903			
8100101	810010	这些玩意多少能值点钱吧？	3				81002			
8100102	810010	这段讲的是什么天使的禁忌故事？	3				81004			
8110101	811010	我们发财了，全搬走！	3				81103			
8110102	811010	我只拿一点点……	3				81105			
8110103	811010	离开这里。	3				81107			
8120101	812010	不行，你必须跟我走。	3				81203			
8120102	812010	是啊，何必呢。	3				81205			
8130101	813010	刮十次！	1	4	1	12	81303			
8130102	813010	刮两次意思意思。	1	4	1	6	81305			
8130103	813010	算了，我信不着你。	3				81307			
8140101	814010	尽快消灭人偶。	3				81404			
8140102	814010	深入搜索宅邸。	3				81406			
8150101	815010	就在这里狩猎它。	3				81503			
8150102	815010	有研究价值，抓活的。	3				81505			
8160101	816010	发起攻击，摧毁法阵。	3				81604			
8160102	816010	优先解救俘虏。	3				81606			
8170101	817010	立刻解救俘虏。	3				81702			
8170102	817010	观察他们要去哪里。	3				81704			
8180101	818010	在镇子上伏击天使。	3				81802			
8180102	818010	领导民众迎击天使。	3				81804			
8190101	819010	我看到了与恶魔的战争。	3				81903			
8190102	819010	我看到枢机主神的死亡。	3				81906			
8200101	820010	扭！现在就让我扭！	1	4	1	6	82002			
8200102	820010	魔鬼，我信你个鬼。	3				82008			
8200201	820020	继续	3					820011		
8200202	820020	放弃	3				82008			
203010101	20301010	攻击祂的背后。	3				2030102			
203010102	20301010	拆卸祂的光翼。	3				2030103			
203020101	20302010	攻击祂的背后。	3				2030202			
203020102	20302010	拆卸祂的光翼。	3				2030203			
203030101	20303010	将血弹倾泻入祂的嘴中。	3				2030302			
203030102	20303010	斩断祂的四肢。	3				2030303			
203040101	20304010	夺取祂的武器。	3				2030402			
203040102	20304010	优先斩杀祂。	3				2030403			
