Id	LevelGroup	Title	Desc	BgAsset	Hp	StartStory	EndStory	BaseRewardCoin	LevelRewardCoin	HpRewardCoin	LossRewardFactor	BagRuneGridInitCount	GridUnlockDiscount	CloseStoryTips	CharLevelGroup
101	101	序章	序章	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01000BA		100	10	10	5	3	3	1	
201	201	外出调查	渡边第一关-调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
202	202	外出调查	渡边第二关-调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
203	203	山谷伏击	渡边第三关-定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01002BA		100	10	10	5	3	3		
204	204	外出调查	渡边第四关-调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
205	205	监狱暴动	渡边第五关-定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01004BA		100	10	10	5	3	3		
206	206	决战铁殇	渡边第六关-定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01005BA	RG01006BA	100	10	10	5	3	3		
207	207	外出调查	渡边复刷关	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
301	301	外出调查	1-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
302	302	驶向地狱	2-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
303	303	征伐天使	2-2定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5		RG01008EA	100	10	10	5	3	3		
304	304	外出调查	3-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
305	305	深入魔堡	4-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
306	306	外出调查	4-2调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
307	307	决战魔女	5-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01011BA	RG01011EA	100	10	10	5	3	3		
308	308	外出调查	薇拉复刷关	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
401	401	外出调查	万事1-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
402	402	外出调查	万事2-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
403	403	外出调查	万事2-2调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
404	404	决战圣女	万事3-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01103BA		100	10	10	5	3	3		
405	405	琥珀中的记忆	万事4-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
406	406	道别乌列尔	万事5-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01105BA	RG01106BA	100	10	10	5	3	3		
407	407	外出调查	万事复刷关	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
501	501	外出调查	莉莉丝1-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
502	502	外出调查	莉莉丝2-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
503	503	围攻白马镇	莉莉丝2-2定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01202BA		100	10	10	5	3	3		
504	504	无归城血战	莉莉丝3-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01203BA		100	10	10	5	3	3		
505	505	拉斐尔陨灭	莉莉丝4-1定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01204BA		100	10	10	5	3	3		
506	506	外出调查	莉莉丝5-1调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01205BA		100	10	10	5	3	3		
507	507	黄金律崩毁	莉莉丝5-2定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5		RG01206BA	100	10	10	5	3	3		
508	508	外出调查	莉莉丝复刷关	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
601	601	外出调查	3.8共通线调查战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
602	602	天光突袭	3.8共通线2定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01302BA	RG01303BA	100	10	10	5	3	3		
603	603	列车死竞	3.8共通线3定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5		RG01304BA	100	10	10	5	3	3		
604	604	灭世之海	3.8共通线4定制战斗	Assets/Product/Texture/Image/BgUi/BgActive01.png	5		RG01305BA	100	10	10	5	3	3		
605	605	外出调查	3.8共通线复刷关	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
701	701	外出调查	4.1女主线	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
702	702	外出调查	4.1女主线	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01402BA		100	10	10	5	3	3		
703	703	外出调查	4.1女主线	Assets/Product/Texture/Image/BgUi/BgActive01.png	5			100	10	10	5	3	3		
704	704	永恒征服	4.1女主线	Assets/Product/Texture/Image/BgUi/BgActive01.png	5		RG01405EA	100	10	10	5	3	3		
705	705	烬土边疆	4.1女主线	Assets/Product/Texture/Image/BgUi/BgActive01.png	5	RG01406BA	RG01406EA	100	10	10	5	3	3		
