Id	Name	GroupIdList	Condition	MinScale	MaxScale	ShowType
2800016	生活服务基站	[301, 302]			50.0	1
2800017	交通枢纽	[301]		50.0	100.0	2
2800018	叠环街区	[301]		50.0	100.0	2
2800019	联络平台	[302]		50.0	100.0	2
2800020	棱镜·纪念广场	[305]			50.0	1
2800021	沉光环廊	[305]		50.0	100.0	2
2800022	法奥斯纪念碑	[305]		50.0	100.0	2
2800023	先驱者碑林	[305]		50.0	100.0	2
2800024	黄金大厅	[306]			50.0	1
2800025	协同教学中心	[303, 304]			50.0	1
2800026	光谱花园	[302]		50.0	100.0	2
2800027	3号研习教室	[304]		50.0	100.0	2
2800028	4号研习教室	[304]		50.0	100.0	2
2800029	拟域训练场	[303]		50.0	100.0	2
2800030	终端控制室	[303]		50.0	100.0	2
2800031	奠基大厅	[302]		50.0	100.0	2
2800032	折角廊道	[305]		50.0	100.0	2
