Key	Comment	Value
BeMentorLv	成为师傅的等级	80
GraduateLv	徒弟毕业等级	80
BeStudentLv	成为徒弟的等级	20
MaxStudentCount	师傅可以带几个徒弟	3
JudgeFailPassTime	多少分钟不登录为不及格	4320
TickPunishTime	退师或开除徒弟，多少分钟不能再拜师或者招募	720
CompleteTaskCount	徒弟每周可完成几个任务	6
SysReleaseTaskCount	系统每日发布几个任务	5
GetTaskCount	徒弟每天可以领取几个任务	3
ChangeTaskCount	师傅每天可以更换几次任务	9
MaxApplyCount	申请列表最多有多少条消息	6
ApplyTimeout	申请消息存放时长（分钟）	1440
MaxRecommendCount	界面上展示的推荐数量	6
ApplyCd	申请被拒绝后x分钟内该师傅不会再收到此玩家的申请（配成0会报错）	5
MaxRecommendRecordCount	服务器存储的最大推荐记录数	100
StudentRefuseApplyInterval	申请被拒绝后x分钟内该学生不会再收到此玩家的申请（配成0会报错）	5
RecommendIntervalTime	"""获取推荐列表冷却时间（分钟）,譬如连续点了N次之后，并且每次两次点击之间的时间间隔少于X，会进入冷却CD，获取推荐列表和搜索通用"""	1
MaxContinuousClickCount	获取推荐列表最多连续点击次数	10
MaxContinuousClickIntervalTime	获取推荐列表两次点击间隔（秒）	10
MaxDailyApply	每天最多申请次数	100
KickTeacherMailId	退师发给师傅的邮件ID	60004
KickStudentMailId	踢徒弟发给徒弟的邮件ID	60003
AnnouncementMaxLength	宣言的最大长度	20
AddMentorTeacherMailId	收徒时发给师傅的邮件ID	60002
AddMentorStudentMailId	收徒时发给学生的邮件ID	60001
MentorChatMaxCount	师徒聊天消息的最大保存数（最新）	50
GraduateRewardId	毕业奖励（奖励表ID）	40750
GraduateStudentRetainDay	已毕业学生保留几天，给师傅领挑战任务奖励	7
GraduateMailId	学生点毕业时，如果有未完成的成长任务，自动完成任务，并且通过邮件发放奖励，邮件ID	60007
NormalLabelMaxCount	最大可选择个性标签数	2
TimeLabelMaxCount	最大可选择时间标签数	1
MentorChangeTaskDisplayCount	师傅打开更换任务界面时显示几条任务	5
MentorGiveEquipCount	一个任务可以赠送几个意识	2
MentorGiveEquipMaxLevel	可以赠送的意识最大等级	1
MentorGiveEquipMaxStar	可以赠送的意识最大星级	5
StudentWeeklyResetSendEquipMailId	每周重置时，如果学生没有领取师傅赠送的意识，通过邮件发送给学生，邮件ID	60005
GraduateStudentCount	师徒名录最多显示几个已毕业的学生	4
GraduateTaskMailId	学生点毕业时，如果有未领取的挑战任务，通过邮件发放奖励，邮件ID	60006
FirstMentorMailId	第一批教官邮件ID	60008
FirstMentorRewardDeadline	距离11月26号0点多少天后不再发教官邮件	29
MonthlyStudentCount	每月最多收徒数量	6
GraduateCollectionId	老师奖励界面展示用毕业收藏品ID	13000800
AutoGraduateLv	自动毕业等级	83
MessageBoardMaxLen	留言最大长度	100
ActivationCount	达到多少活跃度算满今日活跃度	100
ActivationItemId	教师达到活跃度显示的礼物ID	96006
ActivationRewardId	教师实际送给学员的rewardid	40802
ActivationRewardCount	达到活跃度奖励几份礼物	3
GiftMailId	送教师的礼物邮件ID	60010
GuidePlayerSearchCD	搜索师徒CD	3
