Info	Key	X	Y
1515151515	PB1	14161	10430
1515151515	S1	14161	10862
1515151515	ZX1	14155	10850
1515151515	End	14167	10832
1515151515	B101	14173	10821
1515151515	B102	14072	10998
1515151515	B103	14250	11004
1515151515	B104	13984	11128
1515151515	B105	14179	11128
1515151515	B106	14344	11134
96991517	S1	14115	9975
96991517	A1	14109	9981
96991517	PB1	14115	9987
96991517	B101	14138	10905
96991517	North02	14116	12647
96991517	West02	12422	10810
96991517	South02	14159	9231
96991517	East02	15832	10889
96991517	Center	14166	10846
96991517	C1	13791	10878
96991517	C2	14142	10898
96991517	C3	14433	10888
