Id	Name	NameplateId
1	里	[17040101, 17040102, 17040103]
2	万事	[17040201, 17040202, 17040203]
3	罗兰	[17040301, 17040302, 17040303]
4	卡穆	[17040401, 17040402, 17040403]
5	渡边	[17040501, 17040502, 17040503]
6	库洛姆	[17040601, 17040602, 17040603]
7	常羽	[17040701, 17040702, 17040703]
8	神威	[17040801, 17040802, 17040803]
9	卡列尼娜	[17040901, 17040902, 17040903]
10	蒲牢	[17041001, 17041002, 17041003]
11	罗塞塔	[17041101, 17041102, 17041103]
12	露娜	[17041201, 17041202, 17041203]
13	比安卡	[17041301, 17041302, 17041303]
14	赛琳娜	[17041401, 17041402, 17041403]
15	曲	[17041501, 17041502, 17041503]
16	苏菲亚	[17041601, 17041602, 17041603]
17	露西亚	[17041701, 17041702, 17041703]
18	艾拉	[17041801, 17041802, 17041803]
19	丽芙	[17041901, 17041902, 17041903]
20	七实	[17042001, 17042002, 17042003]
21	薇拉	[17042101, 17042102, 17042103]
22	阿尔法	[17042201, 17042202, 17042203]
23	维里耶	[17042301, 17042302, 17042303]
24	太阿	[17042401, 17042402, 17042403]
