Id	BeginTimeStr	EndTimeStr	Keyword	Path	Weight	CoolTime	TriggerType	Channel
1	2021/2/11 23:59	2021/2/18 23:59	['新年快乐', '新年大吉']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab']	[20, 20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
2	2021/2/11 23:59	2021/2/18 23:59	['新春快乐', '新春愉快']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab']	[20, 20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
3	2021/2/11 23:59	2021/2/18 23:59	['牛年快乐', '牛年大吉']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhua03.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab']	[20, 20, 20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
4	2021/8/12 23:59	2021/9/27 23:59	['七夕快乐', '过七夕']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab']	[20, 30]	5	3	[1, 2, 3, 4, 5, 6, 7]
5	2021/8/12 23:59	2021/9/27 23:59	['七夕节快乐', '情人节快乐']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab']	[20, 30]	5	3	[1, 2, 3, 4, 5, 6, 7]
6	2021/8/12 23:59	2021/9/27 23:59	['爱', '心']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
7	2021/8/12 23:59	2021/9/27 23:59	['鹊桥', '牛郎织女']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab']	[50]	5	3	[1, 2, 3, 4, 5, 6, 7]
8	2021/8/12 23:59	2021/9/27 23:59	['中秋快乐', '欢度中秋']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaYuebing.prefab']	[20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
9	2021/8/12 23:59	2021/9/27 23:59	['中秋节快乐', '月饼节快乐']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaYuebing.prefab']	[20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
10	2021/8/12 23:59	2021/9/27 23:59	['兔', '灯笼']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
11	2021/8/12 23:59	2021/9/27 23:59	['月饼']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaYuebing.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
12	2021/10/29 10:00	2021/11/1 5:00	['圣夜', '南瓜', '瓜头']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaNgt.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
13	2021/10/29 10:00	2021/11/1 5:00	['女巫', '扫帚', '魔女']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaMonv.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
14	2021/10/29 10:00	2021/11/1 5:00	['蜘蛛', '蛛网', '破旧']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZhizhu.prefab']	[20]	5	3	[1, 2, 3, 4, 5, 6, 7]
15	2021/10/29 10:00	2021/11/1 5:00	['万圣', '鬼', '恐怖']	['Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaNgt.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaMonv.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZhizhu.prefab']	[20, 20, 20]	5	3	[1, 2, 3, 4, 5, 6, 7]
