Id	Name	Type	Params
1	回合数大于等于1回合，改变权重（第一个参数是回合数）	1	['1']
2	回合数大于等于2回合，改变权重（第一个参数是回合数）	1	['2']
3	回合数大于等于3回合，改变权重（第一个参数是回合数）	1	['3']
4	回合数大于等于4回合，改变权重（第一个参数是回合数）	1	['4']
5	回合数大于等于5回合，改变权重（第一个参数是回合数）	1	['5']
6	回合数大于等于6回合，改变权重（第一个参数是回合数）	1	['6']
7	回合数大于等于7回合，改变权重（第一个参数是回合数）	1	['7']
8	回合数大于等于8回合，改变权重（第一个参数是回合数）	1	['8']
9	回合数大于等于9回合，改变权重（第一个参数是回合数）	1	['9']
10	回合数大于等于10回合，改变权重（第一个参数是回合数）	1	['10']
11	回合数大于等于11回合，改变权重（第一个参数是回合数）	1	['11']
12	回合数大于等于12回合，改变权重（第一个参数是回合数）	1	['12']
13	回合数大于等于13回合，改变权重（第一个参数是回合数）	1	['13']
14	回合数大于等于14回合，改变权重（第一个参数是回合数）	1	['14']
15	回合数大于等于15回合，改变权重（第一个参数是回合数）	1	['15']
16	回合数大于等于16回合，改变权重（第一个参数是回合数）	1	['16']
17	回合数大于等于17回合，改变权重（第一个参数是回合数）	1	['17']
18	回合数大于等于18回合，改变权重（第一个参数是回合数）	1	['18']
19	回合数大于等于19回合，改变权重（第一个参数是回合数）	1	['19']
20	回合数大于等于20回合，改变权重（第一个参数是回合数）	1	['20']
21	背包里有1个【作弊指令】时，权重改变	3	['50', '1']
22	背包里有1个【直接开挂】时，权重改变	3	['51', '1']
23	背包里有1个【露娜】时，权重改变	3	['25', '1']
24	背包里有1个【赛利卡】时，权重改变	3	['45', '1']
25	背包内带有【战斗流】tag的棋子数量超过10，改变权重	2	['1', '10']
26	背包内带有【战斗流】tag的棋子数量超过15，改变权重	2	['1', '15']
27	背包内带有【养猪流】tag的棋子数量超过10，改变权重	2	['2', '10']
28	背包内带有【养猪流】tag的棋子数量超过15，改变权重	2	['2', '15']
29	背包内带有【螺母流】tag的棋子数量超过8，改变权重	2	['3', '8']
30	背包内带有【作弊流】tag的棋子数量超过1，改变权重	2	['4', '1']
31	背包内带有【作弊流】tag的棋子数量超过2，改变权重	2	['4', '2']
32	背包内带有【金币流】tag的棋子数量超过8，改变权重	2	['5', '8']
33	背包内带有【三头犬】tag的棋子数量超过6，改变权重	2	['6', '6']
34	背包内带有【指挥官喜爱的】tag的棋子数量超过3，改变权重	2	['7', '3']
35	背包内带有【灰鸦】tag的棋子数量超过4，改变权重	2	['8', '4']
36	背包内带有【阿呆蛙】tag的棋子数量超过3，改变权重	2	['9', '3']
37	背包里有5个【金币】时，权重改变	3	['52', '5']
