WaveId	WaveType	WaveReward	WaveFinishCondition	MaxMonsterCount	IconType	IconAssets	SpawnGroup	SpawnTime
101	1	15	20	60			[101001, 101002, 101003, 101004]	[0, 6, 12, 18]
102	1	15	30	60			[102001, 102002, 102003, 102004, 102005]	[0, 6, 12, 18, 24]
103	1	15	50	60			[103001, 103002, 103003, 103004, 103005, 103006, 103007, 103008, 103009]	[0, 6, 12, 18, 24, 30, 36, 42, 48]
201	1	15	30	60			[201001, 201002, 201003, 201004, 201005, 201006]	[0, 6, 12, 18, 24, 28]
202	1	15	45	60			[202001, 202002, 202003, 202004, 202005, 202006, 202007]	[0, 6, 12, 18, 24, 30, 36]
203	1	15	60	60			[203001, 203002, 203003, 203004, 203005, 203006, 203007, 203008, 203009, 203010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
301	1	15	20	60			[301001, 301002, 301003, 301004]	[0, 6, 12, 18]
302	1	15	25	60			[302001, 302002, 302003, 302004, 302005]	[0, 6, 12, 18, 24]
303	2	15	40	60			[303001, 303002, 303003, 303004, 303005, 303006, 303007]	[0, 6, 12, 18, 24, 30, 36]
304	1	15	45	60			[304001, 304002, 304003, 304004, 304005, 304006, 304007, 304008]	[0, 6, 12, 18, 24, 30, 36, 42]
305	1	15	50	60			[305001, 305002, 305003, 305004, 305005, 305006, 305007, 305008, 305009]	[0, 6, 12, 18, 24, 30, 36, 42, 48]
306	2	15	60	60			[306001, 306002, 306003, 306004, 306005, 306006, 306007, 306008, 306009, 306010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
307	1	15	60	60			[307001, 307002, 307003, 307004, 307005, 307006, 307007, 307008, 307009, 307010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
308	1	15	60	60			[308001, 308002, 308003, 308004, 308005, 308006, 308007, 308008, 308009, 308010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
309	1	15	90	60			[309001, 309002, 309003, 309004, 309005, 309006, 309007, 309008, 309009, 309010, 309011, 309012, 309013, 309014, 309015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
401	1	20	30	60			[401001, 401002, 401003, 401004, 401005]	[0, 6, 12, 18, 24]
402	1	20	45	60			[402001, 402002, 402003, 402004, 402005, 402006, 402007, 402008]	[0, 6, 12, 18, 24, 30, 36, 43]
403	2	20	60	60			[403001, 403002, 403003, 403004, 403005, 403006, 403007, 403008, 403009, 403010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
404	1	20	60	60			[404001, 404002, 404003, 404004, 404005, 404006, 404007, 404008, 404009, 404010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
405	1	20	60	60			[405001, 405002, 405003, 405004, 405005, 405006, 405007, 405008, 405009, 405010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
