Id	CharacterId	Level	NeedExp
1	5030	1	16
2	5030	2	25
3	5030	3	36
4	5030	4	49
5	5030	5	64
6	5030	6	81
7	5030	7	100
8	5030	8	121
9	5030	9	144
10	5030	10	169
11	5030	11	196
12	5030	12	225
13	5030	13	256
14	5030	14	289
15	5030	15	324
16	5030	16	361
17	5030	17	400
18	5030	18	441
19	5030	19	484
20	5030	20	529
21	5030	21	576
22	5030	22	625
23	5030	23	676
24	5030	24	729
25	5030	25	784
26	5030	26	841
27	5030	27	900
28	5030	28	961
29	5030	29	1024
30	5030	30	1089
31	5030	31	1156
32	5030	32	1225
33	5030	33	1296
34	5030	34	1369
35	5030	35	1444
36	5030	36	1521
37	5030	37	1600
38	5030	38	1681
39	5030	39	1764
40	5030	40	1849
41	5030	41	1936
42	5030	42	2025
43	5030	43	2116
44	5030	44	2209
45	5030	45	2304
46	5030	46	2401
47	5030	47	2500
48	5030	48	2601
49	5030	49	2704
50	5030	50	2809
51	5030	51	2916
52	5030	52	3025
53	5030	53	3136
54	5030	54	3249
55	5030	55	3364
56	5030	56	3481
57	5030	57	3600
58	5030	58	3721
59	5030	59	3844
60	5030	60	3969
61	5030	61	4096
62	5030	62	4225
63	5030	63	4356
64	5030	64	4489
65	5030	65	4624
66	5030	66	4761
67	5030	67	4900
68	5030	68	5041
69	5030	69	5184
70	5030	70	5329
71	5030	71	5476
72	5030	72	5625
73	5030	73	5776
74	5030	74	5929
75	5030	75	6084
76	5030	76	6241
77	5030	77	6400
78	5030	78	6561
79	5030	79	6724
80	5030	80	6889
81	5030	81	7056
82	5030	82	7225
83	5030	83	7396
84	5030	84	7569
85	5030	85	7744
86	5030	86	7921
87	5030	87	8100
88	5030	88	8281
89	5030	89	8464
90	5030	90	8649
91	5030	91	8836
92	5030	92	9025
93	5030	93	9216
94	5030	94	9409
95	5030	95	9604
96	5030	96	9801
97	5030	97	10000
98	5030	98	10201
99	5056	1	16
100	5056	2	25
101	5056	3	36
102	5056	4	49
103	5056	5	64
104	5056	6	81
105	5056	7	100
106	5056	8	121
107	5056	9	144
108	5056	10	169
109	5056	11	196
110	5056	12	225
111	5056	13	256
112	5056	14	289
113	5056	15	324
114	5056	16	361
115	5056	17	400
116	5056	18	441
117	5056	19	484
118	5056	20	529
119	5056	21	576
120	5056	22	625
121	5056	23	676
122	5056	24	729
123	5056	25	784
124	5056	26	841
125	5056	27	900
126	5056	28	961
127	5056	29	1024
128	5056	30	1089
129	5056	31	1156
130	5056	32	1225
131	5056	33	1296
132	5056	34	1369
133	5056	35	1444
134	5056	36	1521
135	5056	37	1600
136	5056	38	1681
137	5056	39	1764
138	5056	40	1849
139	5056	41	1936
140	5056	42	2025
141	5056	43	2116
142	5056	44	2209
143	5056	45	2304
144	5056	46	2401
145	5056	47	2500
146	5056	48	2601
147	5056	49	2704
148	5056	50	2809
149	5056	51	2916
150	5056	52	3025
151	5056	53	3136
152	5056	54	3249
153	5056	55	3364
154	5056	56	3481
155	5056	57	3600
156	5056	58	3721
157	5056	59	3844
158	5056	60	3969
159	5056	61	4096
160	5056	62	4225
161	5056	63	4356
162	5056	64	4489
163	5056	65	4624
164	5056	66	4761
165	5056	67	4900
166	5056	68	5041
167	5056	69	5184
168	5056	70	5329
169	5056	71	5476
170	5056	72	5625
171	5056	73	5776
172	5056	74	5929
173	5056	75	6084
174	5056	76	6241
175	5056	77	6400
176	5056	78	6561
