NodeId	PreNode	NodeName	NodeType	NodeGroup	NodeCost	NodeCondition	TextUnlock	TextLocked	NodeIcon	NodeStats	NodeStatsNum	ShopFreshCount	RewardItemIds
1		冲刺	1	1	75	865000	解锁冲刺能力	解锁冲刺能力	Assets/Product/Texture/Image/UiPBR/IconDashLimitNumUp.png	[55]	[200000]		
2	1	杂技		1	50		信号球伤害加成<color=#3ACC3B>+30%</color>	信号球伤害加成<color=#3ACC3B>+30%</color>	Assets/Product/Texture/Image/UiPBR/IconSignalOrbsDmgUp.png	[12]	[3000]		
3	2	护甲		1	50		护甲<color=#3ACC3B>+3</color>	护甲<color=#3ACC3B>+3</color>	Assets/Product/Texture/Image/UiPBR/IconArmorUp.png	[33]	[3]		
4	1	普攻		1	50		普攻伤害加成<color=#3ACC3B>+45%</color>	普攻伤害加成<color=#3ACC3B>+45%</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackDmgUp.png	[11]	[4500]		
5	4	闪避		1	50		闪避<color=#3ACC3B>+5%</color>	闪避<color=#3ACC3B>+5%</color>	Assets/Product/Texture/Image/UiPBR/IconDodgeRateUpUp.png	[144]	[500]		
6	1	底气	2	4	100	865001	解锁红球技能【横扫】\n解锁道具【库仆仆】	解锁红球技能【横扫】\n解锁道具【库仆仆】	Assets/Product/Texture/Image/UiPBR/R2shenweihong1Up.png				[9, 10, 11, 12, 189]
7	1	爆裂	2	4	100	865001	解锁红球技能【逆反剑技】\n解锁道具【明瞳续昼】【天平】	解锁红球技能【逆反剑技】\n解锁道具【明瞳续昼】【天平】	Assets/Product/Texture/Image/UiPBR/R3shenweihong1Up.png				[45, 46, 47, 48, 163, 164]
8	5	冲刺充能上限	1	2	75	865004	冲刺充能上限<color=#3ACC3B>+2</color>	冲刺充能上限<color=#3ACC3B>+2</color>	Assets/Product/Texture/Image/UiPBR/IconDashInitialNumUp.png	[55]	[400000]		
9	8	信号球掉率		2	50		红球掉落概率<color=#3ACC3B>+15%</color>，黄球掉落概率<color=#3ACC3B>+15%</color>，蓝球掉落概率<color=#3ACC3B>+15%</color>	红球掉落概率<color=#3ACC3B>+15%</color>，黄球掉落概率<color=#3ACC3B>+15%</color>，蓝球掉落概率<color=#3ACC3B>+15%</color>	Assets/Product/Texture/Image/UiPBR/IconRedOrbsAttackDropRateUp.png	[154, 155, 156]	[1500, 1500, 1500]		
10	9	生息		2	50		最大生命值<color=#3ACC3B>+20</color>	最大生命值<color=#3ACC3B>+20</color>	Assets/Product/Texture/Image/UiPBR/IconMaxHPUp.png	[1]	[20]		
11	8	膛线		2	50		射程<color=#3ACC3B>+2</color>	射程<color=#3ACC3B>+2</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackRangeUp.png	[75]	[2]		
12	11	急速		2	50		速度<color=#3ACC3B>+30</color>	速度<color=#3ACC3B>+30</color>	Assets/Product/Texture/Image/UiPBR/IconMoveSpeedUp.png	[3]	[30]		
13	8	弹射	2	5	100	865005	解锁红球技能【离索跳弹】\n解锁道具【鲨赛克瓷砖】【发射星星】【卫士挂载】	解锁红球技能【离索跳弹】\n解锁道具【鲨赛克瓷砖】【发射星星】【卫士挂载】	Assets/Product/Texture/Image/UiPBR/R2lifuhong1Up.png				[29, 30, 31, 32, 141, 142, 165]
14	8	准心	2	5	100	865005	解锁道具【神威邀请函】	解锁道具【神威邀请函】	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png				[188]
15	12	补给	1	3	75	865008	商店刷新次数<color=#3ACC3B>+2</color>	商店刷新次数<color=#3ACC3B>+2</color>	Assets/Product/Texture/Image/UiPBR/IconBuyCountUp.png			2	
16	15	成长		3	50		生命成长<color=#3ACC3B>+2</color>	生命成长<color=#3ACC3B>+2</color>	Assets/Product/Texture/Image/UiPBR/IconHpPerLevelUp.png	[17]	[2]		
17	16	退散		3	50		击退<color=#3ACC3B>+1</color>	击退<color=#3ACC3B>+1</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackKnockbackUp.png	[78]	[1]		
18	15	连锁		3	50		连锁持续时间<color=#3ACC3B>+2</color>秒	连锁持续时间<color=#3ACC3B>+2</color>秒	Assets/Product/Texture/Image/UiPBR/IconComboBoostWindowUp.png	[77]	[2]		
19	18	续航		3	50		生命偷取效率<color=#3ACC3B>+2%</color>	生命偷取效率<color=#3ACC3B>+2%</color>	Assets/Product/Texture/Image/UiPBR/IconLifestealRateLimit.png	[49]	[200]		
20	19	777	1	3	200	865009	幸运<color=#3ACC3B>+777</color>	幸运<color=#3ACC3B>+777</color>	Assets/Product/Texture/Image/UiPBR/IconLuckUp.png	[145]	[777]		
21	15	猛攻	2	6	100	865010	解锁红球技能【掠雷冲】\n解锁道具【你想要的】	解锁红球技能【掠雷冲】\n解锁道具【你想要的】	Assets/Product/Texture/Image/UiPBR/R5Luxiyahong1Up.png				[21, 22, 23, 24, 185]
22	15	黄油小狗的眷顾	2	6	100	865010	解锁道具【实体幸运】	解锁道具【实体幸运】	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png				[184]
