StatsId	StatsName	StatsDesc	ValueBase	ShowPriority	IsHide	MaxValue	FightValueSrc	Icon
11	普攻伤害加成	Placeholder_角色初始普攻伤害百分比	1	24		99999900		Assets/Product/Texture/Atlas/UiPBR/IconBasicAttackDmg.png
12	信号球伤害加成	Placeholder_角色初始信号球伤害百分比	1	23		99999900		Assets/Product/Texture/Atlas/UiPBR/IconSignalOrbsDmg.png
45	暴击	Placeholder_角色初始暴击几率百分比	1	22		10000		Assets/Product/Texture/Atlas/UiPBR/IconCritRate.png
46	暴击伤害	Placeholder_角色初始暴击伤害百分比	1	21		99999900		Assets/Product/Texture/Atlas/UiPBR/IconCritDmg.png
75	射程	Placeholder_角色普攻射程单位距离		10		99999		Assets/Product/Texture/Atlas/UiPBR/IconBasicAttackRange.png
21	普攻索敌范围	Placeholder_角色普攻射程基础值		1	True	99999		
154	红球掉落概率	Placeholder_角色普攻命中时红球掉率百分比	1	18		99999900		Assets/Product/Texture/Atlas/UiPBR/IconRedOrbsAttackDropRate.png
155	蓝球掉落概率	Placeholder_角色普攻命中时黄球掉率百分比	1	16		99999900		Assets/Product/Texture/Atlas/UiPBR/IconBlueOrbsAttackDropRate.png
156	黄球掉落概率	Placeholder_角色普攻命中时蓝球掉率百分比	1	17		99999900		Assets/Product/Texture/Atlas/UiPBR/IconYellowOrbsAttackDropRate.png
77	连锁持续时间	Placeholder_角色连锁增幅效果持续窗口时长		2		99999		Assets/Product/Texture/Atlas/UiPBR/IconComboBoostWindow.png
78	击退	Placeholder_角色普攻击退距离		3		99999		Assets/Product/Texture/Atlas/UiPBR/IconBasicAttackKnockback.png
49	生命偷取效率	Placeholder_角色吸血概率百分比	1	15		2000		Assets/Product/Texture/Atlas/UiPBR/IconLifestealRate.png
19	生命偷取效率上限	Placeholder_角色吸血概率百分比上限	1	14		2000		Assets/Product/Texture/Atlas/UiPBR/IconLifestealRateLimit.png
144	闪避	Placeholder_角色闪避概率百分比	1	13		6000		Assets/Product/Texture/Atlas/UiPBR/IconDodgeRate.png
20	闪避上限	Placeholder_角色闪避概率百分比上限	1	12		6000		Assets/Product/Texture/Atlas/UiPBR/IconDodgeRateLimit.png
3	速度	Placeholder_角色移动速度		11		999999		Assets/Product/Texture/Atlas/UiPBR/IconMoveSpeed.png
1	最大生命值	Placeholder_角色最大生命值		20		999999	1	Assets/Product/Texture/Atlas/UiPBR/IconMaxHP.png
17	生命成长	Placeholder_角色每级固定增加的生命值		19		999999		Assets/Product/Texture/Atlas/UiPBR/IconHpPerLevel.png
33	护甲	Placeholder_角色护甲值		9		999999		Assets/Product/Texture/Atlas/UiPBR/IconArmor.png
145	幸运	Placeholder_角色幸运值		8		999999		Assets/Product/Texture/Atlas/UiPBR/IconLuck.png
147	攻速加成	Placeholder_角色普攻攻速加成百分比	1	7		40000		Assets/Product/Texture/Atlas/UiPBR/IconBasicAttackSpeedRate.png
146	贯穿	Placeholder_角色贯穿		6		999		Assets/Product/Texture/Atlas/UiPBR/IconPierceNum.png
56	冲刺充能	Placeholder_角色冲刺充能次数上限	1	5		9999999		Assets/Product/Texture/Atlas/UiPBR/IconDashLimitNum.png
55	冲刺充能次数上限（200000/次）	Placeholder_角色初始冲刺充能次数		4	True	800000		Assets/Product/Texture/Atlas/UiPBR/IconDashInitialNum.png
50	速度	Placeholder_怪物图鉴用碰撞伤害显示		50	True	99999900		Assets/Product/Texture/Atlas/UiPBR/IconMoveSpeed.png
51	生命	Placeholder_怪物图鉴用血量显示		51	True	99999900		
52	碰撞伤害	Placeholder_怪物图鉴用移动速度显示		52	True	99999900		
