ItemId	ItemType	OrbColor	OrbGroup	ItemTier	ItemName	ItemDesc	UnlockProgressionNodeId	Icon	SkillId	SaveSkillNote	ItemMagic	Tags
1	1	1	1	1	云闪Ⅰ	以角色为圆心对周围敌人进行三次横扫近战攻击。伤害<color=#3ACC3B>=10/</color><color=#3ACC3B>10/</color><color=#3ACC3B>10。</color>		Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505811	['信号球', '近距离', '冲刺能力']
2	1	1	1	2	云闪Ⅱ	以角色为圆心对周围敌人进行三次横扫近战攻击。伤害<color=#3ACC3B>=10/</color><color=#3ACC3B>10/</color><color=#3ACC3B>10。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505812	['信号球', '近距离', '冲刺能力']
3	1	1	1	3	云闪Ⅲ	以角色为圆心对周围敌人进行三次横扫近战攻击。伤害<color=#3ACC3B>=15/</color><color=#3ACC3B>15/</color><color=#3ACC3B>15。</color>最后一段命中时，获得<color=#3ACC3B>1</color>次冲刺充能。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505813	['信号球', '近距离', '冲刺能力']
4	1	1	1	4	云闪Ⅳ	以角色为圆心对周围敌人进行三次横扫近战攻击。伤害<color=#3ACC3B>=15/</color><color=#3ACC3B>15/</color><color=#3ACC3B>15。</color>最后一段命中时，获得<color=#3ACC3B>1</color>次冲刺充能。释放后，召唤分身，在原地额外释放一次。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505814	['信号球', '近距离', '冲刺能力']
5	1	1	2	1	迅刺Ⅰ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=35。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505811	['信号球', '近距离', '额外经验']
6	1	1	2	2	迅刺Ⅱ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=35。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505812	['信号球', '近距离', '额外经验']
7	1	1	2	3	迅刺Ⅲ	朝最近的敌人进行长距离直刺近战攻击。伤害<color=#3ACC3B>=50。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505813	['信号球', '近距离', '额外经验']
8	1	1	2	4	迅刺Ⅳ	朝最近的敌人进行长距离直刺近战攻击。伤害<color=#3ACC3B>=50。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>拾取信号球时，获得额外<color=#3ACC3B>1</color>经验值。		Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505814	['信号球', '近距离', '额外经验']
9	1	1	3	1	横扫Ⅰ	以角色为圆心，朝最近的敌人进行扇形挥砍近战攻击，伤害<color=#3ACC3B>=25+</color>最大生命值<color=#3ACC3B>*10%。</color>	6	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505811	['信号球', '近距离', '属性成长']
10	1	1	3	2	横扫Ⅱ	以角色为圆心，朝最近的敌人进行扇形挥砍近战攻击，伤害<color=#3ACC3B>=25+</color>最大生命值<color=#3ACC3B>*10%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	6	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505812	['信号球', '近距离', '属性成长']
