Key	Comment	Values
CalendarHelpKey	帮助	['NewActivityCalendar']
CalendarOpenTime	开启提示	['{0}开启']
CalendarRewardCountDesc	奖励数量	['<color=#0f70bc>{0}</color>/{1}']
CalendarBtnTips	入口按钮文本提示	['新活动开启了', '还有丰厚奖励活动', '还有宿舍委托未处理', '日程列表已清空']
CalendarDormQuestDesc	宿舍委托提示	['可接取委托数量:{0}个', '回归队伍数量:{0}', '正在进行的委托:{0}个', '请前往宿舍查看委托系统']
CalendarEditCloseTitle	关闭弹框标题	['退出编辑']
CalendarEditCloseContent	关闭弹框文本	['是否要保存常驻活动列表修改？']
CalendarEditSaveTipContent	编辑界面保存弹框	['常驻活动列表保存成功']
CalendarEditResetTitle	重置弹框标题	['重置']
CalendarEditResetContent	重置弹框文本	['是否要重置常驻活动显示顺序？']
CalendarNotRewardTips	无奖励时的提示信息	['选择难度分区：常规作战/拓荒作战', '选择难度分区：高级区/终极区']
CalendarWeekShowTime	周常活动显示时间	['2023/8/31 11:00']
