Id	Name	BgColor
1	试玩	0f70bc
2	战斗	ff8d1e
3	小露最爱	72b772
4	常驻	cc68c1
5	大型	fa5826
6	挑战	ff8d1e
7	艺协力荐	fa5826
8	休闲	72b772
9	再下一层	fa5826
10	九龙热门	fa5826
11	剧情	ff8d1e
12	蒲牢力作	fa5826
13	空花热点	72b772
14	露娜强推	fa5826
15	九龙快闪	72b772
16	多人联机	fa5826
17	效应战斗	ff8d1e
18	休息时间	72b772
19	学院考核	fa5826
20	海滨游戏	72b772
21	七夕	fa5826
22	涂装试玩	0f70bc
23	背包整理	72b772
24	迎难而上	ff8d1e
25	世界推演	ff8d1e
26	方块合成	72b772
27	喵星制霸	72b772
28	海沙奇旅	fa5826
29	空花召唤	ff8d1e
30	巴别塔	ff8d1e
31	首席回忆	72b772
32	限时	ff8d1e
33	异构阵线	72b772
34	策略博弈	fa5826
35	卧猫藏鼠	fa5826
36	时宇漫纪	fa5826
