Id	SignType	Pos	SignContent
1	1	1	幻痛囚笼
2	1	1	纷争战区
3	2	2	上班
4	2	2	生气
5	3	1	诸事皆宜
6	4	2	百无禁忌
7	1	1	高卧加餐
8	2	2	我全都要
9	2	2	今天摸了
10	1	1	饮杯茶先
11	2	2	下一回合
12	1	1	吃大餐啦
13	1	1	信标校正
14	1	1	作战会议
15	1	1	意识链接
16	1	1	后勤补给
17	1	1	凹分
18	2	2	出刀
19	1	1	挖矿
20	1	1	竞速
21	2	2	加班
22	2	2	赶稿
23	2	2	迟疑不决
24	2	2	拖延
25	2	2	自怨自艾
26	2	2	空谈
27	2	2	争吵
28	2	2	熬夜修仙
29	1	1	派对
30	1	1	赖床
31	2	2	吃瓜
32	1	1	大扫除
33	1	1	吸猫
34	1	1	认真学习
35	1	1	暗中观察
36	1	1	沉思
37	1	1	边界公约
38	1	1	序列公约
39	1	1	多维演绎
40	1	1	每日一抽
41	1	1	意识营救
42	1	1	占领据点
43	1	1	遛狗
44	1	1	组队开黑
45	1	1	宿舍委托
46	1	1	并肩作战
47	1	1	烤串大会
48	1	1	锻炼身体
49	2	2	心急焦躁
50	1	1	骑车兜风
51	1	1	看电影
52	2	2	重拳出击
53	1	1	止步不前
54	5	1	吃蛋糕
55	6	2	玉玉
56	7	1	吃月饼
57	99	2	虚度光阴
58	9	1	圣诞聚餐
59	10	1	吃喝玩乐
60	5	1	吃长寿面
61	5	1	生日聚会
62	5	1	拆礼物
63	7	1	品茗赏月
64	7	1	家庭聚餐
65	8	1	周年快乐
66	10	1	元旦快乐
67	11	1	贴春联
68	11	1	团圆饭
69	11	1	燃爆竹
70	11	1	包饺子
71	11	1	贴门神
72	12	1	拜年
73	12	1	压岁钱
74	12	1	放鞭炮
75	12	1	吃饺子
76	15	2	扫帚扫地
77	13	1	祭财神
78	13	1	家庭团聚
79	13	1	吃大餐
80	16	2	讨债借钱
81	14	1	早睡迟起
82	14	1	吃喝玩乐
83	17	2	熬夜
84	18	1	吃粽子
85	18	1	佩香囊
86	18	1	悬艾叶
87	18	1	赛龙舟
88	19	1	国庆快乐
89	19	1	吃喝玩乐
90	20	1	五周年快乐
91	21	1	劳动节快乐
92	21	1	早睡早起
93	22	1	六周年快乐
