SpawnGroupId	SpawnId
101001	[10100101, 10100102]
101002	[10100201, 10100202, 10100203]
101003	[10100301, 10100302]
101004	[10100401, 10100402, 10100403]
102001	[10200101, 10200102, 10200103, 10200104]
102002	[10200201, 10200202, 10200203, 10200204]
102003	[10200301, 10200302, 10200303, 10200304]
102004	[10200401, 10200402, 10200403, 10200404, 10200405]
102005	[10200501, 10200502, 10200503, 10200504, 10200505]
103001	[10300101, 10300102, 10300103, 10300104]
103002	[10300201, 10300202, 10300203, 10300204]
103003	[10300301, 10300302, 10300303, 10300304]
103004	[10300401, 10300402, 10300403, 10300404]
103005	[10300501, 10300502, 10300503, 10300504]
103006	[10300601, 10300602, 10300603, 10300604]
103007	[10300701, 10300702, 10300703, 10300704, 10300705]
103008	[10300801, 10300802, 10300803, 10300804, 10300805]
103009	[10300901, 10300902, 10300903, 10300904, 10300905]
201001	[20100101, 20100102]
201002	[20100201, 20100202]
201003	[20100301, 20100302]
201004	[20100401, 20100402]
201005	[20100501, 20100502]
201006	[20100601, 20100602]
202001	[20200101, 20200102]
202002	[20200201, 20200202, 20200203]
202003	[20200301, 20200302]
202004	[20200401, 20200402, 20200403]
202005	[20200501, 20200502]
202006	[20200601, 20200602, 20200603]
202007	[20200701, 20200702]
203001	[20300101, 20300102]
203002	[20300201, 20300202]
203003	[20300301, 20300302]
203004	[20300401]
203005	[20300501, 20300502]
203006	[20300601, 20300602]
203007	[20300701, 20300702]
203008	[20300801]
203009	[20300901, 20300902]
203010	[20301001, 20301002]
301001	[30100101, 30100102]
301002	[30100201, 30100202]
301003	[30100301, 30100302]
301004	[30100401, 30100402]
302001	[30200101, 30200102, 30200103]
302002	[30200201, 30200202, 30200203]
302003	[30200301, 30200302, 30200303]
302004	[30200401, 30200402, 30200403]
302005	[30200501, 30200502, 30200503]
303001	[30300101, 30300102, 30300103, 30300104]
303002	[30300201, 30300202, 30300203, 30300204, 30300205]
303003	[30300301, 30300302, 30300303, 30300304]
303004	[30300401, 30300402, 30300403, 30300404]
303005	[30300501, 30300502, 30300503, 30300504, 30300505]
303006	[30300601, 30300602, 30300603, 30300604, 30300605]
303007	[30300701, 30300702, 30300703, 30300704, 30300705]
304001	[30400101, 30400102, 30400103, 30400104]
304002	[30400201, 30400202, 30400203, 30400204]
304003	[30400301, 30400302, 30400303, 30400304]
304004	[30400401, 30400402, 30400403, 30400404, 30400405]
304005	[30400501, 30400502, 30400503, 30400504, 30400505]
304006	[30400601, 30400602, 30400603, 30400604, 30400605]
304007	[30400701, 30400702, 30400703, 30400704]
304008	[30400801, 30400802, 30400803, 30400804]
305001	[30500101, 30500102, 30500103, 30500104]
305002	[30500201, 30500202, 30500203, 30500204]
305003	[30500301, 30500302, 30500303, 30500304, 30500305]
305004	[30500401, 30500402, 30500403, 30500404, 30500405]
305005	[30500501, 30500502, 30500503, 30500504, 30500505]
305006	[30500601, 30500602, 30500603, 30500604, 30500605]
305007	[30500701, 30500702, 30500703, 30500704, 30500705]
305008	[30500801, 30500802, 30500803, 30500804]
305009	[30500901, 30500902, 30500903, 30500904]
306001	[30600101, 30600102, 30600103, 30600104]
306002	[30600201, 30600202, 30600203]
306003	[30600301, 30600302, 30600303]
306004	[30600401, 30600402, 30600403]
306005	[30600501, 30600502, 30600503]
306006	[30600601, 30600602, 30600603, 30600604]
306007	[30600701, 30600702, 30600703]
306008	[30600801, 30600802, 30600803]
306009	[30600901, 30600902, 30600903, 30600904]
306010	[30601001, 30601002, 30601003, 30601004]
307001	[30700101, 30700102, 30700103]
307002	[30700201, 30700202, 30700203, 30700204]
307003	[30700301, 30700302, 30700303]
307004	[30700401, 30700402, 30700403, 30700404]
307005	[30700501, 30700502, 30700503, 30700504]
307006	[30700601, 30700602, 30700603, 30700604, 30700605]
307007	[30700701, 30700702, 30700703, 30700704, 30700705, 30700706]
307008	[30700801, 30700802, 30700803, 30700804, 30700805]
307009	[30700901, 30700902, 30700903, 30700904, 30700905]
307010	[30701001, 30701002, 30701003]
