SpawnId	SpawnProbability	IsCheckLuck	IsCheckWave	SpawnMaxInterval	SpawnDistance	SpawnRange	SpawnMonsterId	SpawnMonsterNum
10100101	10000			15	1	6	3	10001
3	10100102	10000			2		6	3
10001	2	10100201	10000			15	1	6
3	10001	3	10100202	10000			2	
6	3	10001	2	10100203	10000			15
1	6	3	10001	3	10100301	10000		
15	1	6	3	10001	3	10100302	10000	
	2		6	3	10001	2	10100401	10000
		15	1	6	3	10001	3	10100402
10000			2		6	3	10001	2
10100403	10000			2		6	3	10001
2	10200101	10000			15	1	6	3
10001	3	10200102	10000			2		6
3	10001	2	10200103	10000			2	
6	3	10002	2	10200104	6000		1	2
	6	3	10002	2	10200201	10000		
15	1	6	3	10001	3	10200202	10000	
	2		6	3	10001	2	10200203	10000
		2		6	3	10002	2	10200204
6000		1	2		6	3	10002	2
10200301	10000			15	1	6	3	10001
3	10200302	10000			2		6	3
10001	2	10200303	10000			2		6
3	10002	2	10200304	6000		1	2	
6	3	10002	2	10200401	10000			15
1	6	3	10001	3	10200402	10000		
2		6	3	10001	2	10200403	10000	
	2		6	3	10002	2	10200404	6000
	1	2		6	3	10002	2	10200405
10000			2		6	3	10002	2
10200501	10000			15	1	6	3	10001
3	10200502	10000			2		6	3
10001	2	10200503	10000			2		6
3	10002	2	10200504	6000		1	2	
6	3	10002	2	10200505	10000			2
	6	3	10002	2	10300101	10000		
15	1	6	3	10001	3	10300102	10000	
	2		6	3	10003	2	10300103	10000
		2		6	3	10002	2	10300104
6000		1	2		6	3	10002	2
10300201	10000			15	1	6	3	10001
3	10300202	10000			2		6	3
10001	2	10300203	10000			2		6
3	10002	2	10300204	6000		1	2	
6	3	10002	2	10300301	10000			15
1	6	3	10003	3	10300302	10000		
2		6	3	10001	2	10300303	10000	
	2		6	3	10002	2	10300304	6000
	1	2		6	3	10002	2	10300401
10000			15	1	6	3	10001	3
10300402	10000			2		6	3	10001
2	10300403	10000			2		6	3
10002	2	10300404	6000		1	2		6
3	10002	2	10300501	10000			15	1
6	3	10001	3	10300502	10000			2
	6	3	10003	2	10300503	10000		
2		6	3	10002	2	10300504	6000	
1	2		6	3	10002	2	10300601	10000
		15	1	6	3	10001	3	10300602
10000			2		6	3	10001	2
10300603	10000			2		6	3	10002
2	10300604	6000		1	2		6	3
10002	2	10300701	10000			15	1	6
3	10001	3	10300702	10000			2	
6	3	10001	2	10300703	10000			2
	6	3	10002	2	10300704	6000		1
2		6	3	10002	2	10300705	6000	
1	2		6	3	10002	2	10300801	10000
		15	1	6	3	10003	3	10300802
10000			2		6	3	10001	2
10300803	10000			2		6	3	10002
2	10300804	6000		1	2		6	3
10002	2	10300805	10000			2		6
3	10001	2	10300901	10000			15	1
6	3	10001	3	10300902	10000			2
	6	3	10001	2	10300903	10000		
2		6	3	10002	2	10300904	6000	
1	2		6	3	10002	2	10300905	10000
		15	1	6	3	10001	3	20100101
10000			15	1	6	3	10001	3
20100102	10000			2		6	3	10001
2	20100201	10000			2		6	3
10001	2	20100301	10000			2		6
3	10005	2	20100401	10000			15	1
6	3	10001	4	20100402	10000			25
1	7	3	30004	1	20100501	10000		
2		6	3	10001	2	20200101	10000	
	15	1	6	3	10005	4	20200102	10000
		25	1	7	3	30004	1	20200201
10000			2		6	3	10001	3
20200202				25	1	7	3	30004
1	20200203	4000		1	3		7	3
30001	1	20200301	10000			15	1	6
3	10001	3	20200302			1	25	1
7	3	30004	1	20200401	10000			2
	6	3	10005	2	20200402	5000		
25	1	7	3	30001	1	20200403	10000	
1	3		7	3	20001	1	20200501	10000
		15	1	6	3	10001	3	20200502
		1	25	1	7	3	30001	1
20200601	10000			2		6	3	10005
3	20200602	5000			25	1	7	3
30001	1	20200603	4000		1	3		7
3	30001	1	20200701	10000			2	
6	3	10005	2	20200702				25
1	7	3	30001	1	20300101	10000		
15	1	6	3	10001	3	20300102		
1	3		7	3	30001	1	20300201	10000
		2		6	3	10005	3	20300202
10000			25	1	7	3	30001	2
20300301	10000			15	1	6	3	10001
3	20300302	10000		1	3		7	3
20001	1	20300401	10000			2		6
3	10001	2	20300501	10000			15	1
6	3	10001	3	20300502	10000		1	3
	7	3	20001	1	20300601	10000		
15	1	6	3	10005	4	20300602	10000	
1	3		7	3	20001	1	20300701	10000
		2		6	3	10001	2	20300702
10000		1	25	1	7	3	30001	1
20300801	10000			15	1	6	3	10005
3	20300901	10000			2		6	3
10001	2	20300902	10000			25	1	7
3	30004	1	20301001	10000			15	1
6	3	10001	3	20301002			1	25
1	7	3	30004	1	30100101	10000		
1		10	3	10001	3	30100102	10000	
	133	2	10	3	10001	2	30100201	10000
		1		10	3	10001	3	30100202
10000			133	2	10	3	10001	2
30100301	10000			1		10	3	10001
3	30100302	10000			133	2	10	3
10001	2	30100401	10000			1		10
3	10001	3	30100402	10000			133	2
10	3	10001	2	30200101	10000			1
	10	3	10001	3	30200102	10000		
133	2	10	3	10001	2	30200103	6000	
1	133	2	10	3	10002	2	30200201	10000
		1		10	3	10001	3	30200202
10000			133	2	10	3	10001	2
30200203	6000		1	133	2	10	3	10002
2	30200301	10000			1		10	3
10001	3	30200302	10000			133	2	10
3	10001	2	30200303	6000		1	133	2
10	3	10002	2	30200401	10000			1
	10	3	10001	3	30200402	10000		
133	2	10	3	10001	2	30200403	6000	
1	2		12	3	20001	1	30200501	10000
		1		10	3	10001	3	30200502
10000			133	2	10	3	10001	2
30200503	6000		1	2		12	3	20001
1	30300101	10000			1		10	3
10001	3	30300102	10000			133	2	10
3	10001	2	30300103	6000		1	133	2
10	3	10002	2	30300104	4000		1	2
	12	3	30001	1	30300201	10000		
1		10	3	10001	3	30300202	10000	
	133	2	10	3	10001	2	30300203	6000
	1	133	2	10	3	10002	2	30300204
4000		1	2		12	3	30001	1
30300205	6000		1	2		12	3	20001
1	30300301	10000			1		10	3
10001	3	30300302	10000			133	2	10
3	10001	2	30300303	6000		1	133	2
10	3	10002	2	30300304	4000		1	2
	12	3	30001	1	30300401	10000		
1		10	3	10001	3	30300402	10000	
	133	2	10	3	10001	2	30300403	6000
	1	133	2	10	3	10002	2	30300404
4000		1	2		12	3	30001	1
30300501	10000			1		10	3	10001
3	30300502	10000			133	2	10	3
10001	2	30300503	6000		1	133	2	10
3	10002	2	30300504	4000		1	2	
12	3	30001	1	30300505	8000		1	167
2	12	3	20001	1	30300601	10000		
1		10	3	10001	3	30300602	10000	
	133	2	10	3	10001	2	30300603	6000
	1	133	2	10	3	10002	2	30300604
4000		1	2		12	3	30001	1
30300605	8000		1	167	2	12	3	20001
1	30300701	10000			1		10	3
10001	3	30300702	10000			133	2	10
3	10001	2	30300703	6000		1	133	2
10	3	10002	2	30300704	4000		1	2
	12	3	30001	1	30300705	6000		1
