Id	GroupId	OptionDesc	OptionDownDesc	OptionIcon	OptionType	OptionItemType	OptionItemId	OptionItemCount	OptionNextStepGroupId	OptionCondition	OptionShowCondition	QuantumEffectShowType
1	101	取走沉甸甸的大包裹			3				10101			
2	101	取走精致的小包裹			3				10102			
3	101	强者并不需要施舍			3				10103			
4	201	打开箱子			3				20101			
5	201	让她物归原主			3				20102			
6	302	休整状态（装备位置调整）			3				30201			
7	302	直接出发			3				30202			
8	402	休整状态（装备位置调整）			3				40201			
9	402	直接出发			3				40202			
10	502	进入工坊（装备定向重铸）			3				50201			
11	502	原地休整（装备位置调整）			3				50202			
12	601	投入算力单元			1	1	{1: 96189}	{1: 50}	60101			
13	601	还是算了			3				60102			
14	601	作弊			2	2	{1: 9029}	{1: 1}	60103		1020285	
15	609	继续运行			1	1	{1: 96189}	{1: 50}	60901			
16	609	还是算了			3				60902			
17	609	继续作弊			2	2	{1: 9029}	{1: 1}	60903		1020285	
18	617	继续运行			1	1	{1: 96189}	{1: 50}	61701			
19	617	还是算了			3				61702			
20	617	继续作弊			2	2	{1: 9029}	{1: 1}	61703		1020285	
21	625	继续运行			1	1	{1: 96189}	{1: 50}	62501			
22	625	还是算了			3				62502			
23	625	继续作弊			2	2	{1: 9029}	{1: 1}	62503		1020285	
24	701	同意			3				70101			
25	701	离开			3				70102			
26	703	<color=#EA4323>「皇后」</color>			3				70301			
27	703	<color=#FBBC05>「女仆」</color>			3				70302			
28	703	<color=#34A853>「猫娘」</color>			3				70303			
29	713	继续			1	1	{1: 96189}	{1: 50}	71301			
30	713	离桌			3				71302			
31	714	<color=#EA4323>「皇后」</color>			3				71401			
32	714	<color=#FBBC05>「女仆」</color>			3				71402			
33	714	<color=#34A853>「猫娘」</color>			3				71403			
34	724	继续			1	1	{1: 96189}	{1: 100}	72401			
35	724	离桌			3				72402			
36	725	<color=#EA4323>「皇后」</color>			3				72501			
37	725	<color=#FBBC05>「女仆」</color>			3				72502			
38	725	<color=#34A853>「猫娘」</color>			3				72503			
39	735	梭哈			1	1	{1: 96189}	{1: 150}	73501			
40	735	离桌			3				73502			
41	736	<color=#EA4323>「皇后」</color>			3				73601			
42	736	<color=#FBBC05>「女仆」</color>			3				73602			
43	736	<color=#34A853>「猫娘」</color>			3				73603			
44	30102	呼喊洁塔薇躲开			3				3010201			
45	30202	检查洁塔薇的身体			3				3020201			
46	30202	询问洁塔薇怎么样			3				3020202			
47	30203	询问那个烙印			3				3020301			
48	30203	询问她疼不疼			3				3020302			
49	30208	休整状态（装备位置调整）			3				3020801			
50	30208	直接出发			3				3020802			
51	30302	推开洁塔薇			3				3030201			
52	30403	问她为什么揍你			3				3040301			
53	30403	问她为什么抱你			3				3040302			
54	30409	休整状态（装备位置调整）			3				3040901			
55	30409	直接出发			3				3040902			
56	50102	握紧洁塔薇的手			3				5010201			
57	50201	拿出<color=#b73a3a>「权限秘钥」</color>			2	2	{1: 2005}	{1: 1}	5020101			
58	60102	并肩前行			3				6010201			
59	100101	朝声音源头探索			3				10010101			
