Id	TemplateId	Difficulty	IsBoss	EquipBoxIds	GoldIds	ItemBoxIds	NodeName	NodeIcon	NodeBg	NodeDesc	NodeEffectUrl
10011	1111	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10012	1112	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10021	1111	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10022	1112	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10023	1311	1			[11]		随心所欲	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story103.png	<size=20><color=#808080><i>/*扇区清理协议*/</i></color></size>\n想到什么来什么，好点子多多益善。	
10031	1121	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10032	1122	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story102.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10033	1311	1			[11]		随心所欲	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story103.png	<size=20><color=#808080><i>/*扇区清理协议*/</i></color></size>\n想到什么来什么，好点子多多益善。	
10131	1621	2			[12]		雕塑展览	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent02.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n将你做成展品也不错！\n\n<color=#f05642>本次战斗将更加困难，但奖励也更加丰厚</color>	
10041	1121	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10042	1122	1			[11]		艺术创新	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story102.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n足够怪异才能抽象。	
10043	1311	1			[11]		随心所欲	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story103.png	<size=20><color=#808080><i>/*扇区清理协议*/</i></color></size>\n想到什么来什么，好点子多多益善。	
10141	1621	2			[12]		雕塑展览	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent02.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story101.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n将你做成展品也不错！\n\n<color=#f05642>本次战斗将更加困难，但奖励也更加丰厚</color>	
20011	2121	1			[11]		竭诚欢迎	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story106.png	<size=20><color=#808080><i>/*攻性防御协议*/</i></color></size>\n既然是贵宾就得好好地招待。	
20012	2311	1			[11]		排山倒海	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story106.png	<size=20><color=#808080><i>/*扇区清理协议*/</i></color></size>\n来得越多就越强吗？	
