Id	QubitA	QubitB	EffectGroupId	CoverId	Desc	IsShake	ShowType
1	10				<size=26><color=#0fffe7># α</color></size>环境下<color=#ffec4b>熵增</color>相关事件<color=#ffec4b>解析率提高</color>		1
2	10		40001		<size=26><color=#0fffe7># α</color></size><color=#ff6767>敌人武装</color>等级<color=#ff6767> >>Qub.#1</color>		1
3	20				<size=26><color=#0fffe7># α</color></size>运行库发现<color=#ff6767>异常数据</color>泄漏		1
4		20			<size=26><color=#0fffe7># α</color></size>运行库检测到<color=#ff6767>异常数据入侵</color>	1	1
5		20			<size=26><color=#0fffe7># α</color></size>清除<color=#ff6767>异常数据</color>可回收<color=#ffec4b>常规资源</color>		1
6	20		40001	2	<size=26><color=#0fffe7># α</color></size><color=#ff6767>敌人武装</color>等级<color=#ff6767> >>Qub.#2</color>		1
7	25		40002		<size=26><color=#0fffe7># α</color></size>敌人<color=#ff6767>正量化</color>权限启用	1	1
8	30		40001	6	<size=26><color=#0fffe7># α</color></size><color=#ff6767>敌人武装</color>等级<color=#ff6767> >>Qub.#3</color>	1	1
9	30				<color=#ff6767># β</color>敌人逆量化时间<color=#ffec4b>延长</color>	1	1
10	50		40001	8	<size=26><color=#0fffe7># α</color></size><color=#ff6767>敌人武装</color>等级<color=#ff6767> >>Qub.#4</color>	1	1
11	60		99995	3	<size=26><color=#0fffe7># α</color></size>运行库发现<color=#ff6767>高危数据</color>泄漏	1	1
12		60		4	<size=26><color=#0fffe7># α</color></size>运行库检测到<color=#ff6767>高危数据入侵</color>	1	1
13		60		5	<size=26><color=#0fffe7># α</color></size>清除<color=#ff6767>高危数据</color>可回收<color=#ffec4b>稀缺资源</color>	1	1
14		10			<size=26><color=#ff6767># β</color></size>环境下<color=#ffec4b>熵增</color>相关事件<color=#ffec4b>解析率提高</color>		2
15		10	40003		<size=26><color=#ff6767># β</color></size><color=#ff6767>敌人防护</color>等级<color=#ff6767> >>Qub.#1</color>		2
16		20			<size=26><color=#ff6767># β</color></size>运行库发现<color=#ff6767>异常数据</color>泄漏		2
17	20				<size=26><color=#ff6767># β</color></size>运行库检测到<color=#ff6767>异常数据入侵</color>	1	2
18	20				<size=26><color=#ff6767># β</color></size>清除<color=#ff6767>异常数据</color>可回收<color=#ffec4b>常规资源</color>		2
19		20	40003	15	<size=26><color=#ff6767># β</color></size><color=#ff6767>敌人防护</color>等级<color=#ff6767> >>Qub.#2</color>		2
20		25	40004		<size=26><color=#ff6767># β</color></size><color=#ffec4b>逆量化</color>敌人权限启用	1	2
21		30	40003	19	<size=26><color=#ff6767># β</color></size><color=#ff6767>敌人防护</color>等级<color=#ff6767> >>Qub.#3</color>	1	2
22		30			<color=#0fffe7># α</color>敌人正量化时间<color=#ffec4b>缩短</color>	1	2
23		40			<size=26><color=#ff6767># β</color></size><color=#ffec4b>逆量化</color>效果增强	1	2
24		50	40003	21	<size=26><color=#ff6767># β</color></size><color=#ff6767>敌人防护</color>等级<color=#ff6767> >>Qub.#4</color>	1	2
25		60	99995	16	<size=26><color=#ff6767># β</color></size>运行库发现<color=#ff6767>高危数据</color>泄漏	1	2
26	60			17	<size=26><color=#ff6767># β</color></size>运行库检测到<color=#ff6767>高危数据入侵</color>	1	2
27	60			18	<size=26><color=#ff6767># β</color></size>清除<color=#ff6767>高危数据</color>可回收<color=#ffec4b>稀缺资源</color>	1	2
