Id	Note	TemplateId	StageId	Weight	Mode	ModeParams	TimeLimit	MonsterGroupId	GroupOrder	IsQubitStage	QubitMonsterGroup	QubitValue	QubitEquipBoxGroup	QubitItemBoxGroup	QubitGoldGroup	FightEventIds	SuggestAbility	ExtraWaveGroupId	ExtraWaveRate	ExtraWaveTime	BaseHp
11111	第一章-首节点特制	1111	30062806	100	1	[0]		[111111]										111	100	30	130270
11112	第一章-首节点特制	1111	30062806	100	1	[0]		[111121]										112	100	30	130270
11113	第一章-首节点特制	1111	30062806	100	1	[0]		[111131]										111	100	30	130270
11121	第一章-首节点特制	1112	30062806	100	1	[0]		[111211]										112	100	30	130270
11122	第一章-首节点特制	1112	30062806	100	1	[0]		[111221]										111	100	30	130270
11123	第一章-首节点特制	1112	30062806	100	1	[0]		[111231]										112	100	30	130270
11211	第一章-普通刷怪	1121	30062806	100	1	[0, 30]		[112111, 112112]										111	100	30	65135
11212	第一章-普通刷怪	1121	30062806	100	1	[0, 30]		[112121, 112122]										112	100	30	65135
11213	第一章-普通刷怪	1121	30062806	100	1	[0, 30]		[112131, 112132]										111	100	30	65135
11221	第一章-普通刷怪	1122	30062820	100	1	[0, 30]		[112211, 112212]										112	100	30	65135
11222	第一章-普通刷怪	1122	30062820	100	1	[0, 30]		[112221, 112222]										111	100	30	65135
11223	第一章-普通刷怪	1122	30062820	100	1	[0, 30]		[112231, 112232]										112	100	30	65135
13111	第一章-普通割草	1311	30062807	100	3	[20]		[131111]										111	100	30	21712
13112	第一章-普通割草	1311	30062807	100	3	[20]		[131121]										112	100	30	21712
13113	第一章-普通割草	1311	30062807	100	3	[20]		[131131]										111	100	30	21712
16211	第一章-困难刷怪	1621	30062806	100	1	[0, 30]		[162111, 162112]										112	200	30	97702
16212	第一章-困难刷怪	1621	30062820	100	1	[0, 30]		[162121, 162122]										111	200	30	97702
16213	第一章-困难刷怪	1621	30062807	100	1	[0, 30]		[162131, 162132]										112	200	30	97702
21211	第二章-普通刷怪-前段	2121	30062821	100	1	[0, 30]		[212111, 212112]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		121	200	30	399122
21212	第二章-普通刷怪-前段	2121	30062821	100	1	[0, 30]		[212121, 212122]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	399122
21213	第二章-普通刷怪-前段	2121	30062821	100	1	[0, 30]		[212131, 212132]	2		[1231231, 1231231]	['2|30', '2|60']		[1002]	[103]	[2251401]		121	200	30	399122
21214	第二章-普通刷怪-前段	2121	30062814	100	1	[0, 30]		[212141, 212142]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	399122
21215	第二章-普通刷怪-前段	2121	30062814	100	1	[0, 30]		[212151, 212152]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		121	200	30	399122
21221	第二章-普通刷怪-后段	2122	30062814	100	1	[0, 30]		[212211, 212212]	2		[1231231, 1231231]	['2|30', '2|60']		[1002]	[103]	[2251401]		122	200	30	399122
21222	第二章-普通刷怪-后段	2122	30062814	100	1	[0, 30]		[212221, 212222]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		121	200	30	399122
21223	第二章-普通刷怪-后段	2122	30062812	100	1	[0, 30]		[212231, 212232]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	399122
21224	第二章-普通刷怪-后段	2122	30062812	100	1	[0, 30]		[212241, 212242]	2		[1231231, 1231231]	['2|30', '2|60']		[1002]	[103]	[2251401]		121	200	30	399122
21225	第二章-普通刷怪-后段	2122	30062812	100	1	[0, 30]		[212251, 212252]	2		[1231231, 1231231]	['2|30', '2|60']		[1001, 1002]		[2251401]		121	200	30	399122
23111	第二章-普通割草-前段	2311	30062821	100	3	[20]		[231111]	1		[1231121, 1231121]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	133041
23112	第二章-普通割草-前段	2311	30062821	100	3	[20]		[231121]	1		[1231121, 1231121]	['2|30', '2|60']		[1002]	[103]	[2251401]		121	200	30	133041
23113	第二章-普通割草-前段	2311	30062814	100	3	[20]		[231131]	1		[1231121, 1231121]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	133041
23211	第二章-普通割草-后段	2312	30062814	100	3	[20]		[231211]	1		[1231121, 1231121]	['2|30', '2|60']		[1001, 1002]		[2251401]		121	200	30	133041
23212	第二章-普通割草-后段	2312	30062812	100	3	[20]		[231221]	1		[1231121, 1231121]	['2|30', '2|60']		[1002]	[103]	[2251401]		122	200	30	133041
23213	第二章-普通割草-后段	2312	30062812	100	3	[20]		[231231]	1		[1231121, 1231121]	['2|30', '2|60']		[1001, 1002]		[2251401]		122	200	30	133041
24111	第二章-普通伤害-前段	2411	30062821	100	4	[798245]		[241111]	1		[1241111, 1241111]	['2|30', '2|60']		[1001, 1002]		[2251401]					1596490
24112	第二章-普通伤害-前段	2411	30062821	100	4	[798245]		[241121]	1		[1241111, 1241111]	['2|30', '2|60']		[1002]	[103]	[2251401]					1596490
24121	第二章-普通伤害-后段	2412	30062814	100	4	[798245]		[241211]	1		[1241111, 1241111]	['2|30', '2|60']		[1001, 1002]		[2251401]					1596490
24122	第二章-普通伤害-后段	2412	30062812	100	4	[798245]		[241221]	1		[1241111, 1241111]	['2|30', '2|60']		[1001, 1002]		[2251401]					1596490
25221	第二章-竞速奖励-后段	2522	30062821	100	6	[60, 2, 5]		[212211]	1		[1212151, 1212151]	['2|30', '2|60']		[1002]	[103]	[2251401]					399122
25222	第二章-竞速奖励-后段	2522	30062814	100	6	[60, 2, 5]		[212221]	1		[1212151, 1212151]	['2|30', '2|60']		[1001, 1002]		[2251401]					399122
25223	第二章-竞速奖励-后段	2522	30062812	100	6	[60, 2, 5]		[212231]	1		[1212151, 1212151]	['2|30', '2|60']		[1001, 1002]		[2251401]					399122
25224	第二章-竞速奖励-后段	2522	30062814	100	6	[60, 2, 5]		[212241]	1		[1212151, 1212151]	['2|30', '2|60']		[1002]	[103]	[2251401]					399122
25225	第二章-竞速奖励-后段	2522	30062812	100	6	[60, 2, 5]		[212251]	1		[1212151, 1212151]	['2|30', '2|60']		[1001, 1002]		[2251401]					399122
26211	第二章-困难刷怪-前段	2621	30062821	100	1	[0, 30]		[262111, 262112]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	598683
26212	第二章-困难刷怪-前段	2621	30062821	100	1	[0, 30]		[262121, 262122]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	598683
26221	第二章-困难刷怪-后段	2622	30062814	100	1	[0, 30]		[262211, 262212]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	598683
26222	第二章-困难刷怪-后段	2622	30062812	100	1	[0, 30]		[262221, 262222]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	598683
27111	第二章-困难生存-前段	2711	30062821	100	2	[60]		[271111]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27112	第二章-困难生存-前段	2711	30062821	100	2	[60]		[271121]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27121	第二章-困难生存-后段	2712	30062814	100	2	[60]		[271211]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27122	第二章-困难生存-后段	2712	30062812	100	2	[60]		[271221]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
28111	第二章-保卫萝卜-前段	2811	30062821	100	5	[200, 30, 500]		[281111]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	199561
28112	第二章-保卫萝卜-前段	2811	30062821	100	5	[200, 30, 500]		[281121]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	199561
28121	第二章-保卫萝卜-后段	2812	30062814	100	5	[200, 30, 500]		[281211]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	199561
28122	第二章-保卫萝卜-后段	2812	30062812	100	5	[200, 30, 500]		[281221]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	199561
29111	第二章-困难伤害-前段	2911	30062821	100	4	[1197368]		[291111]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
