Id	Name	ObtainMaxCount	Type	Quality	UnlockConditionId	EffectGroupId	Description	WorldDesc	Icon	ExpireTime	BgType	IsFireItem	FireNum	DiffcultId
1	<color=#FC8B1E>高效重组</color>	1	5	5		10001	复活的算力单元消耗降低至<color=#4a70b9>5</color>算力单元	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem001.png		1			
2	<color=#FC8B1E>爆裂扳手</color>	1	1	5		10002	每<color=#4a70b9>5%</color>暴击伤害加成提升<color=#4a70b9>5%</color>全元素伤害	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem002.png		1			
3	<color=#FC8B1E>铂金通行证</color>	1	1	5		10003	每通过一个任意节点，获得<color=#4a70b9>50</color>算力单元	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem003.png		1			
4	<color=#FC8B1E>矩阵雨</color>	1	1	5		10007	每<color=#4a70b9>10</color>秒，降下矩阵雨；砸中敌方时，使其伤害减免<color=#4a70b9>-40%</color>、速度<color=#4a70b9>-10%</color>，最多叠加<color=#4a70b9>4</color>层，持续<color=#4a70b9>15</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem006.png		1			
5	<color=#FC8B1E>协助指令</color>	1	5	5		10009	招募能量<color=#4a70b9>+3</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem008.png		1			
6	<color=#FC8B1E>负载扩容</color>	1	1	5		10010	套装容量<color=#4a70b9>+3</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem009.png		1			
7	<color=#FC8B1E>碧碧之友</color>	1	1	5	1020201	10004	在商店每购买<color=#4a70b9>1</color>件商品，额外伤害加成  <color=#4a70b9>+10%</color>{0}	遗落于世界各处的神秘代码残片，能带来特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem004.png		1			
8	<color=#FC8B1E>疯狂鲨期四</color>	1	1	5	1020202	10008	商店商品售价<color=#4a70b9>-50%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem007.png		1			
9	<color=#FC8B1E>插件收藏家</color>	1	1	5	1020203	10005	全队每集齐<color=#4a70b9>1</color>个套装，攻击力<color=#4a70b9>+20%</color>{0}	遗落于世界各处的神秘代码残片，能带来特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem005.png		1			
10	<color=#FC8B1E>独行侠</color>	1	1	5	1020204	10006	每存在<color=#4a70b9>1</color>点未被使用的招募能量，额外伤害加成 <color=#4a70b9>+70%</color>	遗落于世界各处的神秘代码残片，能带来特殊的伤害加成。	Assets/Product/Texture/Image/IconTools/IconTheatre09.png		1			
11	<color=#FC8B1E>性能组件-蓄能</color>	1	1	5		10012	必杀能量获取效率<color=#4a70b9>+50%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item002.png		1			
