Id	EquipName	Level	AttType	SuitId	BaseAttFightEventIds	BaseAttDesc	EffectDesc	EffectGroupId	Icon	TraitName	TraitDesc	StoryDesc	UseType	PosType	GlobalFightEventIds	SimpleEffectDesc	RecordDamage	QubitEffectGroupId	QubitEffectDesc	QubitSampleEffectDesc	QubitTraitName	QubitTraitDesc	QubitGlobalFightEventIds
101	列文虎克·I	1	1	1	[2251097]	['物理', '增伤']	· 暴击时，物理伤害<color=#4a70b9>+10%</color>，叠加上限<color=#4a70b9>30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20011	Assets/Product/Texture/Image/IconToolsSp/ELiewenhukeI01001Sp.png				1	1		· 暴击时，获得物理伤害加成		21011	· 暴击时，物理伤害<color=#17f5cf>+10%</color>，叠加上限<color=#17f5cf>50%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 暴击时，获得物理伤害加成			
102	列文虎克·II	1	1	1	[2251098]	['物理', '附加伤害']	· 造成伤害时，附加攻击力<color=#4a70b9>720%</color>的物理伤害，冷却时间<color=#4a70b9>1</color>秒	20012	Assets/Product/Texture/Image/IconToolsSp/ELiewenhukeI02001Sp.png				1	2		· 造成伤害时，额外附加物理伤害		21012	· 造成伤害时，附加攻击力<color=#17f5cf>1080%</color>的物理伤害，冷却时间<color=#17f5cf>1</color>秒	· 造成伤害时，额外附加物理伤害			
103	列文虎克·III	1	1	1	[2251098]	['物理', '减抗']	· 造成伤害时，敌方物理抗性<color=#4a70b9>-30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20013	Assets/Product/Texture/Image/IconToolsSp/ELiewenhukeI03001Sp.png				1	3		· 造成伤害时，降低敌方物理抗性		21013	· 造成伤害时，敌方物理抗性<color=#17f5cf>-40%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，降低敌方物理抗性			
201	莎士比亚·I	1	2	2	[2251097]	['火属性', '增伤']	· 三消造成伤害时，火属性伤害<color=#4a70b9>+10%</color>，叠加上限<color=#4a70b9>30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20021	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI01001Sp.png				1	1		· 三消造成伤害时，获得火属性伤害加成		21021	· 三消造成伤害时，火属性伤害<color=#17f5cf>+10%</color>，叠加上限<color=#17f5cf>50%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 三消造成伤害时，获得火属性伤害加成			
202	莎士比亚·II	1	2	2	[2251098]	['火属性', '附加伤害']	· 造成伤害时，附加攻击力<color=#4a70b9>720%</color>的火属性伤害，冷却时间<color=#4a70b9>1</color>秒	20022	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI02001Sp.png				1	2		· 造成伤害时，额外附加火属性伤害		21022	· 造成伤害时，附加攻击力<color=#17f5cf>1080%</color>的火属性伤害，冷却时间<color=#17f5cf>1</color>秒	· 造成伤害时，额外附加火属性伤害			
203	莎士比亚·III	1	2	2	[2251098]	['火属性', '减抗']	· 造成伤害时，敌方火属性抗性<color=#4a70b9>-30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20023	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI03001Sp.png				1	3		· 造成伤害时，降低敌方火属性抗性		21023	· 造成伤害时，敌方火属性抗性<color=#17f5cf>-40%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，降低敌方火属性抗性			
301	海森·I	1	3	3	[2251097]	['雷属性', '增伤']	· 长按攻击键超过<color=#4a70b9>3</color>秒后，雷属性伤害<color=#4a70b9>+30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20031	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI01001Sp.png				1	1		· 长按攻击键时，获得雷属性伤害加成		21031	· 长按攻击键超过<color=#17f5cf>3</color>秒后，雷属性伤害<color=#17f5cf>+50%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 长按攻击键时，获得雷属性伤害加成			
302	海森·II	1	3	3	[2251098]	['雷属性', '附加伤害']	· 造成伤害时，附加攻击力<color=#4a70b9>720%</color>的雷属性伤害，冷却时间1秒	20032	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI02001Sp.png				1	2		· 造成伤害时，额外附加雷属性伤害		21032	· 造成伤害时，附加攻击力<color=#17f5cf>1080%</color>的雷属性伤害，冷却时间1秒	· 造成伤害时，额外附加雷属性伤害			
303	海森·III	1	3	3	[2251098]	['雷属性', '减抗']	· 造成伤害时，敌方雷属性抗性<color=#4a70b9>-30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20033	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI03001Sp.png				1	3		· 造成伤害时，降低敌方雷属性抗性		21033	· 造成伤害时，敌方雷属性抗性<color=#17f5cf>-40%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，降低敌方雷属性抗性			
401	辰积原·I	1	4	4	[2251097]	['冰属性', '增伤']	· 释放必杀时，冰属性伤害<color=#4a70b9>+30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20041	Assets/Product/Texture/Image/IconToolsSp/EZuwenyuanI01001Sp.png				1	1		· 释放必杀技时，获得冰属性伤害加成		21041	· 释放必杀时，冰属性伤害<color=#17f5cf>+50%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 释放必杀技时，获得冰属性伤害加成			
