Id	AttType	SuitName	UseType	SuitEffectGroupId	Desc	TraitName	TraitDesc	StoryDesc	Icon	RecommendDesc	SimpleEffectDesc	QubitSuitEffectGroupId	QubitDesc	QubitSampleEffectDesc	QubitTraitName	QubitTraitDesc
1	1	列文虎克	1	1	· 敌方受到的物理伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/ELiewenhukeI01001.png	-推荐驻场角色-	· 敌方受到的物理伤害提高	1001	· 敌方受到的物理伤害<color=#17f5cf>+120%</color>\n· 每隔10秒，向敌方投放<color=#17f5cf>1</color>次【<u>锚定</u>】	· 敌方受到的物理伤害提高\n· 定期向敌方投放1次【<u>锚定</u>】	['锚定']	['召唤锚点对敌方造成物理伤害']
2	2	莎士比亚	1	2	· 敌方受到的火属性伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/EShashibiyaI01002.png	-推荐驻场角色-	· 敌方受到的火属性伤害提高	1002	· 敌方受到的火属性伤害<color=#17f5cf>+120%</color>\n· 每隔10秒，向敌方投放<color=#17f5cf>1</color>次【<u>地火</u>】	· 敌方受到的火属性伤害提高\n· 定期向敌方投放1次【<u>地火</u>】	['地火']	['召唤地火对敌方造成火属性伤害']
3	3	海森	1	3	· 敌方受到的雷属性伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/EHaisenbaoI01002.png	-推荐驻场角色-	· 敌方受到的雷属性伤害提高	1003	· 敌方受到的雷属性伤害<color=#17f5cf>+120%</color>\n· 每隔10秒，向敌方投放<color=#17f5cf>1</color>次【<u>电球</u>】	· 敌方受到的雷属性伤害提高\n· 定期向敌方投放1次【<u>电球</u>】	['电球']	['召唤电球对敌方造成雷属性伤害']
4	4	辰积原	1	4	· 敌方受到的冰属性伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/EZuwenyuanI01001.png	-推荐驻场角色-	· 敌方受到的冰属性伤害提高	1004	· 敌方受到的冰属性伤害<color=#17f5cf>+120%</color>\n· 每隔10秒，向敌方投放<color=#17f5cf>1</color>次【<u>霜阵</u>】	· 敌方受到的冰属性伤害提高\n· 定期向敌方投放1次【<u>霜阵</u>】	['霜阵']	['召唤霜阵对敌方造成冰属性伤害，同时有概率冰冻敌方']
5	5	勒梅	1	5	· 敌方受到的暗属性伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/ELemeiI01002.png	-推荐驻场角色-	· 敌方受到的暗属性伤害提高	1005	· 敌方受到的暗属性伤害<color=#17f5cf>+120%</color>\n· 每隔10秒，向敌方投放<color=#17f5cf>1</color>次【<u>漏洞</u>】	· 敌方受到的暗属性伤害提高\n· 定期向敌方投放1次【<u>漏洞</u>】	['漏洞']	['召唤漏洞持续牵引并对敌方造成暗属性伤害']
6		狄瑟尔	2	6	· 消球时，额外消除所有同色信号球\n· <color=#4a70b9>III</color>冷却移除				Assets/Product/Texture/Image/RoleWaferBag/EDiseerI01002.png	-推荐驻场角色-	· 消球时，额外消除所有同色信号球\n· <color=#4a70b9>III</color>冷却移除	1006	· 消球时，额外消除所有同色信号球\n· <color=#17f5cf>III</color>冷却移除\n· 每持有<color=#17f5cf>1</color>个信号球，额外伤害加成<color=#17f5cf>+10%</color>	· 消球时，额外消除所有同色信号球\n· <color=#17f5cf>III</color>冷却移除\n· 根据持有信号球数量获得额外伤害加成		
7		布恩	2	7	· 释放必杀时，<color=#4a70b9>50%</color>概率恢复<color=#4a70b9>100%</color>的消耗能量值				Assets/Product/Texture/Image/RoleWaferBag/EBuenI01002.png	-推荐驻场角色-	· 释放必杀时，概率恢复消耗的能量	1007	· 释放必杀时，<color=#17f5cf>50%</color>概率恢复<color=#17f5cf>100%</color>的消耗能量值\n· 释放必杀时，全队每有<color=#17f5cf>10点</color>能量，必杀伤害<color=#17f5cf>+10%</color>	· 释放必杀时，概率恢复消耗的能量\n · 释放必杀时，基于全队持有的能量提升必杀伤害		
8		图灵	2	8	· 【<u>伤口</u>】叠加层数上限<color=#4a70b9>+20</color>\n·  战斗开始时，对所有敌方施加<color=#4a70b9>20</color>层【<u>伤口</u>】	['伤口']	['· 受到普攻伤害时，额外造成伤口层数*<color=#4a70b9>200%</color>的属性伤害（基于当前角色属性），冷却<color=#4a70b9>4</color>秒\\n· 伤口叠加上限为<color=#4a70b9>20</color>层，持续<color=#4a70b9>10</color>秒（重复时刷新）']		Assets/Product/Texture/Image/RoleWaferBag/ETulingI01002.png	-推荐驻场角色-	· 【<u>伤口</u>】叠加层数提高\n·  战斗开始时，对所有敌方施加高层数【<u>伤口</u>】	1008	· 【<u>撕裂</u>】叠加层数上限<color=#17f5cf>+30</color>\n·  战斗开始时，对所有敌方施加<color=#17f5cf>30</color>层【<u>撕裂</u>】	· 【<u>撕裂</u>】叠加层数提高\n·  战斗开始时，对所有敌方施加高层数【<u>撕裂</u>】	['撕裂']	['· 受到普攻伤害时，额外造成撕裂层数*<color=#17f5cf>200%</color>的属性伤害（基于当前角色属性），冷却<color=#17f5cf>4</color>秒\\n· 撕裂叠加上限为<color=#17f5cf>20</color>层']
9		夏洛蒂	2	9	· <color=#4a70b9>II</color>的叠加上限提高至<color=#4a70b9>360%</color>，每层持续时间变更为<color=#4a70b9>999</color>秒\n· 每溢出<color=#4a70b9>5%</color>暴击率，获得<color=#4a70b9>5%</color>暴击伤害				Assets/Product/Texture/Image/RoleWaferBag/EXialuodiI01002.png	-推荐驻场角色-	· 溢出的暴击率按比例转换为暴击伤害\n· <color=#4a70b9>II</color>效果提高	1009	· <color=#17f5cf>II</color>的叠加上限提高至<color=#17f5cf>560%</color>，每层持续时间变更为<color=#17f5cf>999</color>秒\n· 每溢出<color=#17f5cf>5%</color>暴击率，获得<color=#17f5cf>6%</color>暴击伤害	· 溢出的暴击率按比例转换为暴击伤害\n· <color=#17f5cf>II</color>效果提高		
10		萨曼达	2	10	· <color=#4a70b9>I</color>算力单元掉落加成提高至<color=#4a70b9>60%</color>\n· <color=#4a70b9>II</color>伤害加成提高至<color=#4a70b9>20%</color>\n· <color=#4a70b9>III</color>生命值加成提高至<color=#4a70b9>5%</color>				Assets/Product/Texture/Image/RoleWaferBag/ESamandaI01002.png	-推荐驻场角色-	· <color=#4a70b9>I</color>、<color=#4a70b9>II</color>、<color=#4a70b9>III</color>的效果大幅提高	1010	· <color=#17f5cf>I</color>算力单元掉落加成提高至<color=#17f5cf>80%</color>\n· <color=#17f5cf>II</color>伤害加成提高至<color=#17f5cf>33%</color>\n· <color=#17f5cf>III</color>生命值加成提高至<color=#17f5cf>8%</color>	· <color=#17f5cf>I</color>、<color=#17f5cf>II</color>、<color=#17f5cf>III</color>的效果大幅提高		
