Id	FightEvents	SystemEvents	Note
10001		[10001]	道具效果-霸王的金手指
10002	[2251102]		道具效果-十四帝的金扳手
10003		[10003]	道具效果-金色库罗罗标本
10004	[2251104]		道具效果-鲨鲨厨
10005	[2251105]		道具效果-装备收藏家
10006	[2251106]		道具效果-独行者
10007	[2251107]		道具效果-方块雨
10008		[10008, 100081]	道具效果-打折券
10009		[10009]	道具效果-社牛
10010		[10010]	道具效果-单人行动
10011	[2251111]		道具效果-搭配-消球强化
10012	[2251112]		道具效果-搭配-必杀强化
10013	[2251113]		道具效果-搭配-普攻强化
10014	[2251114]		道具效果-搭配-受伤强化
10015	[2251115]		道具效果-搭配-燃血强化
10016	[2251116]		道具效果-搭配-治疗毒奶
10017	[2251117]		道具效果-搭配-额外伤害
10018	[2251118]		道具效果-搭配-QTE强化
10019	[2251119]		道具效果-搭配-切人强化
10020	[2251120]		道具效果-搭配-后台buff
10021	[2251121]		道具效果-防爆盾牌
10022		[10022]	道具效果-烙印融合
10023	[2251123]		道具效果-赫之烙印
10024	[2251124]		道具效果-白之烙印
10025	[2251125]		道具效果-大喇叭
10026	[2251126]		道具效果-干扰雷达
10027	[2251127]		道具效果-信号球A
10028	[2251128]		道具效果-信号球B
10029	[2251129]		道具效果-信号球C
10030	[2251130]		道具效果-信号球D
10031	[2251131]		道具效果-信号球加成
10032	[2251132]		道具效果-能量获取
10033	[2251133]		道具效果-敌人削弱
10034	[2251134]		道具效果-站场
10035	[2251135]		道具效果-切人
10036	[2251136]		道具效果-超算
10037	[2251137]		道具效果-背水
10038	[2251138]		道具效果-攻击加成
10039	[2251139]		道具效果-伤害加成
10040	[2251140]		道具效果-属性伤害-1
10041	[2251141]		道具效果-属性伤害-2
10042	[2251142]		道具效果-属性伤害-3
10043	[2251143]		道具效果-属性伤害-4
10044	[2251144]		道具效果-属性伤害-5
10045	[2251145]		道具效果-抗性减少
10046	[2251146]		道具效果-生命增加
10047	[2251147]		道具效果-生命回复
10048	[2251148]		道具效果-闪避提升
